Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	0.09	9.87	3.76	0.15
0	0	0.08	0.67	64.75	20.84	0.00
0	4	0.00	0.00	0.98	0.40	0.00
1	1	0.00	0.00	1.43	0.10	0.00
1	5	0.00	0.03	3.17	2.28	0.00
2	2	0.00	0.00	1.26	0.29	1.22
2	6	0.00	0.00	3.07	2.38	0.00
3	3	0.15	0.00	2.94	3.15	0.00
3	7	0.10	0.02	1.37	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.07	8.62	3.56	0.00
0	0	0.09	0.51	64.90	21.53	0.00
0	4	0.00	0.00	0.67	0.20	0.00
1	1	0.00	0.00	0.45	1.96	0.01
1	5	0.00	0.01	1.26	0.79	0.00
2	2	0.00	0.02	0.40	0.79	0.00
2	6	0.00	0.00	0.34	1.14	0.00
3	3	0.00	0.00	0.19	1.19	0.00
3	7	0.00	0.00	0.74	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.04	8.47	3.53	0.00
0	0	0.07	0.29	64.66	21.93	0.00
0	4	0.00	0.00	0.59	0.30	0.00
1	1	0.00	0.00	0.25	1.39	0.00
1	5	0.00	0.03	1.16	1.09	0.00
2	2	0.00	0.00	0.33	0.89	0.00
2	6	0.00	0.00	0.32	0.83	0.00
3	3	0.00	0.00	0.20	0.90	0.00
3	7	0.00	0.00	0.29	0.88	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.07	8.62	3.54	0.00
0	0	0.09	0.49	64.87	21.53	0.00
0	4	0.00	0.02	0.50	0.00	0.00
1	1	0.00	0.00	0.10	0.99	0.00
1	5	0.00	0.00	0.72	1.28	0.00
2	2	0.00	0.03	0.88	1.19	0.00
2	6	0.00	0.00	0.44	1.48	0.00
3	3	0.00	0.01	0.72	0.90	0.00
3	7	0.00	0.00	0.70	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.05	8.18	3.59	0.58
0	0	0.07	0.33	62.78	20.80	0.00
0	4	0.00	0.00	0.44	0.11	0.00
1	1	0.00	0.00	0.14	0.39	0.97
1	5	0.00	0.05	0.34	0.56	0.00
2	2	0.00	0.00	0.95	2.09	0.00
2	6	0.00	0.00	0.29	0.90	0.00
3	3	0.00	0.00	0.36	2.87	0.00
3	7	0.00	0.00	0.14	1.00	3.66
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.04	8.57	3.55	0.12
0	0	0.09	0.27	65.19	21.49	0.00
0	4	0.00	0.00	0.87	0.00	0.00
1	1	0.00	0.00	0.39	1.48	0.99
1	5	0.00	0.01	0.59	1.37	0.00
2	2	0.00	0.04	0.69	1.01	0.00
2	6	0.00	0.00	0.20	1.09	0.00
3	3	0.00	0.00	0.29	0.85	0.00
3	7	0.00	0.00	0.37	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.04	8.62	3.50	0.12
0	0	0.10	0.31	65.07	21.54	0.00
