Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.09	0.10	0.84	0.61	0.00
0	0	0.00	0.00	1.07	0.30	0.00
0	4	0.00	0.00	0.97	1.28	0.00
1	1	0.00	0.00	0.66	0.00	0.00
1	5	0.15	0.00	0.89	0.81	0.00
2	2	0.00	0.66	1.09	0.79	0.00
2	6	0.51	0.00	0.35	0.11	0.00
3	3	0.00	0.00	0.80	0.79	0.00
3	7	0.08	0.10	0.89	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.59	0.76	10.38	8.30	0.13
0	0	2.44	0.85	13.28	6.17	0.00
0	4	0.00	0.09	5.14	6.03	0.01
1	1	0.36	1.83	6.68	3.80	0.00
1	5	0.00	0.04	11.14	7.97	0.00
2	2	0.00	0.39	11.63	5.24	0.00
2	6	0.00	0.00	8.08	21.48	0.00
3	3	1.91	2.65	15.92	4.62	1.00
3	7	0.00	0.22	11.16	11.06	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.62	8.84	12.56	10.31
0	0	0.02	4.93	62.97	0.00	0.00
0	4	0.00	0.00	0.99	0.10	82.46
1	1	0.00	0.03	0.53	2.36	0.00
1	5	0.00	0.00	0.36	0.99	0.00
2	2	0.00	0.00	0.23	1.28	0.00
2	6	0.00	0.02	1.01	12.43	0.00
3	3	0.00	0.00	0.10	1.19	0.00
3	7	0.00	0.00	4.51	82.14	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.43	0.85	9.01	12.19	10.15
0	0	2.15	4.94	57.72	1.09	0.00
0	4	0.00	0.02	0.69	0.11	80.16
1	1	0.31	0.26	2.66	1.28	0.00
1	5	0.00	0.00	0.24	0.89	0.00
2	2	0.00	0.00	0.64	1.08	1.02
2	6	0.00	0.01	6.64	91.77	0.00
3	3	0.95	1.59	2.80	0.89	0.00
3	7	0.00	0.00	0.70	0.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.56	9.12	12.21	11.71
0	0	0.00	4.46	63.62	0.00	0.00
0	4	0.00	0.00	0.86	0.10	93.65
1	1	0.00	0.00	0.45	0.99	0.00
1	5	0.00	0.00	0.53	0.20	0.00
2	2	0.00	0.02	0.68	0.10	0.00
2	6	0.00	0.02	5.48	92.85	0.00
3	3	0.00	0.00	0.97	2.77	0.00
3	7	0.00	0.00	0.36	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.64	9.19	16.02	10.30
0	0	0.02	4.93	64.37	0.10	0.00
0	4	0.00	0.00	0.50	0.60	82.41
1	1	0.00	0.00	0.43	2.15	0.00
1	5	0.00	0.00	0.51	2.07	0.00
2	2	0.11	0.01	0.35	0.83	0.00
2	6	0.00	0.00	6.39	92.12	0.00
3	3	0.01	0.19	0.86	29.18	0.00
3	7	0.00	0.00	0.10	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
