Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.28	0.03	3.01	11.25	0.01
0	0	0.69	0.03	8.62	20.33	0.00
0	4	0.10	0.03	0.98	1.88	0.00
1	1	0.00	0.07	2.80	0.98	0.00
1	5	0.74	0.00	1.46	1.19	0.00
2	2	0.00	0.06	2.20	1.78	0.06
2	6	0.72	0.00	4.80	58.11	0.00
3	3	0.00	0.00	0.39	0.00	0.00
3	7	0.00	0.02	2.76	5.45	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.04	1.48	2.93	0.00
0	0	0.00	0.12	1.85	1.17	0.00
0	4	0.00	0.00	1.01	0.80	0.00
1	1	0.00	0.00	2.89	4.18	0.00
1	5	0.00	0.11	0.65	0.60	0.00
2	2	0.10	0.01	0.77	1.39	0.00
2	6	0.00	0.05	1.87	12.96	0.00
3	3	0.00	0.00	0.30	0.30	0.00
3	7	0.17	0.03	2.48	2.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.02	0.98	1.11	0.00
0	0	0.00	0.00	1.46	0.41	0.00
0	4	0.00	0.02	0.10	0.50	0.00
1	1	0.00	0.00	0.97	1.60	0.00
1	5	0.01	0.09	1.40	0.40	0.00
2	2	0.00	0.00	0.23	0.40	0.00
2	6	0.00	0.00	1.40	3.57	0.00
3	3	0.12	0.02	0.72	0.90	0.00
3	7	0.06	0.02	1.61	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.16	0.90	1.01	0.16
0	0	0.00	0.00	0.85	1.40	0.00
0	4	0.00	0.79	1.27	1.30	0.00
1	1	0.00	0.00	0.33	1.11	0.00
1	5	0.01	0.42	1.36	0.79	1.30
2	2	0.00	0.04	0.74	0.50	0.00
2	6	0.00	0.00	0.50	1.32	0.00
3	3	0.00	0.00	0.80	0.79	0.00
3	7	0.00	0.00	1.32	0.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.37	0.78	0.00
0	0	0.00	0.00	0.15	0.40	0.00
0	4	0.00	0.00	0.16	0.50	0.00
1	1	0.00	0.00	0.20	0.40	0.00
1	5	0.00	0.11	0.68	0.90	0.00
2	2	0.00	0.00	0.34	0.90	0.00
2	6	0.00	0.00	0.44	1.22	0.00
3	3	0.00	0.00	0.62	0.70	0.00
3	7	0.00	0.00	0.36	1.21	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.17	0.11	1.07	1.71	0.00
0	0	0.73	0.00	0.50	1.21	0.00
0	4	0.00	0.79	0.55	1.70	0.00
1	1	0.00	0.02	0.30	0.90	0.00
1	5	0.00	0.06	3.47	1.19	0.00
2	2	0.00	0.00	0.45	1.20	0.00
2	6	0.59	0.00	0.65	3.34	0.00
3	3	0.00	0.00	0.34	1.29	0.00
3	7	0.00	0.01	2.30	2.84	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.26	7.95	34.80	7.99	0.17
0	0	1.68	9.20	34.86	5.88	0.00
0	4	0.67	6.98	33.64	7.91	0.00
1	1	1.47	7.05	36.04	5.78	0.00
1	5	1.03	8.39	34.42	7.59	0.00
2	2	1.46	8.82	30.89	9.40	1.32
2	6	1.35	7.81	36.39	8.33	0.00
