Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	2.75	0.95	7.81	13.23	0.02
0	0	0.03	1.65	27.46	9.11	0.13
0	4	0.00	0.00	0.16	0.99	0.00
1	1	0.00	0.05	1.65	1.27	0.00
1	5	21.19	5.36	21.35	1.06	0.00
2	2	0.19	0.50	6.65	78.18	0.00
2	6	0.62	0.00	0.69	0.79	0.00
3	3	0.00	0.02	3.57	13.69	0.00
3	7	0.00	0.00	1.00	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.43	0.55	6.49	13.69	2.35
0	0	0.30	1.76	34.60	16.49	0.00
0	4	0.00	0.00	0.49	0.20	18.83
1	1	0.00	0.00	0.39	0.69	0.00
1	5	0.00	0.00	0.67	0.50	0.00
2	2	3.11	2.62	8.50	9.52	0.00
2	6	0.00	0.00	0.63	0.00	0.00
3	3	0.00	0.03	6.26	81.46	0.00
3	7	0.00	0.00	0.39	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.09	6.42	16.02	0.00
0	0	0.08	0.72	39.78	32.28	0.00
0	4	0.00	0.00	1.05	0.08	0.00
1	1	0.00	0.00	0.42	0.89	0.00
1	5	0.00	0.00	0.20	1.29	0.00
2	2	0.00	0.00	7.52	83.78	0.00
2	6	0.00	0.00	0.57	1.08	0.00
3	3	0.00	0.00	1.50	7.68	0.00
3	7	0.00	0.00	0.33	1.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.11	0.08	6.29	15.95	0.00
0	0	0.09	0.64	40.01	32.12	0.00
0	4	0.00	0.00	0.44	0.61	0.00
1	1	0.83	0.00	0.70	1.00	0.00
1	5	0.00	0.00	0.68	8.69	0.00
2	2	0.00	0.00	7.41	78.97	0.00
2	6	0.00	0.00	0.19	0.79	0.00
3	3	0.00	0.00	0.67	4.24	0.00
3	7	0.00	0.00	0.25	1.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.25	6.15	15.97	0.01
0	0	0.09	1.95	38.78	30.82	0.00
0	4	0.00	0.00	0.28	0.89	0.00
1	1	0.00	0.00	1.03	1.08	0.00
1	5	0.00	0.00	6.25	72.94	0.08
2	2	0.00	0.02	0.33	2.08	0.00
2	6	0.00	0.00	0.19	1.19	0.00
