Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.09	13.43	1.21	0.00
0	0	0.00	0.64	97.01	0.00	0.00
0	4	0.00	0.00	2.51	1.78	0.00
1	1	0.00	0.03	2.60	1.72	0.00
1	5	0.17	0.00	0.80	0.79	0.00
2	2	0.01	0.02	0.75	3.37	0.00
2	6	0.00	0.04	0.74	0.10	0.00
3	3	0.00	0.00	1.09	0.88	0.00
3	7	0.00	0.02	1.92	1.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.08	12.71	0.80	0.00
0	0	0.00	0.60	97.08	0.00	0.00
0	4	0.00	0.00	0.55	0.00	0.00
1	1	0.00	0.00	0.72	0.40	0.00
1	5	0.00	0.00	0.19	0.70	0.00
2	2	0.00	0.00	0.97	1.97	0.00
2	6	0.00	0.00	0.77	0.79	0.00
3	3	0.00	0.00	1.14	1.17	0.00
3	7	0.00	0.00	0.24	1.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.07	12.48	0.75	0.11
0	0	0.00	0.54	96.23	0.00	0.00
0	4	0.00	0.00	0.48	0.89	0.00
1	1	0.00	0.00	0.85	1.19	0.00
1	5	0.01	0.00	0.20	0.99	0.90
2	2	0.00	0.00	0.58	0.69	0.00
2	6	0.00	0.01	0.70	0.40	0.00
3	3	0.00	0.00	0.29	0.84	0.00
3	7	0.00	0.00	0.49	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.09	12.36	0.77	0.00
0	0	0.00	0.69	97.02	0.00	0.00
0	4	0.10	0.01	0.40	0.00	0.00
1	1	0.00	0.00	0.10	1.09	0.00
1	5	0.00	0.00	0.51	1.19	0.00
2	2	0.00	0.00	0.25	0.99	0.00
2	6	0.00	0.00	0.15	1.09	0.00
3	3	0.00	0.00	0.32	0.80	0.00
3	7	0.00	0.00	0.10	1.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.10	12.56	2.54	0.00
0	0	0.00	0.66	97.08	0.00	0.00
0	4	0.00	0.00	0.56	0.79	0.00
1	1	0.01	0.15	0.51	12.14	0.00
1	5	0.00	0.00	0.44	0.99	0.00
2	2	0.00	0.01	0.38	1.69	0.00
2	6	0.00	0.00	0.69	1.39	0.00
3	3	0.00	0.00	0.38	1.93	0.00
3	7	0.00	0.00	0.46	1.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.10	12.55	2.65	0.00
0	0	0.00	0.52	97.15	0.00	0.00
0	4	0.00	0.00	0.59	0.80	0.00
1	1	0.00	0.08	0.97	16.61	0.00
1	5	0.00	0.00	0.27	0.99	0.00
2	2	0.01	0.15	0.38	0.00	0.00
2	6	0.00	0.00	0.34	0.79	0.00
3	3	0.00	0.01	0.29	1.22	0.00
3	7	0.00	0.00	0.38	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.08	12.58	0.75	0.00
0	0	0.00	0.65	97.08	0.00	0.00
0	4	0.00	0.00	0.61	0.00	0.00
1	1	0.00	0.02	0.89	0.40	0.00
1	5	0.00	0.00	0.20	1.19	0.00
2	2	0.00	0.00	0.29	1.67	0.00
2	6	0.00	0.00	0.48	0.99	0.00
3	3	0.00	0.00	0.25	0.97	0.00
3	7	0.00	0.00	0.82	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.08	12.65	0.77	0.00
0	0	0.10	0.63	96.97	0.00	0.00
0	4	0.00	0.00	0.78	0.99	0.00
1	1	0.00	0.00	0.26	0.89	0.00
1	5	0.00	0.00	0.70	1.19	0.00
2	2	0.00	0.00	1.01	0.49	0.00
2	6	0.00	0.01	0.70	0.79	0.00
3	3	0.00	0.00	0.44	1.13	0.00
3	7	0.00	0.00	0.38	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.04	12.68	0.73	0.00
0	0	0.00	0.31	97.40	0.00	0.00
0	4	0.00	0.00	0.22	0.30	0.00
1	1	0.00	0.00	0.20	1.39	0.00
1	5	0.00	0.00	0.97	0.89	0.00
2	2	0.00	0.00	0.56	0.99	0.00
2	6	0.00	0.00	0.66	0.99	0.00
3	3	0.00	0.00	0.83	0.79	0.00
3	7	0.00	0.00	0.60	0.49	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.05	12.56	0.97	0.00
0	0	0.00	0.36	97.37	0.00	0.00
0	4	0.00	0.00	0.46	0.40	0.00
1	1	0.00	0.00	0.24	1.49	0.00
1	5	0.00	0.00	0.33	1.19	0.00
2	2	0.00	0.01	0.29	0.90	0.00
2	6	0.00	0.00	0.59	1.19	0.00
3	3	0.00	0.00	0.28	1.43	0.00
3	7	0.00	0.00	0.96	1.18	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.03	11.99	0.83	0.00
0	0	0.03	0.24	94.03	0.00	0.00
0	4	0.00	0.00	0.10	0.50	0.00
1	1	0.00	0.00	0.29	1.29	0.00
1	5	0.00	0.00	0.27	1.19	0.00
2	2	0.00	0.00	0.41	1.09	0.00
2	6	0.00	0.00	0.24	0.99	0.00
3	3	0.00	0.02	0.29	0.82	0.00
3	7	0.00	0.00	0.30	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.07	12.47	0.76	0.00
0	0	0.00	0.54	97.08	0.00	0.00
0	4	0.00	0.00	0.54	0.00	0.00
1	1	0.00	0.00	0.22	0.89	0.00
1	5	0.00	0.00	0.08	0.61	0.00
2	2	0.00	0.00	0.48	1.77	0.00
2	6	0.00	0.00	0.28	0.99	0.00
3	3	0.00	0.00	0.26	1.06	0.00
3	7	0.00	0.00	0.83	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.06	12.60	0.80	0.00
0	0	0.05	0.46	97.18	0.00	0.00
0	4	0.00	0.00	0.48	0.70	0.00
1	1	0.00	0.00	0.27	1.09	0.00
1	5	0.00	0.01	0.55	0.80	0.00
2	2	0.00	0.00	0.62	1.28	0.00
2	6	0.00	0.02	0.49	1.19	0.00
3	3	0.00	0.00	0.69	0.44	0.00
3	7	0.00	0.00	0.47	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.11	12.38	0.78	0.00
0	0	0.00	0.87	95.93	0.00	0.00
0	4	0.00	0.02	0.10	0.40	0.00
1	1	0.00	0.00	0.20	0.90	0.00
1	5	0.00	0.00	0.19	0.99	0.00
2	2	0.00	0.00	0.45	0.99	0.00
2	6	0.00	0.00	0.35	1.09	0.00
3	3	0.00	0.00	1.00	1.08	0.00
3	7	0.00	0.01	0.80	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.06	12.51	0.66	0.00
0	0	0.00	0.50	97.24	0.00	0.00
0	4	0.00	0.00	0.46	0.40	0.00
1	1	0.00	0.00	0.74	0.69	0.00
1	5	0.00	0.00	0.21	0.50	0.00
2	2	0.00	0.01	0.20	1.18	0.00
