Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.09	0.73	70.71	16.52	0.00
0	0	0.17	0.50	74.53	14.21	0.00
0	4	0.00	0.58	72.33	18.04	0.00
1	1	0.08	0.44	71.64	18.05	0.00
1	5	0.33	0.59	68.70	20.81	0.00
2	2	0.09	0.58	68.25	21.44	0.00
2	6	0.00	0.48	67.50	22.87	0.00
3	3	0.00	0.64	77.24	8.52	0.00
3	7	0.01	2.06	64.91	8.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	71.59	16.33	0.00
0	0	0.01	0.35	75.22	13.86	0.00
0	4	0.00	0.64	73.16	17.43	0.00
1	1	0.00	0.36	75.69	14.15	0.00
1	5	0.00	0.31	70.83	20.01	0.00
2	2	0.01	0.41	68.45	21.51	0.00
2	6	0.00	0.61	68.35	22.32	0.00
3	3	0.01	0.65	78.89	10.81	0.00
3	7	0.02	2.15	62.69	10.67	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.69	71.96	16.17	0.00
0	0	0.00	0.39	75.13	13.96	0.00
0	4	0.00	0.54	72.14	18.62	0.00
1	1	0.01	0.46	76.05	13.79	0.00
1	5	0.00	0.38	69.58	21.22	0.00
2	2	0.01	0.48	69.45	20.49	0.00
2	6	0.01	0.56	69.82	20.95	0.00
3	3	0.00	0.57	80.00	9.84	0.00
3	7	0.01	2.11	63.03	10.35	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.69	71.83	16.17	0.00
0	0	0.00	0.39	76.52	12.37	0.00
0	4	0.00	0.62	71.32	19.24	0.00
1	1	0.01	0.50	73.98	15.79	0.00
1	5	0.00	0.24	71.14	19.72	0.00
2	2	0.01	0.41	69.52	20.43	0.00
2	6	0.01	0.52	69.44	21.31	0.00
3	3	0.01	0.62	78.55	11.14	0.00
3	7	0.01	2.19	64.00	9.35	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.71	70.30	15.63	0.00
0	0	0.01	0.51	75.67	11.30	0.00
0	4	0.00	0.44	71.34	17.45	0.00
1	1	0.01	0.33	71.21	16.45	0.00
1	5	0.00	0.76	67.56	19.58	0.00
2	2	0.01	0.52	67.81	20.81	0.00
2	6	0.00	0.44	67.79	21.68	0.00
3	3	0.00	0.66	78.27	9.66	0.00
3	7	0.01	2.00	63.12	8.17	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	71.71	16.26	0.00
0	0	0.01	0.43	72.46	16.65	0.00
0	4	0.00	0.69	74.47	15.84	0.00
1	1	0.01	0.34	73.15	16.84	0.00
1	5	0.00	0.37	70.12	20.63	0.00
2	2	0.00	0.54	69.29	20.58	0.00
2	6	0.01	0.45	70.05	20.73	0.00
3	3	0.00	0.46	79.74	10.15	0.00
3	7	0.02	2.35	64.65	8.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.89	72.13	15.67	0.00
0	0	0.00	0.55	71.97	17.04	0.00
0	4	0.01	0.65	76.55	13.68	0.00
1	1	0.01	0.27	71.51	18.30	0.00
1	5	0.00	1.10	70.43	19.55	0.00
2	2	0.01	0.72	69.97	19.78	0.00
2	6	0.02	1.08	69.51	20.30	0.00
3	3	0.01	0.39	80.77	9.20	0.00
3	7	0.02	2.37	65.88	7.43	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.67	72.13	15.85	0.00
0	0	0.00	0.51	72.83	16.23	0.00
0	4	0.00	0.51	70.99	19.70	0.00
1	1	0.02	0.24	75.74	14.18	0.00
1	5	0.00	0.40	70.97	19.87	0.00
2	2	0.01	0.70	71.34	18.38	0.00
2	6	0.00	0.38	69.31	21.50	0.00
3	3	0.00	0.42	80.70	9.21	0.00
3	7	0.01	2.25	65.59	7.87	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.72	71.66	16.44	0.00
0	0	0.00	0.37	74.94	14.27	0.00
0	4	0.01	0.51	72.83	17.93	0.00
1	1	0.00	0.47	74.94	14.86	0.00
1	5	0.00	0.49	71.67	19.13	0.00
2	2	0.01	0.44	69.09	20.80	0.00
2	6	0.00	0.65	67.66	23.01	0.00
3	3	0.00	0.78	79.34	10.37	0.00
3	7	0.01	2.02	62.36	11.02	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.98	68.96	16.98	0.00
0	0	0.01	0.38	69.15	17.87	0.00
0	4	0.00	0.64	72.30	16.29	0.00
1	1	0.01	0.32	69.85	17.88	0.00
1	5	0.00	2.36	67.84	19.44	0.00
2	2	0.00	0.56	68.01	20.30	0.00
2	6	0.00	0.43	66.71	22.61	0.00
3	3	0.01	0.55	75.81	12.32	0.00
3	7	0.01	2.60	62.20	9.14	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.69	71.41	16.58	0.00
0	0	0.00	0.54	75.54	13.35	0.00
0	4	0.00	0.46	71.74	18.89	0.00
1	1	0.01	0.34	71.59	18.30	0.00
1	5	0.00	0.50	70.33	20.43	0.00
2	2	0.01	0.68	68.96	20.83	0.00
2	6	0.00	0.31	68.30	22.58	0.00
3	3	0.01	0.40	79.68	10.29	0.00
3	7	0.01	2.29	65.38	8.02	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.83	70.55	17.27	0.00
0	0	0.00	0.53	72.63	16.25	0.00
0	4	0.00	0.55	70.33	20.31	0.00
1	1	0.01	0.37	72.24	17.76	0.00
1	5	0.00	1.12	69.44	20.53	0.00
2	2	0.00	0.59	69.63	20.21	0.00
2	6	0.00	0.47	69.99	20.52	0.00
3	3	0.01	0.46	77.16	12.51	0.00
3	7	0.01	2.54	63.01	10.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.67	72.13	16.02	0.00
0	0	0.01	0.47	72.62	16.40	0.00
0	4	0.00	0.54	69.40	21.37	0.00
1	1	0.01	0.36	75.20	14.81	0.00
1	5	0.00	0.35	72.91	17.78	0.00
2	2	0.01	0.46	69.90	20.08	0.00
2	6	0.00	0.35	69.69	21.22	0.00
3	3	0.00	0.50	80.65	9.18	0.00
3	7	0.01	2.37	66.05	7.15	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.73	72.19	15.72	0.00
0	0	0.01	0.51	71.94	17.08	0.00
0	4	0.00	0.49	70.25	20.45	0.00
1	1	0.01	0.49	77.34	12.31	0.00
1	5	0.00	0.44	71.61	19.04	0.00
2	2	0.01	0.52	70.58	19.26	0.00
2	6	0.00	0.45	71.42	19.33	0.00
3	3	0.01	0.58	79.94	9.94	0.00
3	7	0.02	2.35	64.82	8.43	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.32	70.37	16.04	0.13
0	0	0.01	0.50	74.51	13.48	0.00
0	4	0.00	0.47	69.69	19.04	0.00
1	1	0.01	0.39	73.33	16.12	0.00
1	5	0.00	2.72	69.30	18.08	1.02
2	2	0.00	0.49	67.46	20.62	0.00
2	6	0.01	0.46	68.88	20.68	0.00
3	3	0.01	0.57	77.25	11.65	0.00
3	7	0.01	4.94	62.54	8.71	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.66	71.56	16.44	0.00
0	0	0.00	0.52	73.71	15.27	0.00
0	4	0.00	0.44	72.68	18.06	0.00
1	1	0.01	0.38	74.04	15.76	0.00
1	5	0.00	0.43	69.83	20.85	0.00
2	2	0.01	0.54	69.69	20.18	0.00
2	6	0.00	0.39	70.10	20.70	0.00
3	3	0.00	0.47	78.27	11.70	0.00
3	7	0.01	2.15	64.37	9.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.77	71.40	16.54	0.00
0	0	0.00	0.45	71.21	18.05	0.00
0	4	0.09	0.44	70.35	19.59	0.00
1	1	0.00	0.45	75.57	14.15	0.00
1	5	0.00	0.42	71.94	18.88	0.00
2	2	0.01	0.56	68.21	21.64	0.00
2	6	0.00	0.38	69.56	21.26	0.00
3	3	0.00	0.59	79.55	10.33	0.00
3	7	0.01	2.82	64.55	8.32	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.67	72.96	15.04	0.00
0	0	0.01	0.55	73.37	15.68	0.00
0	4	0.00	0.47	73.87	16.62	0.00
1	1	0.01	0.36	74.99	14.91	0.00
1	5	0.00	0.32	71.43	19.46	0.00
2	2	0.00	0.55	70.98	18.94	0.00
2	6	0.00	0.32	71.15	19.74	0.00
3	3	0.01	0.44	81.73	8.06	0.00
3	7	0.03	2.34	66.37	6.97	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	71.63	16.53	0.00
0	0	0.00	0.54	71.85	17.27	0.00
0	4	0.01	0.41	71.76	18.99	0.00
1	1	0.01	0.38	73.77	16.05	0.00
1	5	0.00	0.41	70.79	20.03	0.00
2	2	0.01	0.55	69.66	20.19	0.00
2	6	0.01	0.38	70.78	20.04	0.00
3	3	0.00	0.54	79.22	10.63	0.00
3	7	0.01	2.20	64.56	8.85	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
