Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.17	0.30	2.21	2.14	0.08
0	0	0.00	0.06	2.79	2.10	0.00
0	4	0.00	0.00	1.79	0.79	0.00
1	1	0.00	0.02	2.26	4.19	0.00
1	5	0.60	0.00	2.07	3.05	0.00
2	2	0.39	0.02	2.25	3.11	0.44
2	6	0.18	0.00	1.66	1.33	0.19
3	3	0.01	2.19	3.39	1.76	0.00
3	7	0.17	0.10	1.52	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.17	1.76	11.62	8.07	0.00
0	0	0.01	0.18	13.35	12.19	0.00
0	4	0.00	0.00	8.47	6.89	0.00
1	1	0.45	3.17	12.91	6.85	0.00
1	5	0.03	0.26	16.63	11.28	0.02
2	2	0.46	6.29	11.31	3.38	0.00
2	6	0.30	2.03	9.12	9.13	0.00
3	3	0.11	1.67	9.69	6.46	0.00
3	7	0.00	0.44	11.43	8.34	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.06	2.61	12.25	14.79	0.12
0	0	0.00	2.48	17.59	5.76	0.00
0	4	0.00	0.05	13.31	14.24	0.00
1	1	0.41	13.01	6.75	5.66	0.00
1	5	0.00	0.15	13.13	15.20	1.00
2	2	0.00	0.13	14.57	18.12	0.00
2	6	0.00	0.12	11.30	33.53	0.00
3	3	0.09	4.91	9.04	9.18	0.00
3	7	0.00	0.06	12.29	16.65	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.11	2.56	13.37	14.60	0.00
0	0	0.01	0.39	16.98	5.96	0.00
0	4	0.00	0.07	13.68	17.47	0.00
1	1	0.47	10.89	10.11	5.95	0.00
1	5	0.42	8.69	11.23	8.62	0.00
2	2	0.00	0.10	13.17	16.56	0.00
2	6	0.00	0.09	13.49	26.20	0.00
3	3	0.00	0.16	15.51	20.39	0.00
3	7	0.00	0.11	12.78	15.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	2.84	14.17	15.90	0.16
0	0	0.00	0.33	19.75	13.10	0.01
0	4	0.00	0.22	16.00	14.60	0.00
1	1	0.30	8.17	11.19	13.29	0.00
1	5	0.64	13.22	8.09	6.19	1.21
2	2	0.00	0.24	15.04	21.42	0.00
2	6	0.00	0.16	14.43	18.75	0.06
3	3	0.00	0.21	14.75	23.62	0.00
3	7	0.00	0.17	14.09	16.24	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.15	3.66	22.86	23.86	0.16
0	0	0.01	0.56	32.88	11.92	1.27
0	4	0.10	0.21	24.09	33.91	0.00
1	1	0.29	5.54	21.80	20.26	0.00
1	5	0.20	5.93	18.41	21.94	0.00
2	2	0.00	0.32	25.45	32.33	0.00
2	6	0.62	16.35	12.71	10.84	0.00
3	3	0.00	0.19	23.67	32.73	0.00
3	7	0.00	0.18	23.85	26.97	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	3.79	21.11	22.27	0.31
0	0	0.01	0.43	30.60	22.21	2.42
0	4	0.00	0.16	22.92	27.56	0.00
1	1	0.91	27.58	4.37	0.67	0.00
1	5	0.00	1.04	21.10	24.35	0.00
2	2	0.00	0.25	22.80	25.72	0.00
2	6	0.00	0.46	19.92	27.63	0.04
3	3	0.00	0.21	22.55	21.64	0.00
3	7	0.00	0.16	24.62	28.34	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.14	3.42	21.13	24.52	0.14
0	0	0.02	0.52	30.92	13.50	0.00
0	4	0.00	0.08	22.32	20.00	0.00
1	1	0.40	9.19	17.56	25.38	0.00
1	5	0.03	1.63	20.93	22.94	0.00
2	2	0.34	7.22	18.40	18.12	0.12
2	6	0.28	7.59	19.16	37.24	0.00
3	3	0.04	0.94	20.67	33.40	1.00
3	7	0.00	0.16	19.09	25.58	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.15	3.53	21.59	23.21	0.06
0	0	0.14	0.30	29.62	12.35	0.03
0	4	0.00	0.16	23.98	25.52	0.00
1	1	0.73	15.66	13.09	12.60	0.00
1	5	0.18	7.91	17.88	18.53	0.00
2	2	0.05	1.32	22.37	40.45	0.00
2	6	0.10	2.54	18.59	19.58	0.46
3	3	0.01	0.24	24.55	29.90	0.00
3	7	0.00	0.19	22.87	26.96	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	3.04	15.36	15.93	0.50
0	0	0.01	0.34	21.61	5.05	3.88
0	4	0.00	0.10	15.71	14.64	0.00
1	1	0.00	0.17	16.67	17.33	0.00
1	5	0.22	5.49	12.32	24.09	0.06
2	2	0.69	17.65	6.17	9.56	0.00
2	6	0.01	0.23	15.26	17.73	0.07
3	3	0.00	0.22	18.31	17.34	0.00
3	7	0.00	0.11	16.70	21.62	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.16	3.67	21.02	20.70	0.02
0	0	0.00	0.58	31.11	15.10	0.05
0	4	0.00	0.26	22.43	27.51	0.00
1	1	0.88	19.14	11.99	6.31	0.00
1	5	0.29	7.93	19.76	16.60	0.10
2	2	0.10	0.73	20.15	26.47	0.00
2	6	0.00	0.21	19.38	21.00	0.00
3	3	0.00	0.23	22.17	31.87	0.00
3	7	0.00	0.27	21.32	20.80	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.16	3.67	20.75	21.27	0.08
0	0	0.01	1.71	30.45	12.64	0.12
0	4	0.00	0.25	21.33	22.00	0.00
1	1	0.75	10.02	18.23	23.45	0.00
1	5	0.40	10.95	15.49	16.46	0.49
2	2	0.00	0.17	18.54	22.26	0.00
2	6	0.05	1.34	22.16	29.98	0.00
3	3	0.05	4.75	18.84	18.59	0.00
3	7	0.00	0.20	20.84	24.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	3.51	21.70	22.94	0.01
0	0	0.01	1.59	30.43	15.17	0.00
0	4	0.00	0.16	21.73	22.46	0.00
1	1	0.21	8.32	19.39	25.92	0.06
1	5	0.69	17.02	11.82	10.01	0.00
2	2	0.00	0.26	22.43	34.91	0.00
2	6	0.00	0.27	24.58	23.79	0.00
3	3	0.00	0.20	21.61	22.55	0.00
3	7	0.00	0.27	21.66	28.73	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.17	3.66	20.59	21.84	0.01
0	0	0.01	0.33	25.03	10.89	0.02
0	4	0.00	0.17	22.25	27.47	0.00
1	1	0.92	19.13	11.09	7.22	0.05
1	5	0.43	8.72	18.78	26.24	0.00
2	2	0.00	0.17	21.62	32.96	0.00
2	6	0.00	0.20	20.94	25.45	0.00
3	3	0.00	0.31	24.50	21.73	0.00
3	7	0.00	0.19	20.52	22.76	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.19	2.02	26.38	23.58	0.08
0	0	0.01	0.53	36.08	12.43	0.51
0	4	0.01	0.23	27.25	35.40	0.00
1	1	0.01	0.26	28.81	33.47	0.00
1	5	0.01	0.29	30.30	26.64	0.00
2	2	0.38	4.23	22.89	18.93	0.00
2	6	0.40	6.59	16.80	21.11	0.12
3	3	0.68	3.17	23.33	18.63	0.00
3	7	0.06	0.87	25.69	22.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.14	3.68	20.03	21.15	0.16
0	0	0.00	0.60	31.30	10.28	1.21
0	4	0.14	0.28	21.84	24.90	0.00
1	1	0.00	0.44	19.78	20.17	0.00
1	5	0.00	0.31	18.82	24.04	0.00
2	2	0.09	1.83	21.31	33.20	0.04
2	6	0.77	25.47	4.49	0.00	0.07
3	3	0.00	0.24	23.16	31.99	0.00
3	7	0.11	0.28	19.80	24.85	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.24	3.52	20.10	22.67	0.07
0	0	0.01	0.59	31.94	30.06	0.09
