Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	0.02	1.61	1.32	0.00
0	0	0.00	0.00	0.99	0.69	0.00
0	4	0.00	0.05	1.80	1.57	0.00
1	1	0.00	0.00	2.80	1.30	0.00
1	5	0.00	0.00	0.36	1.37	0.00
2	2	0.73	0.00	0.84	2.55	0.00
2	6	0.00	0.03	2.10	1.25	0.00
3	3	0.20	0.00	0.89	0.39	0.00
3	7	0.00	0.08	3.08	1.41	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.67	0.86	0.00
0	0	0.00	0.01	0.83	0.80	0.00
0	4	0.00	0.01	0.41	1.28	0.00
1	1	0.00	0.00	0.45	0.79	0.00
1	5	0.00	0.00	0.93	0.89	0.00
2	2	0.00	0.02	0.88	1.08	0.00
2	6	0.00	0.00	0.48	0.89	0.00
3	3	0.00	0.00	0.57	0.49	0.00
3	7	0.00	0.00	0.84	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.59	1.07	0.00
0	0	0.00	0.00	0.55	1.10	0.00
0	4	0.00	0.02	1.40	0.98	0.00
1	1	0.00	0.00	0.53	0.00	0.00
1	5	0.00	0.00	0.50	0.70	0.00
2	2	0.00	0.00	0.36	1.00	0.00
2	6	0.00	0.00	0.64	1.49	0.00
3	3	0.00	0.02	0.59	1.60	0.00
3	7	0.00	0.00	0.16	1.66	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.58	0.98	0.00
0	0	0.00	0.00	0.61	0.61	0.00
0	4	0.00	0.02	0.71	1.10	0.00
1	1	0.00	0.00	0.42	1.28	0.00
1	5	0.00	0.00	0.45	0.95	0.00
2	2	0.00	0.00	0.87	1.08	0.00
2	6	0.00	0.00	0.87	0.89	0.00
3	3	0.00	0.00	0.38	1.19	0.00
3	7	0.00	0.00	0.35	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.63	0.87	0.00
0	0	0.00	0.00	0.66	0.98	0.00
0	4	0.00	0.03	0.92	1.08	0.00
1	1	0.00	0.00	1.02	0.39	0.00
1	5	0.00	0.02	0.79	0.80	0.00
2	2	0.00	0.00	0.46	1.08	0.00
2	6	0.00	0.00	0.36	0.69	0.00
3	3	0.00	0.00	0.57	0.89	0.00
3	7	0.00	0.00	0.29	1.08	0.00
