Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1749278415629,1600,1600,1600,1600,1600,1599,1599,1599,0,0,11.111111640930176,4,4,0,7.692307949066162,0,131476.61029052734,74056.89166259766,85362.10375976563,0.58978271484375,33572028416,0,881815552,0
0,1749278415629,1600,1600,1600,1600,1600,1599,1599,1599,0,0,11.111111640930176,4,4,0,7.692307949066162,0,131476.61029052734,74056.89166259766,85362.10607910156,0.58978271484375,33572028416,0,881815552,0
0,1749278415630,1600,1600,1600,1600,1600,1599,1599,1599,0,0,11.111111640930176,4,4,0,7.692307949066162,0,131476.6114501953,74056.89837646484,85362.10919189453,0.58978271484375,33572028416,0,881815552,0
0,1749278415631,1600,1600,1600,1600,1600,1599,1599,1599,0,0,11.111111640930176,4,4,0,7.692307949066162,0,131476.61376953125,74056.90985107422,85362.11206054688,0.58978271484375,33572028416,0,881815552,0
0,1749278415632,1600,1600,1600,1600,1600,1599,1599,1599,0,0,11.111111640930176,4,4,0,7.692307949066162,0,131476.61474609375,74056.91455078125,85362.11431884766,0.58978271484375,33572028416,0,881815552,0
0,1749278415634,1600,1600,1600,1600,1600,1599,1599,1599,0,0,11.111111640930176,4,4,0,7.692307949066162,0,131476.6157836914,74056.91967773438,85362.11639404297,0.58978271484375,33572028416,0,881815552,0
0,1749278415635,1600,1600,1600,1600,1600,1599,1599,1599,0,0,11.111111640930176,4,4,0,7.692307949066162,0,131476.6167602539,74056.92456054688,85362.11828613281,0.58978271484375,33572028416,0,881815552,0
0,1749278415636,1600,1600,1600,1600,1600,1599,1599,1599,0,0,11.111111640930176,4,4,0,7.692307949066162,0,131476.61779785156,74056.92999267578,85362.12078857422,0.58978271484375,33572028416,0,881815552,0
0,1749278415637,1600,1600,1600,1600,1600,1599,1599,1599,0,0,11.111111640930176,4,4,0,7.692307949066162,0,131476.61877441406,74056.9351196289,85362.12310791016,0.58978271484375,33572028416,0,881815552,0
0,1749278415638,1600,1600,1600,1600,1600,1599,1599,1599,0,0,11.111111640930176,4,4,0,7.692307949066162,0,131476.61975097656,74056.94030761719,85362.125,0.58978271484375,33572028416,0,881815552,0
