Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
200	14.00	1600	2758	0.86	77	0	0	2	3	5	36	0	2	0	0	0.00	2.36	1.88	7.83	60.93	0.00	3.85	0.00	0.00	22.20	12.64	51.15	0.00	48	0	49	90.84	77.35	0.00	0.00	2.17	13.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.57	2.32	0.00	0.99	0.00	0.00
356	20.67	1600	3336	0.73	57	0	1	1	2	4	51	0	2	0	0	0.05	0.03	0.47	1.92	81.36	0.00	2.08	0.00	0.00	18.20	1.58	59.54	0.00	49	0	49	139.58	99.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.04	3.47	0.00	1.18	0.00	0.00
485	29.37	1600	3194	0.81	54	0	0	3	7	1	39	0	5	0	0	0.00	0.11	1.10	0.57	60.67	0.00	10.77	0.00	0.00	27.25	1.00	42.38	0.00	49	0	49	212.70	103.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.03	4.77	0.00	1.32	0.00	0.00
367	23.00	1600	3086	0.86	49	0	0	0	1	3	38	0	5	0	0	0.00	0.00	0.28	1.62	67.62	0.00	7.57	0.00	0.00	21.51	2.09	53.40	0.00	50	0	49	179.40	97.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.65	4.05	0.00	1.22	0.00	0.00
370	23.21	1600	3083	0.96	50	0	0	0	1	0	37	0	5	0	0	0.00	0.00	0.05	0.00	68.46	0.00	8.29	0.00	0.00	22.06	0.00	54.16	0.57	50	0	50	173.72	101.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.55	4.09	0.00	1.18	0.00	0.00
412	24.88	1600	3206	0.72	43	0	0	1	5	9	46	0	3	0	0	0.00	0.04	0.94	2.16	70.84	0.00	4.21	0.00	0.00	25.34	1.09	48.69	0.00	50	0	50	164.83	100.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.49	3.95	0.00	1.02	0.00	0.00
187	11.64	1600	3109	0.83	49	0	0	0	1	0	46	0	1	0	0	0.00	0.00	0.37	0.00	88.19	0.00	0.56	0.00	0.00	16.32	0.00	72.04	0.00	49	0	49	119.95	80.57	0.00	0.00	1.80	14.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.07	2.86	0.00	1.16	0.00	0.00
192	12.12	1600	3071	0.82	44	0	0	1	4	4	50	0	1	0	0	0.00	0.04	0.88	0.41	86.17	0.00	0.09	0.00	0.00	17.37	0.00	70.51	0.00	48	0	49	98.01	80.99	0.00	0.00	0.86	14.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.53	2.47	0.00	0.97	0.00	0.00
188	11.71	1600	3113	0.83	41	0	0	0	1	2	39	0	7	0	0	0.00	0.00	0.20	1.17	76.63	0.00	11.15	0.00	0.00	15.46	1.13	71.70	0.00	49	0	49	90.83	80.21	0.00	0.00	1.86	14.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	2.24	0.00	1.11	0.00	0.00
184	11.51	1600	3103	0.83	50	0	0	0	1	2	43	0	4	0	0	0.00	0.00	0.11	0.21	82.20	0.00	6.59	0.00	0.00	15.68	0.00	72.24	0.58	48	0	49	91.17	79.96	0.00	0.00	1.77	15.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.40	2.30	0.00	0.95	0.00	0.00
