Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1749284051988,3493,3503,3500,3500,3499,3500,3504,3496,0,3.846153974533081,0,0,0,0,0,0,141696.0869140625,15193.690063476563,7132.4317626953125,0.60235595703125,33572028416,0,873238528,0
0,1749284051988,3493,3503,3500,3500,3499,3500,3504,3496,0,3.846153974533081,0,0,0,0,0,0,141696.0869140625,15193.690063476563,7132.4342041015625,0.60235595703125,33572028416,0,873238528,0
0,1749284051989,3493,3503,3500,3500,3499,3500,3504,3496,0,3.846153974533081,0,0,0,0,0,0,141696.0880126953,15193.696594238281,7132.437683105469,0.60235595703125,33572028416,0,873238528,0
0,1749284051990,3493,3503,3500,3500,3499,3500,3504,3496,0,3.846153974533081,0,0,0,0,0,0,141696.08917236328,15193.702941894531,7132.440734863281,0.60235595703125,33572028416,0,873238528,0
0,1749284051992,3493,3503,3500,3500,3499,3500,3504,3496,0,3.846153974533081,0,0,0,0,0,0,141696.09130859375,15193.7138671875,7132.443359375,0.60235595703125,33572028416,0,873238528,0
0,1749284051993,3493,3503,3500,3500,3499,3500,3504,3496,0,3.846153974533081,0,0,0,0,0,0,141696.0923461914,15193.71923828125,7132.4454345703125,0.60235595703125,33572028416,0,873238528,0
0,1749284051994,3493,3503,3500,3500,3499,3500,3504,3496,0,3.846153974533081,0,0,0,0,0,0,141696.0933227539,15193.724304199219,7132.447448730469,0.60235595703125,33572028416,0,873238528,0
0,1749284051995,3493,3503,3500,3500,3499,3500,3504,3496,0,3.846153974533081,0,0,0,0,0,0,141696.0942993164,15193.729370117188,7132.44970703125,0.60235595703125,33572028416,0,873238528,0
0,1749284051996,3493,3503,3500,3500,3499,3500,3504,3496,0,3.846153974533081,0,0,0,0,0,0,141696.09533691406,15193.734619140625,7132.452331542969,0.60235595703125,33572028416,0,873238528,0
0,1749284051997,3493,3503,3500,3500,3499,3500,3504,3496,0,3.846153974533081,0,0,0,0,0,0,141696.09631347656,15193.740051269531,7132.454162597656,0.60235595703125,33572028416,0,873238528,0
0,1749284051998,3493,3503,3500,3500,3499,3500,3504,3496,0,3.846153974533081,0,0,0,0,0,0,141696.09735107422,15193.744934082031,7132.4560546875,0.60235595703125,33572028416,0,873238528,0
