Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1749142722168,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.27856445313,230542.6548461914,191220.47717285156,0.26129150390625,33572028416,0,742215680,0
0,1749142722169,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.27966308594,230542.66143798828,191220.4803466797,0.26129150390625,33572028416,0,742215680,0
0,1749142722170,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.28088378906,230542.66802978516,191220.48364257813,0.26129150390625,33572028416,0,742215680,0
0,1749142722171,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.28192138672,230542.67401123047,191220.4871826172,0.26129150390625,33572028416,0,742215680,0
0,1749142722172,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.28295898438,230542.67950439453,191220.48974609375,0.26129150390625,33572028416,0,742215680,0
0,1749142722173,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.28393554688,230542.68487548828,191220.4920654297,0.26129150390625,33572028416,0,742215680,0
0,1749142722174,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.28497314453,230542.6905517578,191220.4942626953,0.26129150390625,33572028416,0,742215680,0
0,1749142722175,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.28594970703,230542.69549560547,191220.49645996094,0.26129150390625,33572028416,0,742215680,0
0,1749142722176,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.28698730469,230542.70080566406,191220.49865722656,0.26129150390625,33572028416,0,742215680,0
0,1749142722177,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.28796386719,230542.70581054688,191220.50073242188,0.26129150390625,33572028416,0,742215680,0
0,1749142722178,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.28900146484,230542.7113647461,191220.5030517578,0.26129150390625,33572028416,0,742215680,0
0,1749142722179,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.28997802734,230542.71630859375,191220.50506591797,0.26129150390625,33572028416,0,742215680,0
0,1749142722180,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.291015625,230542.72131347656,191220.5068359375,0.26129150390625,33572028416,0,742215680,0
0,1749142722181,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.2919921875,230542.7260131836,191220.50848388672,0.26129150390625,33572028416,0,742215680,0
0,1749142722182,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.29302978516,230542.73065185547,191220.5103149414,0.26129150390625,33572028416,0,742215680,0
0,1749142722183,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.29504394531,230542.7413330078,191220.5125732422,0.26129150390625,33572028416,0,742215680,0
0,1749142722185,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.29608154297,230542.74639892578,191220.5155029297,0.26129150390625,33572028416,0,742215680,0
0,1749142722186,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.29705810547,230542.75115966797,191220.51763916016,0.26129150390625,33572028416,0,742215680,0
0,1749142722187,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.29809570313,230542.75665283203,191220.5196533203,0.26129150390625,33572028416,0,742215680,0
0,1749142722188,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.29907226563,230542.76171875,191220.52172851563,0.26129150390625,33572028416,0,742215680,0
0,1749142722189,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.30004882813,230542.76684570313,191220.5238647461,0.26129150390625,33572028416,0,742215680,0
0,1749142722190,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.30108642578,230542.77178955078,191220.52612304688,0.26129150390625,33572028416,0,742215680,0
0,1749142722191,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.30206298828,230542.77709960938,191220.5281982422,0.26129150390625,33572028416,0,742215680,0
0,1749142722192,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.30310058594,230542.78228759766,191220.5303955078,0.26129150390625,33572028416,0,742215680,0
0,1749142722193,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.30407714844,230542.78741455078,191220.5323486328,0.26129150390625,33572028416,0,742215680,0
0,1749142722194,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.3051147461,230542.79248046875,191220.5341796875,0.26129150390625,33572028416,0,742215680,0
0,1749142722195,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.3060913086,230542.7973022461,191220.53594970703,0.26129150390625,33572028416,0,742215680,0
0,1749142722196,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.3070678711,230542.80206298828,191220.53771972656,0.26129150390625,33572028416,0,742215680,0
0,1749142722198,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.30908203125,230542.80670166016,191220.53942871094,0.26129150390625,33572028416,0,742215680,0
0,1749142722199,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.3101196289,230542.81658935547,191220.54162597656,0.26129150390625,33572028416,0,742215680,0
0,1749142722200,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.3110961914,230542.82232666016,191220.54425048828,0.26129150390625,33572028416,0,742215680,0
1,1749142722201,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.31213378906,230542.8275756836,191220.5469970703,0.26129150390625,33572028416,0,742215680,0
0,1749142722202,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.31311035156,230542.8330078125,191220.54956054688,0.26129150390625,33572028416,0,742215680,0
0,1749142722203,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.31414794922,230542.83856201172,191220.55206298828,0.26129150390625,33572028416,0,742215680,0
0,1749142722204,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.31512451172,230542.84393310547,191220.55462646484,0.26129150390625,33572028416,0,742215680,0
1,1749142722205,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.31616210938,230542.84991455078,191220.55731201172,0.26129150390625,33572028416,0,742215680,0
1,1749142722206,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.31713867188,230542.8553466797,191220.55981445313,0.26129150390625,33572028416,0,742215680,0
1,1749142722207,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.31811523438,230542.86059570313,191220.56213378906,0.26129150390625,33572028416,0,742215680,0
1,1749142722208,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.31909179688,230542.86590576172,191220.56408691406,0.26129150390625,33572028416,0,742215680,0
1,1749142722209,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.32012939453,230542.87115478516,191220.5659790039,0.26129150390625,33572028416,0,742215680,0
0,1749142722211,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.32214355469,230542.88037109375,191220.5679321289,0.26129150390625,33572028416,0,742215680,0
0,1749142722212,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.32312011719,230542.88580322266,191220.57049560547,0.26129150390625,33572028416,0,742215680,0
0,1749142722213,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.32409667969,230542.8910522461,191220.57257080078,0.26129150390625,33572028416,0,742215680,0
0,1749142722214,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.32513427734,230542.8966064453,191220.5753173828,0.26129150390625,33572028416,0,742215680,0
0,1749142722215,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.32611083984,230542.90197753906,191220.57794189453,0.26129150390625,33572028416,0,742215680,0
0,1749142722216,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.32708740234,230542.90747070313,191220.58038330078,0.26129150390625,33572028416,0,742215680,0
0,1749142722217,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.328125,230542.91314697266,191220.5831298828,0.26129150390625,33572028416,0,742215680,0
1,1749142722218,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.32916259766,230542.91870117188,191220.58563232422,0.26129150390625,33572028416,0,742215680,0
1,1749142722219,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.33013916016,230542.92419433594,191220.58795166016,0.26129150390625,33572028416,0,742215680,0
0,1749142722220,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.33111572266,230542.92950439453,191220.59014892578,0.26129150390625,33572028416,0,742215680,0
0,1749142722221,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.33215332031,230542.93475341797,191220.59246826172,0.26129150390625,33572028416,0,742215680,0
0,1749142722222,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.33312988281,230542.94012451172,191220.5946044922,0.26129150390625,33572028416,0,742215680,0
1,1749142722223,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.33416748047,230542.94525146484,191220.59661865234,0.26129150390625,33572028416,0,742215680,0
0,1749142722225,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.33618164063,230542.9501953125,191220.5986328125,0.26129150390625,33572028416,0,742215680,0
0,1749142722226,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.33715820313,230542.96026611328,191220.60125732422,0.26129150390625,33572028416,0,742215680,0
0,1749142722227,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.33813476563,230542.96545410156,191220.60382080078,0.26129150390625,33572028416,0,742215680,0
0,1749142722228,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.33917236328,230542.97119140625,191220.60614013672,0.26129150390625,33572028416,0,742215680,0
0,1749142722229,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.34014892578,230542.97674560547,191220.60888671875,0.26129150390625,33572028416,0,742215680,0
0,1749142722230,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.34118652344,230542.98211669922,191220.611328125,0.26129150390625,33572028416,0,742215680,0
0,1749142722231,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.34216308594,230542.98754882813,191220.6138305664,0.26129150390625,33572028416,0,742215680,0
1,1749142722232,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.34313964844,230542.99298095703,191220.61627197266,0.26129150390625,33572028416,0,742215680,0
1,1749142722233,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.3441772461,230542.99853515625,191220.61853027344,0.26129150390625,33572028416,0,742215680,0
1,1749142722234,1600,1600,1600,1600,1599,1598,1599,1599,0,3.846153974533081,0,4,0,0,4,0,127673.3451538086,230543.00390625,191220.62084960938,0.26129150390625,33572028416,0,742215680,0
