Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
195	11.90	1600	3164	0.78	92	0	0	2	1	1	42	0	1	0	0	0.00	1.54	0.31	0.75	85.46	0.00	2.34	0.00	0.00	15.20	0.00	72.91	0.00	50	0	50	97.84	82.63	0.00	0.00	1.45	14.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.06	2.62	0.00	0.97	0.00	0.00
183	11.46	1601	3097	0.82	49	0	0	0	0	2	43	0	2	0	0	0.00	0.00	0.00	1.41	82.99	0.00	4.57	0.00	0.00	15.81	2.45	70.28	0.00	50	0	50	89.34	79.57	0.00	0.00	2.99	13.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.82	2.19	0.00	1.13	0.00	0.00
205	13.10	1597	3039	0.78	40	0	0	2	1	5	49	0	3	0	0	0.00	0.07	0.02	1.23	82.83	0.00	1.53	0.00	0.00	15.60	0.00	71.30	0.00	50	0	50	92.08	81.08	0.00	0.00	1.48	14.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.80	2.45	0.00	0.90	0.00	0.00
378	27.37	1601	2672	0.86	51	0	0	1	0	2	41	0	4	0	0	0.00	0.00	0.00	0.95	58.25	0.00	3.75	0.00	0.00	24.31	1.90	45.45	0.97	50	0	50	164.15	97.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.26	3.14	0.00	1.12	0.00	0.00
418	26.80	1600	3021	0.84	51	0	0	0	5	2	54	0	2	0	0	0.00	0.00	0.97	0.75	66.92	0.00	3.10	0.00	0.00	26.76	0.60	45.84	0.00	50	0	50	195.17	92.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.33	4.12	0.00	1.02	0.00	0.00
339	18.07	1600	3628	0.90	57	0	0	0	2	1	45	0	7	0	0	0.00	0.00	0.56	0.68	84.61	0.00	10.55	0.00	0.00	21.41	1.03	59.07	0.43	51	0	51	170.47	107.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.68	4.70	0.00	1.56	0.00	0.00
404	29.27	1600	2674	0.76	50	0	0	2	2	4	42	0	5	0	0	0.00	0.04	0.23	1.15	54.34	0.00	5.63	0.00	0.00	22.34	1.17	47.23	0.00	51	0	51	166.49	96.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.05	3.31	0.00	0.81	0.00	0.00
232	12.06	1600	3718	0.70	59	0	1	0	2	3	48	0	7	0	0	0.07	0.00	0.46	0.94	94.83	0.00	9.79	0.00	0.00	15.75	0.70	68.94	2.56	50	0	51	127.75	89.15	0.00	0.00	1.10	12.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.35	3.80	0.00	1.39	0.00	0.00
188	11.67	1600	3111	0.83	49	0	0	0	0	1	38	0	9	0	0	0.00	0.00	0.00	0.62	73.57	0.00	14.95	0.00	0.00	15.82	1.07	70.32	1.13	50	0	51	91.17	81.20	0.00	0.00	3.02	13.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.21	2.22	0.00	1.12	0.00	0.00
186	11.64	1601	3100	0.82	40	0	0	1	2	3	35	0	12	0	0	0.00	0.00	0.28	0.65	68.82	0.00	19.09	0.00	0.00	15.35	0.00	67.11	5.90	50	0	51	93.04	81.40	0.00	0.00	0.92	15.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.23	2.33	0.00	0.93	0.00	0.00
184	11.52	1600	3098	0.83	49	0	0	0	1	1	37	0	9	0	0	0.00	0.00	0.07	0.64	72.23	0.00	15.97	0.00	0.00	15.80	1.10	70.88	0.70	50	0	51	90.29	79.78	0.00	0.00	2.66	14.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.58	2.53	0.00	1.10	0.00	0.00
184	11.52	1600	3086	0.82	41	0	0	1	1	1	40	0	7	0	0	0.00	0.04	0.28	0.39	76.03	0.00	11.80	0.00	0.00	15.99	0.00	72.49	0.00	50	0	51	91.67	80.43	0.00	0.00	1.28	13.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.22	2.30	0.00	0.92	0.00	0.00
189	11.81	1600	3101	0.82	46	0	0	1	1	2	42	0	6	0	0	0.00	0.02	0.16	0.44	76.24	0.00	11.82	0.00	0.00	16.18	0.00	67.90	4.10	50	0	50	93.99	80.40	0.00	0.00	1.90	14.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.55	2.53	0.00	1.11	0.00	0.00
183	11.46	1599	3090	0.83	47	0	0	1	1	3	42	0	5	0	0	0.00	0.04	0.11	0.87	80.06	0.00	7.69	0.00	0.00	15.78	1.03	71.73	0.00	50	0	51	92.10	80.09	0.00	0.00	1.85	15.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.19	2.21	0.00	0.93	0.00	0.00
188	11.71	1601	3104	0.82	42	0	0	0	1	3	34	0	10	0	0	0.00	0.00	0.27	1.42	69.34	0.00	17.85	0.00	0.00	15.41	0.91	64.57	7.40	50	0	51	91.43	80.36	0.00	0.00	2.94	13.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.07	2.34	0.00	0.91	0.00	0.00
183	11.45	1600	3089	0.82	49	0	0	0	1	1	32	0	14	0	0	0.00	0.00	0.24	0.59	60.04	0.00	27.86	0.00	0.00	15.87	1.00	62.94	8.74	50	0	51	88.59	79.89	0.00	0.00	2.99	13.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.04	2.38	0.00	1.11	0.00	0.00
194	12.11	1600	3101	0.80	43	0	0	0	2	4	39	0	8	0	0	0.00	0.00	0.24	1.08	71.47	0.00	15.61	0.00	0.00	15.80	0.00	64.85	7.24	50	0	51	95.97	81.47	0.00	0.00	1.47	12.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.84	2.38	0.00	0.93	0.00	0.00
184	11.46	1600	3099	0.82	49	0	0	0	1	1	32	0	14	0	0	0.00	0.00	0.13	0.50	60.53	0.00	27.80	0.00	0.00	16.29	0.82	64.47	6.96	50	0	50	89.81	79.94	0.00	0.00	3.08	13.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.83	2.13	0.00	1.11	0.00	0.00
186	11.63	1601	3090	0.83	41	0	0	0	2	2	33	0	11	0	0	0.00	0.00	0.35	0.86	67.35	0.00	20.00	0.00	0.00	15.37	0.00	66.29	6.71	50	0	51	93.30	80.81	0.00	0.00	1.07	14.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.97	2.41	0.00	0.92	0.00	0.00
187	11.59	1600	3120	0.82	49	0	0	0	1	3	41	0	6	0	0	0.00	0.00	0.11	0.84	75.19	0.00	13.33	0.00	0.00	16.25	1.08	71.08	0.00	50	0	51	90.18	80.21	0.00	0.00	3.94	12.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.16	2.49	0.00	1.12	0.00	0.00
183	11.52	1599	3078	0.83	41	0	0	0	2	2	39	0	8	0	0	0.00	0.00	0.38	0.56	74.89	0.00	12.49	0.00	0.00	15.41	0.00	69.79	3.28	50	0	51	92.80	80.79	0.00	0.00	1.55	14.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.96	2.42	0.00	0.91	0.00	0.00
185	11.52	1601	3105	0.82	49	0	0	0	0	1	37	0	9	0	0	0.00	0.00	0.00	0.54	76.15	0.00	12.42	0.00	0.00	15.96	0.92	69.91	1.70	50	0	50	89.92	79.57	0.00	0.00	2.34	14.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.03	2.38	0.00	1.12	0.00	0.00
183	11.48	1599	3090	0.84	40	0	0	0	2	2	34	0	11	0	0	0.00	0.00	0.24	0.89	68.35	0.00	19.20	0.00	0.00	15.17	0.84	72.52	0.00	50	0	50	92.92	80.95	0.00	0.00	1.08	14.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.62	2.25	0.00	0.91	0.00	0.00
185	11.55	1601	3097	0.82	43	0	0	0	1	0	33	0	13	0	0	0.00	0.00	0.15	0.00	66.73	0.00	21.96	0.00	0.00	15.76	0.00	72.46	0.23	50	0	50	90.06	79.90	0.00	0.00	3.13	13.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.10	2.29	0.00	1.12	0.00	0.00
182	11.38	1600	3088	0.83	47	0	1	0	2	3	41	0	6	0	0	0.07	0.00	0.40	0.91	78.81	0.00	8.66	0.00	0.00	15.71	1.23	69.17	2.51	50	0	50	91.57	80.91	0.00	0.00	1.45	13.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.85	2.35	0.00	0.91	0.00	0.00
186	11.57	1600	3107	0.82	41	0	0	1	0	2	33	0	12	0	0	0.00	0.06	0.00	0.97	70.15	0.00	17.95	0.00	0.00	15.57	1.02	67.46	4.38	50	0	50	90.29	79.87	0.00	0.00	2.97	13.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.89	2.26	0.00	1.11	0.00	0.00
182	11.44	1600	3085	0.83	49	0	0	0	1	2	34	0	12	0	0	0.00	0.00	0.09	1.07	67.08	0.00	20.36	0.00	0.00	15.51	1.68	68.69	2.68	51	0	50	91.35	80.01	0.00	0.00	3.00	13.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.72	2.18	0.00	0.91	0.00	0.00
185	11.55	1600	3100	0.82	41	0	0	0	1	2	32	0	12	0	0	0.00	0.00	0.17	0.98	66.06	0.00	21.69	0.00	0.00	15.28	0.89	64.39	7.89	50	0	50	90.70	79.98	0.00	0.00	3.07	13.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.09	2.51	0.00	0.93	0.00	0.00
187	11.65	1600	3098	0.83	49	0	0	1	1	2	41	0	8	0	0	0.00	0.02	0.13	0.20	74.22	0.00	14.23	0.00	0.00	16.29	0.00	67.84	4.21	50	0	51	90.51	80.37	0.00	0.00	2.59	13.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.90	2.28	0.00	1.10	0.00	0.00
