Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1749173118346,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8203125,167825.4369506836,23916.01983642578,0.33831787109375,33572028416,0,758120448,0
0,1749173118346,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8214111328,167825.44317626953,23916.022888183594,0.33831787109375,33572028416,0,758120448,0
0,1749173118347,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.82257080078,167825.44927978516,23916.025939941406,0.33831787109375,33572028416,0,758120448,0
0,1749173118348,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8236694336,167825.4555053711,23916.029174804688,0.33831787109375,33572028416,0,758120448,0
0,1749173118349,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.82470703125,167825.4613647461,23916.031616210938,0.33831787109375,33572028416,0,758120448,0
0,1749173118350,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.82568359375,167825.46630859375,23916.033752441406,0.33831787109375,33572028416,0,758120448,0
0,1749173118351,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8267211914,167825.47137451172,23916.03564453125,0.33831787109375,33572028416,0,758120448,0
0,1749173118352,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.82775878906,167825.47674560547,23916.037963867188,0.33831787109375,33572028416,0,758120448,0
0,1749173118353,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.82873535156,167825.4819946289,23916.039978027344,0.33831787109375,33572028416,0,758120448,0
0,1749173118354,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.82971191406,167825.4867553711,23916.04168701172,0.33831787109375,33572028416,0,758120448,0
0,1749173118355,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.83074951172,167825.4913330078,23916.043029785156,0.33831787109375,33572028416,0,758120448,0
0,1749173118356,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.83276367188,167825.50036621094,23916.04461669922,0.33831787109375,33572028416,0,758120448,0
0,1749173118358,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.83380126953,167825.5053100586,23916.046752929688,0.33831787109375,33572028416,0,758120448,0
0,1749173118359,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.83477783203,167825.51043701172,23916.04901123047,0.33831787109375,33572028416,0,758120448,0
0,1749173118360,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.83575439453,167825.5157470703,23916.051391601563,0.33831787109375,33572028416,0,758120448,0
0,1749173118361,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8367919922,167825.52124023438,23916.053833007813,0.33831787109375,33572028416,0,758120448,0
0,1749173118362,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.83782958984,167825.5264892578,23916.055908203125,0.33831787109375,33572028416,0,758120448,0
0,1749173118363,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.83880615234,167825.5313720703,23916.057678222656,0.33831787109375,33572028416,0,758120448,0
0,1749173118364,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.83978271484,167825.5365600586,23916.05975341797,0.33831787109375,33572028416,0,758120448,0
0,1749173118365,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8408203125,167825.54162597656,23916.06182861328,0.33831787109375,33572028416,0,758120448,0
0,1749173118366,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.84185791016,167825.54663085938,23916.063720703125,0.33831787109375,33572028416,0,758120448,0
0,1749173118367,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.84283447266,167825.55169677734,23916.065795898438,0.33831787109375,33572028416,0,758120448,0
0,1749173118368,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.84381103516,167825.55657958984,23916.067749023438,0.33831787109375,33572028416,0,758120448,0
0,1749173118369,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.84478759766,167825.5615234375,23916.06951904297,0.33831787109375,33572028416,0,758120448,0
0,1749173118370,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8458251953,167825.5662841797,23916.071044921875,0.33831787109375,33572028416,0,758120448,0
0,1749173118371,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.84686279297,167825.5711669922,23916.072814941406,0.33831787109375,33572028416,0,758120448,0
0,1749173118372,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8477783203,167825.5756225586,23916.074340820313,0.33831787109375,33572028416,0,758120448,0
0,1749173118373,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.84985351563,167825.5805053711,23916.075927734375,0.33831787109375,33572028416,0,758120448,0
0,1749173118375,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.85083007813,167825.58984375,23916.078125,0.33831787109375,33572028416,0,758120448,0
0,1749173118376,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.85186767578,167825.5948486328,23916.080017089844,0.33831787109375,33572028416,0,758120448,0
0,1749173118377,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.85290527344,167825.60034179688,23916.08251953125,0.33831787109375,33572028416,0,758120448,0
0,1749173118378,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.85388183594,167825.60510253906,23916.08447265625,0.33831787109375,33572028416,0,758120448,0
0,1749173118379,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.85485839844,167825.6103515625,23916.086486816406,0.33831787109375,33572028416,0,758120448,0
0,1749173118380,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8558959961,167825.61584472656,23916.089416503906,0.33831787109375,33572028416,0,758120448,0
0,1749173118381,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8568725586,167825.6215209961,23916.091918945313,0.33831787109375,33572028416,0,758120448,0
1,1749173118382,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.85791015625,167825.62725830078,23916.09454345703,0.33831787109375,33572028416,0,758120448,0
1,1749173118383,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.85888671875,167825.63262939453,23916.096801757813,0.33831787109375,33572028416,0,758120448,0
1,1749173118384,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8599243164,167825.63793945313,23916.09893798828,0.33831787109375,33572028416,0,758120448,0
1,1749173118385,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8609008789,167825.64294433594,23916.10076904297,0.33831787109375,33572028416,0,758120448,0
0,1749173118386,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.86291503906,167825.6478881836,23916.102600097656,0.33831787109375,33572028416,0,758120448,0
0,1749173118388,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.86291503906,167825.65252685547,23916.105102539063,0.33831787109375,33572028416,0,758120448,0
0,1749173118389,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.86395263672,167825.65795898438,23916.107482910156,0.33831787109375,33572028416,0,758120448,0
0,1749173118390,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.86596679688,167825.6688232422,23916.109802246094,0.33831787109375,33572028416,0,758120448,0
0,1749173118391,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.86688232422,167825.6739501953,23916.11260986328,0.33831787109375,33572028416,0,758120448,0
0,1749173118392,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.86791992188,167825.67962646484,23916.11505126953,0.33831787109375,33572028416,0,758120448,0
0,1749173118393,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.86889648438,167825.6851196289,23916.117736816406,0.33831787109375,33572028416,0,758120448,0
0,1749173118394,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.86993408203,167825.6905517578,23916.120178222656,0.33831787109375,33572028416,0,758120448,0
1,1749173118395,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.87091064453,167825.6957397461,23916.122497558594,0.33831787109375,33572028416,0,758120448,0
1,1749173118396,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8719482422,167825.70147705078,23916.125061035156,0.33831787109375,33572028416,0,758120448,0
1,1749173118397,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8729248047,167825.70654296875,23916.127075195313,0.33831787109375,33572028416,0,758120448,0
0,1749173118398,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.8739013672,167825.71160888672,23916.12908935547,0.33831787109375,33572028416,0,758120448,0
1,1749173118399,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.87493896484,167825.71649169922,23916.130737304688,0.33831787109375,33572028416,0,758120448,0
0,1749173118400,1600,1600,1599,800,1599,1600,1599,1600,3.7037036418914795,0,0,3.846153974533081,0,3.846153974533081,0,0,186017.87689208984,167825.72589111328,23916.13250732422,0.33831787109375,33572028416,0,758120448,0
