Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
196	12.10	1600	3142	0.77	80	0	0	4	3	2	37	0	3	0	1	0.00	5.35	3.42	3.14	72.34	0.00	5.24	0.00	0.04	26.30	5.77	55.83	0.00	49	0	50	98.91	81.04	0.00	0.00	2.04	14.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.59	2.88	0.00	1.15	0.00	0.00
410	25.42	1600	3125	0.85	44	0	0	0	1	4	41	0	2	0	0	0.00	0.00	0.11	2.32	69.24	0.00	3.95	0.00	0.00	26.44	2.62	45.52	0.00	49	0	50	168.74	100.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.14	3.79	0.00	1.13	0.00	0.00
421	27.42	1600	2970	0.85	53	0	0	0	4	3	42	0	6	0	0	0.00	0.00	0.93	1.49	56.93	0.00	10.61	0.00	0.00	29.23	2.77	40.58	0.00	50	0	50	218.67	94.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.97	4.42	0.00	1.26	0.00	0.00
375	23.13	1600	3141	0.88	51	0	0	0	0	1	40	0	5	0	0	0.00	0.00	0.00	0.70	69.44	0.00	8.16	0.00	0.00	22.63	1.25	52.99	0.00	50	0	50	187.14	101.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.70	4.33	0.00	1.21	0.00	0.00
376	23.29	1600	3124	0.95	50	0	0	1	1	0	34	0	8	0	0	0.00	0.04	0.19	0.00	65.08	0.00	12.39	0.00	0.00	22.24	0.00	54.20	0.27	51	0	51	173.87	101.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.44	4.04	0.00	1.19	0.00	0.00
294	18.11	1600	3144	0.71	60	0	0	1	2	6	64	0	3	0	0	0.00	0.03	0.19	1.33	79.60	0.00	2.41	0.00	0.00	20.14	1.28	60.47	0.00	50	0	50	143.38	99.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.27	3.36	0.00	1.02	0.00	0.00
189	11.75	1600	3105	0.83	49	0	0	1	0	1	44	0	2	0	0	0.00	0.00	0.00	0.59	85.81	0.00	2.46	0.00	0.00	15.85	1.03	71.37	0.00	50	0	50	90.62	80.49	0.00	0.00	1.86	14.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.39	2.34	0.00	1.12	0.00	0.00
181	11.41	1600	3074	0.83	41	0	0	0	2	1	39	0	6	0	0	0.00	0.00	0.35	0.33	78.24	0.00	9.38	0.00	0.00	15.47	0.00	73.12	0.00	50	0	50	93.77	80.73	0.00	0.00	0.86	14.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.17	2.24	0.00	0.95	0.00	0.00
187	11.67	1600	3109	0.82	43	0	0	0	1	1	35	0	11	0	0	0.00	0.00	0.09	0.35	70.23	0.00	18.41	0.00	0.00	15.48	0.00	72.37	0.48	49	0	50	90.38	79.90	0.00	0.00	2.14	14.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.38	2.34	0.00	1.10	0.00	0.00
183	11.45	1600	3084	0.83	47	0	0	1	1	3	38	0	9	0	0	0.00	0.04	0.11	0.89	71.56	0.00	16.00	0.00	0.00	15.69	1.12	70.89	0.86	49	0	50	91.70	80.52	0.00	0.00	1.86	15.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.40	2.43	0.00	0.94	0.00	0.00
190	11.85	1600	3104	0.81	47	0	0	1	2	3	44	0	7	0	0	0.00	0.02	0.47	1.33	77.50	0.00	9.46	0.00	0.00	17.08	0.94	69.80	0.34	49	0	50	93.56	80.17	0.00	0.00	2.57	14.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.26	2.30	0.00	1.09	0.00	0.00
183	11.42	1599	3109	0.83	51	0	0	0	1	2	38	0	8	0	0	0.00	0.00	0.21	0.77	74.46	0.00	13.89	0.00	0.00	15.88	1.16	70.73	0.81	49	0	50	90.80	80.25	0.00	0.00	1.76	15.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	2.26	0.00	0.95	0.00	0.00
