Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1749205978077,1600,1599,1600,1601,1599,1600,1602,1599,7.407407283782959,0,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,0,250370.9271850586,51012.17010498047,53914.72918701172,0.4166259765625,33572028416,0,785797120,0
0,1749205978077,1600,1599,1600,1601,1599,1600,1602,1599,7.407407283782959,0,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,0,250370.92840576172,51012.17596435547,53914.7314453125,0.4166259765625,33572028416,0,785797120,0
0,1749205978078,1600,1599,1600,1601,1599,1600,1602,1599,7.407407283782959,0,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,0,250370.92950439453,51012.18243408203,53914.73474121094,0.4166259765625,33572028416,0,786313216,0
0,1749205978079,1600,1599,1600,1601,1599,1600,1602,1599,7.407407283782959,0,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,0,250370.9306640625,51012.188720703125,53914.738037109375,0.4166259765625,33572028416,0,786313216,0
0,1749205978080,1600,1599,1600,1601,1599,1600,1602,1599,7.407407283782959,0,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,0,250370.93170166016,51012.194396972656,53914.740234375,0.4166259765625,33572028416,0,786313216,0
0,1749205978081,1600,1599,1600,1601,1599,1600,1602,1599,7.407407283782959,0,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,0,250370.9327392578,51012.19970703125,53914.74249267578,0.4166259765625,33572028416,0,786313216,0
0,1749205978083,1600,1599,1600,1601,1599,1600,1602,1599,7.407407283782959,0,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,0,250370.93475341797,51012.20977783203,53914.744567871094,0.4166259765625,33572028416,0,786313216,0
0,1749205978084,1600,1599,1600,1601,1599,1600,1602,1599,7.407407283782959,0,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,0,250370.93579101563,51012.215270996094,53914.74737548828,0.4166259765625,33572028416,0,786313216,0
0,1749205978085,1600,1599,1600,1601,1599,1600,1602,1599,7.407407283782959,0,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,0,250370.93676757813,51012.220275878906,53914.74951171875,0.4166259765625,33572028416,0,786313216,0
0,1749205978086,1600,1599,1600,1601,1599,1600,1602,1599,7.407407283782959,0,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,0,250370.93780517578,51012.225524902344,53914.75158691406,0.4166259765625,33572028416,0,786313216,0
0,1749205978087,1600,1599,1600,1601,1599,1600,1602,1599,7.407407283782959,0,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,0,250370.93878173828,51012.23028564453,53914.753479003906,0.4166259765625,33572028416,0,786313216,0
