Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
199	12.29	1600	3139	0.77	87	0	0	6	2	3	35	0	3	0	0	0.00	6.92	2.81	4.73	67.95	0.00	6.87	0.00	0.00	29.01	1.11	57.59	0.00	49	0	50	99.12	82.16	0.00	0.00	1.09	11.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.69	2.85	0.00	1.17	0.00	0.00
194	15.16	1599	2476	0.61	41	0	0	0	2	3	38	0	4	0	0	0.00	0.00	0.41	1.44	60.90	0.00	5.37	0.00	0.00	14.72	2.01	64.34	3.77	50	0	50	89.85	78.12	0.00	0.00	1.08	12.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.97	1.99	0.00	0.73	0.00	0.00
568	31.31	1600	3513	0.57	69	0	0	1	7	4	48	0	7	0	1	0.00	0.01	0.66	1.61	64.54	0.00	11.13	0.00	0.46	29.10	2.01	36.71	0.87	50	0	50	188.22	99.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.31	4.30	0.00	1.44	0.00	0.00
531	31.63	1600	3247	0.82	57	0	0	0	4	3	52	0	0	0	0	0.00	0.00	0.74	0.97	70.38	0.00	0.00	0.00	0.00	31.64	0.29	36.44	0.00	50	0	50	265.70	101.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.04	5.48	0.00	1.30	0.00	0.00
323	19.78	1600	3164	0.93	52	0	0	0	0	2	39	0	5	0	0	0.00	0.00	0.00	1.63	71.21	0.00	9.48	0.00	0.00	19.61	2.91	57.70	0.00	50	0	50	176.02	98.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.74	4.19	0.00	1.19	0.00	0.00
414	26.10	1600	3067	0.91	42	0	0	2	0	4	37	0	3	0	0	0.00	0.04	0.00	1.89	69.35	0.00	2.22	0.00	0.00	23.97	2.14	47.67	0.12	50	0	51	171.49	98.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.23	4.03	0.00	0.94	0.00	0.00
399	27.32	1600	2824	0.69	50	0	0	1	8	3	50	0	7	0	0	0.00	0.02	1.23	0.69	54.42	0.00	10.35	0.00	0.00	27.20	0.79	44.69	0.00	50	0	50	188.76	100.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.95	3.80	0.00	1.12	0.00	0.00
403	23.94	1600	3257	0.64	49	0	0	2	4	16	58	0	1	0	0	0.00	0.05	1.27	5.39	73.52	0.00	0.25	0.00	0.00	26.44	5.93	43.69	0.00	50	0	50	184.78	98.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.60	4.42	0.00	1.29	0.00	0.00
411	24.52	1600	3246	0.68	58	0	0	1	5	6	63	0	0	0	0	0.00	0.00	0.70	2.89	76.01	0.00	0.00	0.00	0.00	27.15	3.26	45.06	0.00	50	0	50	180.88	99.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.46	4.32	0.00	1.16	0.00	0.00
415	26.06	1600	3084	0.59	42	0	0	3	20	17	66	0	0	0	0	0.00	0.07	4.28	6.02	63.90	0.00	0.00	0.00	0.00	31.86	4.95	37.13	0.00	50	0	50	207.42	102.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.91	4.53	0.00	1.14	0.00	0.00
