Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
309	10.61	2898	3110	0.80	104	0	0	5	2	6	21	0	0	0	0	0.00	11.35	3.84	18.25	56.49	0.00	0.00	0.00	0.00	34.77	16.72	37.90	0.00	53	0	54	99.38	71.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.42	8.78	0.00	0.94	0.00	0.00
266	9.75	2758	3059	0.85	33	0	0	0	3	2	32	0	0	0	0	0.00	0.00	1.19	2.98	85.19	0.00	0.00	0.00	0.00	14.35	5.60	70.29	0.00	52	0	52	74.77	69.14	0.00	0.00	2.25	20.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.10	4.87	0.00	1.14	0.00	0.00
255	9.85	2600	3083	0.86	33	0	0	1	1	1	33	0	0	0	0	0.00	0.05	0.45	0.92	88.60	0.00	0.00	0.00	0.00	13.73	1.61	74.82	0.00	52	0	52	78.66	70.35	0.00	0.00	2.12	19.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.93	4.43	0.00	1.06	0.00	0.00
234	9.62	2521	2983	0.85	33	0	0	0	0	2	35	0	0	0	0	0.00	0.00	0.00	1.17	86.13	0.00	0.00	0.00	0.00	13.96	0.00	76.42	0.00	51	0	51	76.69	69.54	0.00	0.00	5.26	18.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.43	4.35	0.00	0.76	0.00	0.00
234	10.15	2299	3104	0.86	33	0	0	0	1	2	34	0	2	0	0	0.00	0.00	0.29	1.33	85.59	0.00	3.14	0.00	0.00	14.54	1.35	73.96	0.00	51	0	51	80.57	73.22	0.00	0.00	3.81	18.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.78	3.97	0.00	1.21	0.00	0.00
293	14.28	2193	2901	0.86	33	0	0	1	1	2	37	0	4	0	0	0.00	0.02	0.24	0.70	71.26	0.00	8.39	0.00	0.00	17.95	0.00	67.78	0.00	51	0	51	77.37	70.57	0.00	0.00	1.90	17.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.29	3.74	0.00	0.89	0.00	0.00
427	24.63	2005	2677	0.83	42	0	0	0	3	1	40	0	4	0	0	0.00	0.00	0.45	0.41	57.83	0.00	6.66	0.00	0.00	26.52	0.81	48.04	0.00	52	0	51	152.37	87.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.64	4.41	0.00	0.86	0.00	0.00
457	21.94	1858	3470	0.84	53	0	1	3	3	8	49	0	4	0	0	0.04	0.02	0.65	2.38	75.40	0.00	9.42	0.00	0.00	24.55	2.42	51.09	0.00	51	0	52	210.92	108.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.94	6.80	0.00	1.64	0.00	0.00
194	11.55	1698	3063	0.83	40	0	0	1	2	1	40	0	3	0	0	0.00	0.06	0.30	0.49	80.06	0.00	6.92	0.00	0.00	14.80	0.00	73.65	0.00	51	0	51	113.00	80.09	0.00	0.00	1.52	15.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	3.39	0.00	1.04	0.00	0.00
188	11.55	1640	3075	0.82	41	0	0	0	2	1	39	0	6	0	0	0.00	0.00	0.28	0.39	80.64	0.00	6.84	0.00	0.00	15.73	0.00	72.71	0.00	50	0	50	91.32	79.56	0.00	0.00	1.51	14.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.36	2.64	0.00	0.96	0.00	0.00
