Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1749254058608,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.42126464844,201927.24548339844,36447.48809814453,0.525390625,33572028416,0,834236416,0
0,1749254058608,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.42126464844,201927.24548339844,36447.49011230469,0.525390625,33572028416,0,834236416,0
0,1749254058609,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.42248535156,201927.25244140625,36447.493408203125,0.525390625,33572028416,0,834236416,0
0,1749254058610,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.42468261719,201927.25854492188,36447.49670410156,0.525390625,33572028416,0,834236416,0
0,1749254058611,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.42572021484,201927.26977539063,36447.499084472656,0.525390625,33572028416,0,834236416,0
0,1749254058613,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.42669677734,201927.27502441406,36447.501708984375,0.525390625,33572028416,0,834236416,0
0,1749254058614,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.427734375,201927.28051757813,36447.50408935547,0.525390625,33572028416,0,834236416,0
0,1749254058615,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.4287109375,201927.28552246094,36447.506408691406,0.525390625,33572028416,0,834236416,0
0,1749254058616,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.42974853516,201927.29071044922,36447.50860595703,0.525390625,33572028416,0,834236416,0
0,1749254058617,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.43072509766,201927.29595947266,36447.51055908203,0.525390625,33572028416,0,834236416,0
0,1749254058618,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.43176269531,201927.30108642578,36447.51257324219,0.525390625,33572028416,0,834236416,0
0,1749254058619,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.43273925781,201927.30645751953,36447.51495361328,0.525390625,33572028416,0,834236416,0
0,1749254058620,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.43377685547,201927.3114013672,36447.51690673828,0.525390625,33572028416,0,834236416,0
0,1749254058621,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.43475341797,201927.31616210938,36447.51885986328,0.525390625,33572028416,0,834236416,0
0,1749254058622,1599,1543,1600,1600,1600,1601,1600,1600,0,0,0,0,0,0,0,0,83553.43579101563,201927.32122802734,36447.52081298828,0.525390625,33572028416,0,834236416,0
