Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1749150641504,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.63342285156,195604.0796508789,129343.4330444336,0.28009033203125,33572028416,0,744128512,0
0,1749150641504,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.63342285156,195604.0796508789,129343.43572998047,0.28009033203125,33572028416,0,744128512,0
0,1749150641505,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.6346435547,195604.0864868164,129343.43914794922,0.28009033203125,33572028416,0,744128512,0
0,1749150641506,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.6357421875,195604.09259033203,129343.44213867188,0.28009033203125,33572028416,0,744128512,0
0,1749150641508,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.63787841797,195604.10388183594,129343.44451904297,0.28009033203125,33572028416,0,744128512,0
0,1749150641509,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.63885498047,195604.10845947266,129343.4468383789,0.28009033203125,33572028416,0,744128512,0
0,1749150641510,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.63989257813,195604.11395263672,129343.44903564453,0.28009033203125,33572028416,0,744128512,0
0,1749150641511,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.64086914063,195604.11907958984,129343.45123291016,0.28009033203125,33572028416,0,744128512,0
0,1749150641512,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.64184570313,195604.12432861328,129343.45361328125,0.28009033203125,33572028416,0,744128512,0
0,1749150641513,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.64288330078,195604.12963867188,129343.45574951172,0.28009033203125,33572028416,0,744128512,0
0,1749150641514,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.64385986328,195604.1348876953,129343.4580078125,0.28009033203125,33572028416,0,744128512,0
0,1749150641515,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.64489746094,195604.13995361328,129343.4599609375,0.28009033203125,33572028416,0,744128512,0
0,1749150641516,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.64587402344,195604.1449584961,129343.4619140625,0.28009033203125,33572028416,0,744128512,0
0,1749150641517,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.6469116211,195604.150390625,129343.46411132813,0.28009033203125,33572028416,0,744128512,0
0,1749150641518,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.6478881836,195604.15521240234,129343.46588134766,0.28009033203125,33572028416,0,744128512,0
0,1749150641519,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.64892578125,195604.15997314453,129343.46765136719,0.28009033203125,33572028416,0,744128512,0
0,1749150641520,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.64990234375,195604.16485595703,129343.46954345703,0.28009033203125,33572028416,0,744128512,0
0,1749150641521,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.6509399414,195604.16973876953,129343.4711303711,0.28009033203125,33572028416,0,744128512,0
0,1749150641523,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.6519165039,195604.17443847656,129343.47277832031,0.28009033203125,33572028416,0,744128512,0
0,1749150641524,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.65295410156,195604.17907714844,129343.47485351563,0.28009033203125,33572028416,0,744128512,0
0,1749150641525,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.65496826172,195604.189453125,129343.47741699219,0.28009033203125,33572028416,0,744128512,0
0,1749150641526,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.65594482422,195604.1944580078,129343.47961425781,0.28009033203125,33572028416,0,744128512,0
0,1749150641527,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.65698242188,195604.19970703125,129343.48175048828,0.28009033203125,33572028416,0,744128512,0
0,1749150641528,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.65795898438,195604.205078125,129343.48406982422,0.28009033203125,33572028416,0,744128512,0
0,1749150641529,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.65893554688,195604.21032714844,129343.48638916016,0.28009033203125,33572028416,0,744128512,0
1,1749150641530,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.65991210938,195604.21545410156,129343.48858642578,0.28009033203125,33572028416,0,744128512,0
1,1749150641531,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.6610107422,195604.2211303711,129343.49102783203,0.28009033203125,33572028416,0,744128512,0
0,1749150641532,1600,1600,1599,800,1600,1599,1599,1600,0,0,0,0,4.1666669845581055,0,4.1666669845581055,4.34782600402832,142951.6619873047,195604.2264404297,129343.49334716797,0.28009033203125,33572028416,0,744128512,0
