Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1749142410819,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.88299560547,216647.9048461914,178299.21954345703,0.26031494140625,33572028416,0,722579456,0
0,1749142410819,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.88299560547,216647.9048461914,178299.22174072266,0.26031494140625,33572028416,0,722579456,0
0,1749142410820,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.88409423828,216647.91137695313,178299.2250366211,0.26031494140625,33572028416,0,723095552,0
0,1749142410821,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.88641357422,216647.923828125,178299.22827148438,0.26031494140625,33572028416,0,723095552,0
0,1749142410823,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.88739013672,216647.92919921875,178299.2310180664,0.26031494140625,33572028416,0,723095552,0
0,1749142410824,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.88836669922,216647.9341430664,178299.23315429688,0.26031494140625,33572028416,0,723095552,0
0,1749142410825,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.88940429688,216647.93951416016,178299.2357788086,0.26031494140625,33572028416,0,723095552,0
0,1749142410826,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.89044189453,216647.9448852539,178299.23779296875,0.26031494140625,33572028416,0,723095552,0
0,1749142410827,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.89135742188,216647.9496459961,178299.23962402344,0.26031494140625,33572028416,0,723095552,0
0,1749142410828,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.89239501953,216647.95489501953,178299.24200439453,0.26031494140625,33572028416,0,723095552,0
0,1749142410829,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.89343261719,216647.96044921875,178299.24450683594,0.26031494140625,33572028416,0,723095552,0
0,1749142410830,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.89440917969,216647.96551513672,178299.24645996094,0.26031494140625,33572028416,0,723095552,0
0,1749142410831,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.89538574219,216647.9705810547,178299.24853515625,0.26031494140625,33572028416,0,723095552,0
0,1749142410832,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.89642333984,216647.9755859375,178299.25036621094,0.26031494140625,33572028416,0,723095552,0
1,1749142410833,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.8974609375,216647.98046875,178299.251953125,0.26031494140625,33572028416,0,723095552,0
1,1749142410834,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.8984375,216647.9852294922,178299.25354003906,0.26031494140625,33572028416,0,723095552,0
0,1749142410835,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.90045166016,216647.99432373047,178299.25549316406,0.26031494140625,33572028416,0,723095552,0
0,1749142410837,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.90142822266,216647.99963378906,178299.2578125,0.26031494140625,33572028416,0,723095552,0
0,1749142410838,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.90246582031,216648.0047607422,178299.259765625,0.26031494140625,33572028416,0,723095552,0
0,1749142410839,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.90344238281,216648.00970458984,178299.26208496094,0.26031494140625,33572028416,0,723095552,0
0,1749142410840,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.90447998047,216648.01525878906,178299.26470947266,0.26031494140625,33572028416,0,723095552,0
0,1749142410841,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.90545654297,216648.02044677734,178299.2667236328,0.26031494140625,33572028416,0,723095552,0
0,1749142410842,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.90649414063,216648.02569580078,178299.2686767578,0.26031494140625,33572028416,0,723095552,0
1,1749142410843,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.90747070313,216648.03076171875,178299.2710571289,0.26031494140625,33572028416,0,723095552,0
1,1749142410844,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.90844726563,216648.03619384766,178299.2734375,0.26031494140625,33572028416,0,723095552,0
1,1749142410845,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.90942382813,216648.0414428711,178299.2758178711,0.26031494140625,33572028416,0,723095552,0
1,1749142410846,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.91046142578,216648.04656982422,178299.27770996094,0.26031494140625,33572028416,0,723095552,0
0,1749142410847,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.91143798828,216648.05151367188,178299.279296875,0.26031494140625,33572028416,0,723095552,0
1,1749142410848,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.91247558594,216648.05639648438,178299.28149414063,0.26031494140625,33572028416,0,723095552,0
0,1749142410850,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.91442871094,216648.0662841797,178299.28381347656,0.26031494140625,33572028416,0,723095552,0
0,1749142410851,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.91540527344,216648.07153320313,178299.28607177734,0.26031494140625,33572028416,0,723095552,0
0,1749142410852,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.9164428711,216648.07696533203,178299.28857421875,0.26031494140625,33572028416,0,723095552,0
0,1749142410853,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.91748046875,216648.08239746094,178299.291015625,0.26031494140625,33572028416,0,723095552,0
0,1749142410854,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.91845703125,216648.08782958984,178299.29357910156,0.26031494140625,33572028416,0,723095552,0
0,1749142410855,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.91943359375,216648.09313964844,178299.29583740234,0.26031494140625,33572028416,0,723095552,0
0,1749142410856,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.9204711914,216648.09869384766,178299.29833984375,0.26031494140625,33572028416,0,723095552,0
1,1749142410857,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.92150878906,216648.10412597656,178299.30072021484,0.26031494140625,33572028416,0,723095552,0
1,1749142410858,1599,1600,1600,1599,1599,1600,1598,1599,0,4,4,0,0,0,3.846153974533081,0,127360.92248535156,216648.1094970703,178299.3031616211,0.26031494140625,33572028416,0,723095552,0
