Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.17	0.76	71.80	15.67	0.00
0	0	0.16	0.48	75.22	13.47	0.00
0	4	0.16	0.70	71.45	18.29	0.00
1	1	0.23	0.35	73.62	15.71	0.00
1	5	0.15	0.67	69.79	20.38	0.00
2	2	0.13	0.56	70.60	18.98	0.00
2	6	0.17	0.61	69.17	20.86	0.00
3	3	0.15	0.52	79.59	10.13	0.00
3	7	0.23	2.21	65.25	7.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.78	71.96	15.76	0.00
0	0	0.01	0.66	74.24	14.65	0.00
0	4	0.02	1.29	69.90	19.43	0.00
1	1	0.01	0.26	73.40	16.65	0.00
1	5	0.00	0.36	70.04	20.81	0.00
2	2	0.01	0.57	72.15	17.58	0.00
2	6	0.00	0.33	69.58	21.17	0.00
3	3	0.00	0.45	79.97	9.17	0.00
3	7	0.02	2.32	66.74	6.66	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.72	71.40	16.68	0.00
0	0	0.01	0.47	77.05	11.86	0.00
0	4	0.00	0.67	71.12	19.33	0.00
1	1	0.01	0.35	72.79	17.20	0.00
1	5	0.00	0.42	69.07	21.60	0.00
2	2	0.01	0.57	67.06	22.75	0.00
2	6	0.00	0.45	68.11	22.70	0.00
3	3	0.01	0.51	81.06	8.88	0.00
3	7	0.01	2.29	64.30	8.98	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.71	72.08	15.81	0.00
0	0	0.01	0.47	75.26	13.66	0.00
0	4	0.00	0.62	73.81	16.52	0.00
1	1	0.01	0.32	73.27	16.80	0.00
1	5	0.00	0.45	71.58	19.11	0.00
2	2	0.01	0.55	69.55	20.12	0.00
2	6	0.01	0.44	68.79	22.00	0.00
3	3	0.00	0.48	79.41	10.47	0.00
3	7	0.01	2.35	65.40	7.92	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.12	69.99	16.71	0.17
0	0	0.00	0.64	70.26	16.84	0.00
0	4	0.00	0.56	67.99	22.26	0.00
1	1	0.02	0.23	71.46	18.00	0.00
1	5	0.00	2.23	68.64	18.39	0.67
2	2	0.01	0.63	69.00	20.43	0.00
2	6	0.00	0.22	67.99	21.74	0.00
3	3	0.00	0.35	79.16	10.45	0.00
3	7	0.02	4.11	65.59	5.61	0.67
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.71	71.38	16.70	0.00
0	0	0.01	0.56	75.54	13.22	0.00
0	4	0.00	0.45	72.09	18.44	0.00
1	1	0.01	0.31	72.50	17.54	0.00
1	5	0.00	0.50	68.73	22.08	0.00
2	2	0.01	0.61	69.63	20.24	0.00
2	6	0.00	0.41	69.06	21.76	0.00
3	3	0.00	0.62	78.34	11.55	0.00
3	7	0.01	2.20	64.69	8.66	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.75	71.53	16.13	0.00
0	0	0.00	0.48	72.10	16.01	0.00
0	4	0.00	0.61	73.76	16.46	0.00
1	1	0.01	0.35	73.14	16.76	0.00
1	5	0.00	0.43	70.45	19.57	0.00
2	2	0.00	0.55	68.67	21.15	0.00
2	6	0.00	0.35	68.58	22.23	0.00
3	3	0.00	0.45	79.64	10.02	0.00
3	7	0.01	2.79	66.04	6.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	71.62	16.44	0.00
0	0	0.01	0.57	75.58	13.23	0.00
0	4	0.01	0.46	71.86	18.79	0.00
1	1	0.01	0.34	73.35	16.71	0.00
1	5	0.00	0.45	68.64	22.09	0.00
2	2	0.01	0.47	67.75	22.01	0.00
2	6	0.00	0.43	67.63	23.19	0.00
3	3	0.00	0.49	81.65	8.30	0.00
3	7	0.01	2.37	66.17	7.15	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.66	71.66	16.29	0.00
0	0	0.01	0.42	76.53	12.30	0.00
0	4	0.00	0.50	70.79	19.97	0.00
1	1	0.01	0.33	74.08	16.00	0.00
1	5	0.00	0.33	70.57	20.17	0.00
2	2	0.01	0.55	69.27	20.44	0.00
2	6	0.00	0.54	68.23	22.46	0.00
3	3	0.00	0.45	80.25	9.66	0.00
3	7	0.01	2.20	64.02	9.43	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.08	69.91	16.14	0.00
0	0	0.00	0.65	74.12	13.44	0.00
0	4	0.01	0.38	69.98	18.73	0.00
1	1	0.01	0.33	70.68	17.58	0.00
1	5	0.00	2.32	67.84	19.37	0.00
2	2	0.00	0.45	68.23	19.87	0.00
2	6	0.00	0.44	68.35	20.50	0.00
3	3	0.01	0.49	76.63	11.47	0.00
3	7	0.02	3.59	63.22	8.11	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.69	71.42	16.68	0.00
0	0	0.01	0.51	71.37	17.55	0.00
0	4	0.00	0.51	70.59	19.95	0.00
1	1	0.02	0.24	73.65	16.51	0.00
1	5	0.00	0.52	70.60	20.12	0.00
2	2	0.01	0.71	70.42	19.41	0.00
2	6	0.00	0.30	69.47	21.53	0.00
3	3	0.00	0.31	79.48	10.64	0.00
3	7	0.01	2.41	65.57	7.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.71	71.14	16.55	0.04
0	0	0.01	0.44	73.15	15.83	0.00
0	4	0.09	0.45	70.65	19.24	0.00
1	1	0.01	0.40	73.76	15.64	0.00
1	5	0.00	0.40	68.67	22.06	0.00
2	2	0.01	0.51	70.63	18.57	0.00
2	6	0.00	0.57	68.80	21.40	0.00
3	3	0.00	0.53	78.71	11.27	0.00
3	7	0.02	2.39	64.72	8.35	0.31
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.72	72.88	15.01	0.00
0	0	0.00	0.64	75.04	13.77	0.00
0	4	0.00	0.44	72.69	17.92	0.00
1	1	0.01	0.31	75.28	14.63	0.00
1	5	0.00	0.52	70.00	20.74	0.00
2	2	0.01	0.66	71.93	17.88	0.00
2	6	0.00	0.43	70.99	19.80	0.00
3	3	0.00	0.53	80.93	8.92	0.00
3	7	0.02	2.21	66.78	6.53	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	0.69	72.65	15.38	0.00
0	0	0.21	0.55	75.30	13.37	0.00
0	4	0.00	0.47	72.53	18.10	0.00
1	1	0.01	0.32	73.80	16.38	0.00
1	5	0.00	0.54	72.03	18.58	0.00
2	2	0.00	0.54	70.12	19.80	0.00
2	6	0.00	0.35	70.35	20.50	0.00
3	3	0.01	0.43	80.94	9.03	0.00
3	7	0.20	2.32	65.85	7.24	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.79	69.75	16.04	0.00
0	0	0.01	0.39	71.25	15.39	0.00
0	4	0.00	0.57	72.67	16.12	0.00
1	1	0.01	0.37	70.51	16.60	0.00
1	5	0.01	1.19	67.80	19.62	0.00
2	2	0.00	0.51	67.86	20.09	0.00
2	6	0.01	0.42	68.08	20.82	0.00
3	3	0.00	0.34	76.71	11.38	0.00
3	7	0.01	2.58	63.13	8.30	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.65	73.27	14.73	0.00
0	0	0.01	0.49	78.55	10.37	0.00
0	4	0.00	0.58	75.12	15.29	0.00
1	1	0.01	0.30	73.09	16.73	0.00
1	5	0.00	0.27	71.42	19.60	0.00
2	2	0.00	0.53	71.02	18.92	0.00
2	6	0.00	0.41	71.06	19.83	0.00
3	3	0.00	0.44	80.12	9.04	0.00
3	7	0.01	2.21	65.43	8.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.75	70.67	17.02	0.00
0	0	0.01	0.38	71.43	17.48	0.00
0	4	0.00	0.74	70.30	19.17	0.00
1	1	0.01	0.37	73.97	16.00	0.00
1	5	0.00	0.41	71.19	19.45	0.00
2	2	0.00	0.57	68.44	20.80	0.00
2	6	0.00	0.48	68.22	22.49	0.00
3	3	0.01	0.46	78.83	10.76	0.00
3	7	0.01	2.62	63.00	10.05	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.67	73.71	14.34	0.00
0	0	0.00	0.83	75.57	13.04	0.00
