Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.13	0.04	1.96	1.39	0.00
0	0	0.01	0.17	2.94	1.76	0.00
0	4	0.00	0.03	0.79	0.40	0.00
1	1	0.00	0.01	0.94	0.60	0.00
1	5	0.58	0.01	1.68	3.26	0.00
2	2	0.16	0.02	3.59	1.81	0.00
2	6	0.15	0.02	1.91	0.81	0.00
3	3	0.14	0.00	0.78	0.30	0.00
3	7	0.00	0.03	3.03	2.21	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	2.16	16.44	8.14	0.19
0	0	0.00	2.56	11.23	8.55	0.00
0	4	0.08	5.23	17.01	3.03	0.39
1	1	0.08	0.68	19.91	6.51	0.00
1	5	0.01	0.43	18.50	10.32	0.00
2	2	0.02	0.28	13.48	7.37	1.10
2	6	0.12	3.75	13.89	6.57	0.00
3	3	0.03	3.80	18.43	10.36	0.00
3	7	0.01	0.55	19.13	12.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.08	2.33	12.82	14.49	0.38
0	0	0.01	6.89	14.20	9.97	0.00
0	4	0.00	0.19	15.13	19.72	0.00
1	1	0.00	0.12	12.81	12.92	0.00
1	5	0.00	0.11	15.04	13.66	0.00
2	2	0.11	1.90	11.34	15.76	0.00
2	6	0.09	0.22	13.30	19.71	0.00
3	3	0.46	9.11	8.37	7.95	3.00
3	7	0.00	0.11	12.41	16.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	2.39	12.51	13.27	0.01
0	0	0.01	8.98	12.10	2.09	0.00
0	4	0.00	0.09	13.49	13.43	0.00
1	1	0.27	6.58	8.77	15.86	0.00
1	5	0.06	2.87	12.66	9.36	0.00
2	2	0.00	0.15	14.60	14.97	0.00
2	6	0.00	0.14	11.36	20.52	0.07
3	3	0.01	0.15	13.23	18.57	0.00
3	7	0.00	0.16	13.84	11.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.20	2.91	17.47	16.94	0.44
0	0	0.00	3.86	20.56	17.29	0.02
0	4	0.00	0.13	18.71	19.32	0.00
1	1	0.79	0.11	18.57	19.10	0.00
1	5	0.21	7.59	16.75	15.91	0.00
2	2	0.31	5.56	15.48	12.96	0.00
2	6	0.24	5.75	13.84	13.44	3.47
3	3	0.00	0.18	19.16	18.93	0.00
3	7	0.00	0.12	16.70	18.58	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	3.19	18.05	21.20	0.01
0	0	0.01	14.73	13.98	2.83	0.00
0	4	0.01	4.15	20.18	16.08	0.00
1	1	0.01	0.32	18.64	39.49	0.00
1	5	0.00	0.23	18.68	33.57	0.00
2	2	0.05	1.35	17.83	17.97	0.00
2	6	0.10	3.44	16.56	21.19	0.11
3	3	0.00	0.16	18.88	19.23	0.00
3	7	0.00	1.14	19.67	19.24	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.36	3.41	23.48	20.41	0.00
0	0	0.00	0.47	31.81	16.26	0.00
0	4	0.19	7.57	18.60	19.12	0.00
1	1	1.49	10.61	18.38	16.62	0.00
1	5	1.21	7.70	21.06	13.73	0.00
2	2	0.00	0.18	23.66	21.15	0.00
2	6	0.00	0.17	23.08	26.94	0.00
3	3	0.00	0.26	25.21	24.47	0.00
3	7	0.00	0.35	26.04	25.01	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.42	3.72	22.22	21.77	0.06
0	0	0.01	2.11	29.57	10.83	0.00
0	4	0.00	1.36	21.25	35.28	0.00
1	1	0.47	0.22	24.30	21.52	0.00
1	5	2.65	22.84	7.09	5.77	0.00
2	2	0.00	0.17	22.40	21.79	0.00
2	6	0.00	0.24	22.77	23.78	0.00
3	3	0.22	2.53	24.95	32.36	0.00
3	7	0.00	0.25	25.40	22.82	0.46
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.17	3.73	21.26	22.19	0.00
0	0	0.00	0.30	32.49	21.39	0.00
0	4	0.00	0.07	18.67	26.50	0.00
1	1	0.05	1.34	20.15	21.01	0.00
1	5	0.00	0.21	22.27	24.67	0.00
2	2	0.99	23.00	9.63	5.16	0.00
2	6	0.18	4.66	23.32	19.19	0.00
3	3	0.00	0.17	21.26	31.18	0.00
3	7	0.16	0.11	22.26	28.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.25	2.76	16.41	15.84	0.09
0	0	0.79	0.25	21.71	7.77	0.03
0	4	0.11	0.14	16.49	25.15	0.00
1	1	0.00	0.15	17.30	17.63	0.00
1	5	0.00	0.16	17.24	16.62	0.00
2	2	0.71	18.50	5.47	1.65	0.71
2	6	0.36	2.57	20.16	12.60	0.00
3	3	0.00	0.15	15.98	21.50	0.00
3	7	0.01	0.22	17.22	24.05	0.00
