Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.07	0.26	7.94	14.91	0.00
0	0	0.24	1.95	43.71	26.78	0.00
0	4	0.00	0.00	12.29	85.83	0.00
1	1	0.00	0.03	1.07	2.81	0.00
1	5	0.00	0.00	0.60	0.10	0.00
2	2	0.00	0.00	0.99	0.79	0.00
2	6	0.18	0.00	2.13	1.68	0.00
3	3	0.16	0.06	1.02	0.99	0.00
3	7	0.00	0.05	1.68	0.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.34	8.06	14.62	0.00
0	0	0.17	2.62	47.73	22.38	0.00
0	4	0.00	0.00	7.40	49.07	0.00
1	1	0.00	0.00	0.85	4.11	0.00
1	5	0.00	0.00	1.04	0.79	0.00
2	2	0.00	0.00	1.21	0.69	0.00
2	6	0.00	0.01	0.98	0.50	0.00
3	3	0.00	0.09	4.89	38.46	0.00
3	7	0.00	0.00	0.37	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.54	8.49	13.34	2.07
0	0	0.24	4.10	52.60	16.14	0.00
0	4	0.00	0.00	10.03	41.45	16.54
1	1	0.00	0.03	0.58	2.63	0.00
1	5	0.00	0.00	0.28	0.69	0.00
2	2	0.00	0.05	0.29	0.70	0.00
2	6	0.00	0.02	0.14	0.50	0.00
3	3	0.00	0.10	3.68	44.00	0.00
3	7	0.00	0.00	0.29	0.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.22	7.12	14.97	0.00
0	0	0.22	1.63	43.71	27.05	0.00
0	4	0.00	0.04	10.11	83.32	0.00
1	1	0.00	0.02	0.39	1.09	0.00
1	5	0.00	0.00	0.20	1.09	0.00
2	2	0.00	0.00	0.29	0.88	0.00
2	6	0.00	0.00	0.46	1.19	0.00
3	3	0.00	0.08	1.31	4.33	0.00
3	7	0.00	0.00	0.53	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.26	7.22	14.39	0.00
0	0	0.24	2.05	43.29	25.42	0.00
0	4	0.00	0.00	11.14	84.48	0.00
1	1	0.00	0.00	0.15	0.99	0.00
1	5	0.00	0.00	0.23	1.19	0.00
2	2	0.00	0.01	0.30	0.99	0.00
2	6	0.00	0.00	0.20	0.99	0.00
3	3	0.00	0.04	1.21	0.50	0.00
3	7	0.00	0.00	1.20	0.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	0.04	5.92	16.46	0.00
0	0	0.36	0.16	36.41	35.89	0.00
0	4	0.00	0.00	8.24	89.84	0.00
1	1	0.00	0.00	0.26	1.00	0.00
1	5	0.00	0.00	0.34	1.29	0.00
2	2	0.00	0.00	0.32	0.99	0.00
2	6	0.00	0.00	0.19	0.99	0.00
3	3	0.00	0.18	1.21	0.70	0.00
3	7	0.00	0.00	0.37	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	0.15	7.00	15.55	0.11
