Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.18	0.17	6.12	8.32	0.00
0	0	0.00	0.00	0.79	0.00	0.00
0	4	0.03	1.19	38.15	57.48	0.00
1	1	0.00	0.04	1.77	3.08	0.00
1	5	0.00	0.06	2.79	2.05	0.00
2	2	0.00	0.00	0.90	0.30	0.00
2	6	0.72	0.06	1.97	0.71	0.00
3	3	0.51	0.00	0.10	0.79	0.00
3	7	0.20	0.00	2.52	2.20	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.02	5.33	8.26	0.00
0	0	0.00	0.00	0.56	1.40	0.00
0	4	0.00	0.06	37.96	59.60	0.00
1	1	0.00	0.02	0.29	1.08	0.00
1	5	0.00	0.01	0.95	0.47	0.00
2	2	0.00	0.00	0.61	1.38	0.00
2	6	0.00	0.01	0.36	1.08	0.00
3	3	0.00	0.04	0.99	0.30	0.00
3	7	0.00	0.02	0.89	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.13	0.01	5.29	8.24	0.00
0	0	0.76	0.00	0.99	0.50	0.00
0	4	0.00	0.04	37.42	60.23	0.00
1	1	0.00	0.00	0.23	1.47	0.00
1	5	0.00	0.02	0.80	0.58	0.00
2	2	0.00	0.00	0.63	0.39	0.00
2	6	0.26	0.03	1.01	0.88	0.00
3	3	0.00	0.00	0.46	0.89	0.00
3	7	0.00	0.00	0.80	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	5.22	8.68	0.00
0	0	0.00	0.00	0.93	1.50	0.00
0	4	0.00	0.05	37.32	60.25	0.00
1	1	0.00	0.00	0.23	1.01	0.00
1	5	0.00	0.05	0.79	0.46	0.00
2	2	0.00	0.00	0.10	1.00	0.00
2	6	0.00	0.00	1.09	1.49	0.00
3	3	0.00	0.01	0.70	2.09	0.00
3	7	0.00	0.00	0.62	1.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	5.51	8.09	0.00
0	0	0.00	0.00	0.57	0.30	0.00
0	4	0.00	0.05	39.50	58.08	0.00
1	1	0.00	0.00	0.25	0.92	0.00
1	5	0.00	0.01	1.31	1.76	0.00
2	2	0.00	0.01	0.49	0.98	0.00
2	6	0.00	0.00	0.68	1.08	0.00
3	3	0.00	0.00	0.37	0.79	0.00
3	7	0.00	0.00	0.91	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	0.60	5.27	8.48	0.00
0	0	0.00	1.49	0.65	0.78	0.00
0	4	0.01	1.76	38.31	57.64	0.00
1	1	0.00	0.00	0.55	2.79	0.00
1	5	0.00	1.52	1.03	0.71	0.00
2	2	0.28	0.00	0.39	1.40	0.00
2	6	0.00	0.00	0.61	1.99	0.00
3	3	0.04	0.01	0.45	1.19	0.00
3	7	0.00	0.00	0.14	1.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	5.30	8.03	0.00
0	0	0.00	0.00	0.19	0.99	0.00
0	4	0.00	0.04	39.44	58.07	0.00
1	1	0.00	0.00	0.25	0.92	0.00
1	5	0.00	0.01	0.65	0.87	0.00
2	2	0.00	0.00	0.59	1.09	0.00
2	6	0.00	0.00	0.28	0.89	0.00
3	3	0.00	0.00	0.76	0.39	0.00
3	7	0.00	0.00	0.24	0.98	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.09	0.01	5.19	8.30	0.00
0	0	0.69	0.00	0.19	0.99	0.00
0	4	0.00	0.05	37.66	59.92	0.00
1	1	0.00	0.00	0.48	1.20	0.00
1	5	0.00	0.04	1.34	0.98	0.00
2	2	0.00	0.00	0.89	0.79	0.00
2	6	0.00	0.00	0.28	0.98	0.01
3	3	0.00	0.00	0.46	0.59	0.00
3	7	0.00	0.00	0.24	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	5.31	8.21	0.00
0	0	0.00	0.00	0.24	1.10	0.00
0	4	0.00	0.06	40.00	57.44	0.00
1	1	0.00	0.00	0.17	1.09	0.00
1	5	0.00	0.01	1.14	0.98	0.00
2	2	0.00	0.00	0.38	1.70	0.00
2	6	0.00	0.00	0.22	1.09	0.00
3	3	0.00	0.02	0.19	1.10	0.00
3	7	0.00	0.00	0.17	1.25	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	0.01	5.62	8.00	0.00
0	0	0.78	0.00	0.78	1.79	0.00
0	4	0.01	0.06	41.12	56.33	0.00
1	1	0.00	0.00	0.19	1.08	0.00
1	5	0.00	0.02	1.07	0.87	0.00
2	2	0.00	0.00	0.36	0.98	0.00
2	6	0.00	0.00	0.24	1.19	0.00
3	3	0.00	0.02	0.59	0.99	0.00
3	7	0.00	0.00	0.58	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.02	5.22	8.08	0.00
0	0	0.00	0.04	0.47	0.30	0.00
0	4	0.01	0.04	38.82	58.76	0.00
1	1	0.00	0.00	0.10	0.79	0.00
1	5	0.00	0.00	1.17	0.88	0.00
2	2	0.00	0.00	0.37	0.89	0.00
2	6	0.00	0.00	0.34	0.89	0.00
3	3	0.00	0.10	0.23	0.99	0.00
3	7	0.00	0.00	0.28	1.18	0.00
