Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.13	0.02	1.64	1.33	0.00
0	0	0.00	0.00	0.90	0.50	0.00
0	4	0.00	0.03	2.29	1.59	0.00
1	1	0.00	0.03	2.20	1.10	0.00
1	5	0.69	0.00	0.10	0.20	0.00
2	2	0.19	0.04	1.28	0.90	0.00
2	6	0.00	0.01	2.38	2.29	0.00
3	3	0.17	0.00	2.17	1.51	0.00
3	7	0.00	0.06	1.83	2.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.41	0.86	0.00
0	0	0.00	0.00	0.50	0.49	0.00
0	4	0.00	0.00	0.37	0.79	0.00
1	1	0.00	0.00	0.34	0.89	0.00
1	5	0.00	0.00	0.22	0.89	0.00
2	2	0.00	0.02	0.70	0.99	0.00
2	6	0.00	0.02	0.47	1.09	0.00
3	3	0.00	0.00	0.45	0.64	0.00
3	7	0.00	0.00	0.22	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.40	0.80	0.00
0	0	0.00	0.00	0.45	0.78	0.00
0	4	0.00	0.00	0.14	0.98	0.00
1	1	0.00	0.02	0.30	0.20	0.00
1	5	0.00	0.00	0.10	0.79	0.00
2	2	0.00	0.00	1.28	0.89	0.00
2	6	0.00	0.00	0.33	0.89	0.00
3	3	0.00	0.00	0.31	0.89	0.00
3	7	0.00	0.00	0.29	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.45	0.88	0.00
0	0	0.00	0.00	0.12	0.51	0.00
0	4	0.00	0.00	0.36	0.52	0.00
1	1	0.00	0.00	0.83	0.90	0.00
1	5	0.00	0.00	0.44	0.89	0.00
2	2	0.00	0.00	0.52	1.21	0.00
2	6	0.00	0.00	0.46	1.00	0.00
3	3	0.00	0.00	0.37	1.19	0.00
3	7	0.00	0.00	0.53	0.81	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.44	0.77	0.00
0	0	0.00	0.00	0.19	0.40	0.00
0	4	0.00	0.00	0.27	0.89	0.00
1	1	0.00	0.00	0.73	0.69	0.00
1	5	0.00	0.00	0.13	1.18	0.00
2	2	0.00	0.02	0.31	1.28	0.00
2	6	0.00	0.00	0.36	0.79	0.00
3	3	0.00	0.00	0.74	0.17	0.00
3	7	0.00	0.02	0.79	0.78	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.55	0.67	0.00
0	0	0.00	0.00	0.54	0.39	0.00
0	4	0.00	0.00	0.22	0.70	0.00
1	1	0.00	0.00	0.34	0.79	0.00
1	5	0.00	0.00	0.78	0.79	0.00
2	2	0.00	0.01	1.16	0.39	0.00
2	6	0.00	0.00	0.14	0.99	0.00
3	3	0.01	0.10	0.96	0.39	0.00
3	7	0.00	0.00	0.29	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.64	0.62	0.00
0	0	0.00	0.00	0.22	0.30	0.00
0	4	0.00	0.00	0.10	0.50	0.00
1	1	0.00	0.00	0.37	1.00	0.00
1	5	0.00	0.00	0.36	0.80	0.00
2	2	0.00	0.05	1.19	0.40	0.00
2	6	0.00	0.01	1.66	0.79	0.00
3	3	0.00	0.00	0.83	0.70	0.00
3	7	0.00	0.00	0.38	0.49	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.02	0.66	4.36	0.04
0	0	0.00	0.00	1.05	0.52	0.33
0	4	0.01	0.14	1.18	27.50	0.00
1	1	0.00	0.00	1.37	1.02	0.00
1	5	0.00	0.00	0.23	1.19	0.00
2	2	0.00	0.01	0.60	0.99	0.00
2	6	0.00	0.00	0.28	0.80	0.00
3	3	0.20	0.00	0.35	1.91	0.00
3	7	0.00	0.00	0.24	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.57	0.83	0.00
0	0	0.00	0.00	0.37	0.70	0.00
0	4	0.00	0.00	0.65	0.79	0.00
1	1	0.00	0.00	0.82	0.79	0.00
1	5	0.00	0.01	1.10	0.80	0.00
2	2	0.00	0.03	0.48	0.88	0.00
2	6	0.00	0.00	0.54	0.89	0.00
3	3	0.00	0.02	0.39	0.88	0.00
3	7	0.00	0.00	0.19	0.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.02	0.55	0.68	0.00
0	0	0.00	0.00	0.31	0.40	0.00
0	4	0.00	0.12	0.20	0.20	0.00
1	1	0.00	0.00	0.63	0.79	0.00
1	5	0.00	0.00	1.11	1.07	0.00
2	2	0.00	0.01	0.75	0.79	0.00
2	6	0.00	0.00	0.22	1.09	0.00
3	3	0.00	0.00	0.79	0.38	0.00
3	7	0.00	0.00	0.37	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.38	0.92	0.00
0	0	0.00	0.01	0.39	1.18	0.00
0	4	0.00	0.00	0.29	0.89	0.00
1	1	0.00	0.00	0.36	0.79	0.00
1	5	0.00	0.00	0.25	0.99	0.00
2	2	0.00	0.05	0.58	1.10	0.00
2	6	0.00	0.00	0.37	0.79	0.00
3	3	0.00	0.00	0.47	0.71	0.00
3	7	0.00	0.00	0.35	0.89	0.00
