Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	0.04	9.43	3.60	0.00
0	0	0.06	0.17	65.59	21.13	0.00
0	4	0.00	0.03	0.89	0.00	0.00
1	1	0.00	0.00	1.47	2.56	0.00
1	5	0.22	0.07	1.64	1.28	0.00
2	2	0.00	0.00	1.14	0.59	0.00
2	6	0.00	0.00	1.24	1.27	0.00
3	3	0.00	0.00	0.93	0.10	0.00
3	7	0.00	0.04	2.36	1.78	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.04	8.31	3.30	0.00
0	0	0.06	0.26	62.91	20.64	0.00
0	4	0.00	0.00	0.55	0.00	0.00
1	1	0.00	0.00	0.23	1.51	0.00
1	5	0.00	0.02	0.20	0.51	0.00
2	2	0.00	0.00	0.19	0.80	0.00
2	6	0.00	0.00	0.65	0.83	0.00
3	3	0.00	0.00	1.14	1.19	0.00
3	7	0.00	0.03	0.64	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.03	8.64	3.41	0.00
0	0	0.08	0.18	65.00	21.75	0.00
0	4	0.00	0.00	0.87	0.11	0.00
1	1	0.00	0.00	0.26	0.89	0.00
1	5	0.00	0.00	0.15	0.99	0.00
2	2	0.00	0.00	0.72	0.59	0.00
2	6	0.00	0.00	0.86	0.92	0.00
3	3	0.00	0.00	0.68	1.19	0.00
3	7	0.00	0.02	0.58	0.86	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.10	8.45	3.41	0.00
0	0	0.10	0.74	64.37	21.10	0.00
0	4	0.00	0.00	0.60	0.19	0.00
1	1	0.00	0.00	0.33	0.92	0.00
1	5	0.00	0.00	0.27	0.80	0.00
2	2	0.00	0.00	0.28	0.89	0.00
2	6	0.00	0.01	0.24	1.29	0.00
3	3	0.00	0.02	0.30	1.10	0.00
3	7	0.00	0.00	1.21	0.98	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.02	8.60	3.02	0.00
0	0	0.09	0.14	64.76	22.02	0.00
0	4	0.00	0.00	0.62	0.20	0.00
1	1	0.00	0.00	0.60	0.00	0.00
1	5	0.00	0.00	0.00	0.50	0.00
2	2	0.00	0.00	0.58	0.59	0.00
2	6	0.00	0.00	0.51	0.73	0.00
3	3	0.00	0.00	0.74	0.00	0.00
3	7	0.00	0.01	1.01	0.10	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.08	8.66	3.84	0.08
0	0	0.10	0.64	64.80	21.47	0.00
0	4	0.00	0.00	1.17	0.48	0.60
1	1	0.00	0.00	0.64	1.28	0.00
1	5	0.00	0.00	0.23	1.09	0.00
2	2	0.00	0.00	0.20	1.09	0.00
2	6	0.00	0.00	0.26	1.97	0.00
3	3	0.00	0.03	0.99	1.68	0.00
3	7	0.00	0.00	0.99	1.67	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.14	8.21	6.75	0.00
0	0	0.06	0.92	62.19	19.83	0.00
0	4	0.02	0.23	1.02	28.58	0.00
1	1	0.00	0.00	0.63	1.29	0.00
1	5	0.00	0.00	0.36	0.69	0.00
2	2	0.00	0.00	0.25	1.08	0.00
2	6	0.00	0.00	0.35	0.98	0.00
3	3	0.00	0.00	0.40	0.69	0.00
3	7	0.00	0.01	0.50	0.88	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.02	8.47	3.41	0.00
0	0	0.08	0.10	65.03	21.80	0.00
0	4	0.00	0.02	0.60	0.19	0.00
1	1	0.00	0.00	0.50	0.30	0.00
1	5	0.00	0.00	0.19	0.99	0.00
2	2	0.00	0.00	0.36	0.89	0.00
2	6	0.00	0.00	0.19	1.19	0.00
3	3	0.00	0.00	0.32	0.79	0.00
3	7	0.00	0.03	0.60	1.10	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.05	8.36	3.41	0.00
0	0	0.08	0.37	64.45	21.22	0.00
0	4	0.00	0.00	0.66	0.30	0.00
1	1	0.00	0.01	0.38	1.39	0.00
1	5	0.00	0.00	0.12	0.50	0.00
2	2	0.10	0.00	0.10	0.69	0.00
2	6	0.00	0.00	0.46	0.93	0.00
3	3	0.00	0.00	0.27	0.98	0.00
3	7	0.00	0.02	0.44	1.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.04	8.80	3.58	0.00
0	0	0.10	0.27	64.82	21.82	0.00
0	4	0.00	0.00	1.05	0.90	0.00
1	1	0.00	0.00	1.04	0.59	0.00
1	5	0.00	0.00	0.93	0.79	0.00
2	2	0.00	0.00	0.79	1.38	0.00
2	6	0.00	0.00	0.10	0.99	0.00
3	3	0.00	0.00	0.69	0.90	0.00
3	7	0.00	0.04	0.95	1.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.01	8.46	3.43	0.00
0	0	0.09	0.09	65.08	21.81	0.00
0	4	0.00	0.00	0.60	0.19	0.00
1	1	0.00	0.00	0.19	0.89	0.00
1	5	0.00	0.00	0.37	0.79	0.00
2	2	0.00	0.00	0.25	1.19	0.00
2	6	0.00	0.00	0.32	0.99	0.00
3	3	0.00	0.00	0.30	0.79	0.00
3	7	0.00	0.02	0.61	0.78	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.09	8.29	3.18	0.00
0	0	0.07	0.65	62.69	20.56	0.00
0	4	0.00	0.02	0.60	0.19	0.00
1	1	0.00	0.00	0.13	1.21	0.00
1	5	0.00	0.00	0.18	0.99	0.00
2	2	0.00	0.00	0.37	0.89	0.00
2	6	0.00	0.02	0.48	0.50	0.00
3	3	0.00	0.00	0.33	0.99	0.00
3	7	0.05	0.03	1.53	0.11	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.03	8.54	3.52	0.00
0	0	0.08	0.20	64.94	21.82	0.00
0	4	0.00	0.00	0.62	0.19	0.00
1	1	0.00	0.00	0.63	0.71	0.00
1	5	0.00	0.02	0.30	0.89	0.00
2	2	0.00	0.00	0.30	1.29	0.00
2	6	0.00	0.00	0.44	1.09	0.00
3	3	0.00	0.00	0.37	1.08	0.00
3	7	0.00	0.00	0.75	1.10	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.05	8.53	3.53	0.10
0	0	0.08	0.42	64.40	21.33	0.83
0	4	0.00	0.00	1.08	0.00	0.00
1	1	0.00	0.01	0.67	0.80	0.00
1	5	0.00	0.00	0.34	1.09	0.00
2	2	0.00	0.00	0.41	1.10	0.00
2	6	0.00	0.00	0.13	1.33	0.00
3	3	0.00	0.00	0.70	1.29	0.00
3	7	0.00	0.00	0.49	1.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.03	8.68	3.68	0.00
0	0	0.08	0.21	65.03	21.70	0.00
0	4	0.00	0.01	0.69	0.49	0.00
1	1	0.00	0.00	0.89	1.58	0.00
1	5	0.00	0.00	0.18	0.99	0.00
2	2	0.00	0.00	1.10	1.00	0.00
2	6	0.00	0.00	0.27	1.09	0.00
3	3	0.00	0.00	0.41	1.01	0.00
3	7	0.00	0.02	0.88	1.58	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.04	8.49	3.51	0.00
