Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	0.05	4.40	10.91	0.16
0	0	0.00	0.07	18.06	20.31	0.00
0	4	0.00	0.10	2.84	1.97	0.00
1	1	0.00	0.11	4.11	59.90	0.00
1	5	0.63	0.00	1.31	0.61	0.00
2	2	0.00	0.00	2.22	1.88	0.00
2	6	0.18	0.00	0.80	0.00	1.27
3	3	0.00	0.03	1.95	0.23	0.00
3	7	0.00	0.09	3.95	2.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	0.02	1.89	3.44	0.00
0	0	0.00	0.00	3.73	3.17	0.00
0	4	0.00	0.00	2.33	3.61	0.00
1	1	0.00	0.03	2.58	9.68	0.00
1	5	0.00	0.02	0.88	0.70	0.00
2	2	0.92	0.01	2.10	8.20	0.00
2	6	0.00	0.02	0.75	1.07	0.00
3	3	0.00	0.00	0.47	0.80	0.00
3	7	0.00	0.11	2.29	0.34	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	1.09	1.70	0.00
0	0	0.00	0.00	0.17	0.99	0.00
0	4	0.00	0.05	2.99	2.78	0.00
1	1	0.00	0.00	1.75	3.18	0.00
1	5	0.00	0.00	0.84	0.79	0.00
2	2	0.00	0.00	1.02	3.70	0.00
2	6	0.00	0.00	0.47	0.30	0.00
3	3	0.00	0.02	1.45	1.81	0.00
3	7	0.00	0.00	0.00	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.53	0.94	0.00
0	0	0.00	0.00	0.34	1.10	0.00
0	4	0.00	0.05	0.60	1.20	0.00
1	1	0.00	0.02	0.79	0.61	0.00
1	5	0.00	0.00	0.60	0.50	0.00
2	2	0.00	0.00	0.29	1.12	0.00
2	6	0.00	0.00	0.30	1.19	0.00
3	3	0.00	0.00	0.37	1.00	0.00
3	7	0.00	0.00	0.95	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.67	0.93	0.00
0	0	0.00	0.00	0.30	0.50	0.00
0	4	0.00	0.03	1.72	0.99	0.00
1	1	0.00	0.00	0.26	1.87	0.00
1	5	0.00	0.00	0.73	0.90	0.00
2	2	0.00	0.00	1.11	0.50	0.00
2	6	0.00	0.00	0.60	0.69	0.00
3	3	0.00	0.00	0.10	1.18	0.00
3	7	0.00	0.00	0.56	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.17	0.81	1.44	0.00
0	0	0.00	0.01	0.20	0.69	0.00
0	4	0.00	0.00	0.91	1.19	0.00
1	1	0.00	0.00	0.77	3.44	0.00
1	5	0.00	0.00	0.36	0.79	0.00
2	2	0.00	0.03	2.76	1.80	0.00
2	6	0.00	0.00	0.16	0.99	0.00
3	3	0.00	1.32	0.97	1.71	0.00
3	7	0.00	0.00	0.37	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.35	9.19	33.86	8.00	0.13
0	0	1.67	11.08	29.12	7.31	0.00
0	4	0.35	7.38	35.74	3.83	0.00
1	1	2.54	9.87	34.49	7.31	0.00
1	5	0.35	6.12	33.75	11.22	0.00
2	2	2.14	10.20	38.29	6.43	0.00
2	6	0.84	9.00	29.33	8.87	1.01
3	3	0.93	9.73	34.75	9.67	0.00
3	7	1.97	10.12	35.44	9.35	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.41	12.57	46.11	3.68	0.01
0	0	2.12	14.16	40.47	2.14	0.00
0	4	0.96	11.25	48.62	1.29	0.00
1	1	2.01	13.81	46.05	3.44	0.00
1	5	1.06	12.10	46.24	3.93	0.00
2	2	1.41	12.02	49.55	3.25	0.09
2	6	1.49	13.34	44.36	2.31	0.00
3	3	1.22	12.50	44.78	6.70	0.00
3	7	0.98	11.35	48.79	6.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.18	9.17	50.01	7.50	0.09
0	0	1.78	10.26	46.11	8.77	0.10
0	4	0.68	8.53	48.74	10.61	0.00
1	1	1.43	8.63	52.23	6.58	0.00
1	5	0.85	8.93	49.62	7.82	0.04
2	2	1.13	9.23	55.68	6.78	0.00
2	6	1.45	10.35	42.12	4.38	0.58
3	3	1.28	8.51	51.56	8.50	0.00
