Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.09	0.31	9.54	4.04	0.00
0	0	0.00	2.45	64.78	26.15	0.00
0	4	0.00	0.00	1.86	0.11	0.00
1	1	0.57	0.00	1.42	1.49	0.00
1	5	0.16	0.00	1.87	0.79	0.00
2	2	0.00	0.04	1.86	0.80	0.00
2	6	0.00	0.00	1.59	0.80	0.00
3	3	0.00	0.00	1.28	1.10	0.00
3	7	0.00	0.00	1.65	1.10	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.30	8.50	4.03	0.00
0	0	0.00	2.36	64.99	26.10	0.00
0	4	0.00	0.00	0.64	0.00	0.00
1	1	0.00	0.02	0.41	0.92	0.00
1	5	0.00	0.00	0.48	1.00	0.00
2	2	0.00	0.00	0.48	0.89	0.00
2	6	0.00	0.00	0.36	0.99	0.00
3	3	0.00	0.00	0.35	1.46	0.00
3	7	0.00	0.00	0.23	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.27	8.32	4.10	0.00
0	0	0.00	2.17	64.08	27.37	0.00
0	4	0.00	0.00	0.70	0.00	0.00
1	1	0.00	0.00	0.45	1.80	0.00
1	5	0.00	0.00	0.43	0.90	0.00
2	2	0.00	0.00	0.43	0.20	0.00
2	6	0.00	0.02	0.18	0.70	0.00
3	3	0.00	0.00	0.10	1.33	0.00
3	7	0.00	0.00	0.18	0.50	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.31	8.50	3.99	0.00
0	0	0.00	2.45	64.54	26.53	0.00
0	4	0.00	0.00	0.60	0.49	0.00
1	1	0.00	0.01	0.45	0.70	0.00
1	5	0.00	0.02	0.69	0.89	0.00
2	2	0.00	0.00	0.34	0.69	0.00
2	6	0.00	0.02	0.63	0.59	0.00
3	3	0.00	0.00	0.33	1.19	0.00
3	7	0.00	0.00	0.41	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.28	8.69	4.49	0.12
0	0	0.00	2.22	63.95	27.37	0.00
0	4	0.00	0.00	0.67	0.00	0.00
1	1	0.00	0.01	1.76	1.70	0.00
1	5	0.00	0.00	0.43	0.60	0.00
2	2	0.00	0.00	0.49	0.40	0.00
2	6	0.00	0.03	0.92	0.73	0.00
3	3	0.00	0.00	0.37	3.29	0.00
