name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13256043,184594364251534,184594377507577
mov eax ebx                ,31340,184594380670061,184594380701401
nop                        ,31350,184594383804633,184594383835983
rdmsr 0x611                ,55963818,184594386959335,184594442923153
rdmsr 0x639                ,55602984,184594443042222,184594498645206
rdmsr 0x641                ,37985451,184594498724491,184594536709942
rdmsr 0x619                ,25039265,184594536734779,184594561774044
rdmsr 0x19C                ,22840705,184594561797752,184594584638457
rdmsr 0x17                 ,23268130,184594584655266,184594607923396
sys_call_overhead_proc_read,64559164
sys_call_overhead_sys_read ,138113824
