name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,12994974,35374028353633,35374041348607
mov eax ebx                ,31365,35374044514719,35374044546084
nop                        ,31351,35374047693341,35374047724692
rdmsr 0x611                ,53809662,35374051061587,35374104871249
rdmsr 0x639                ,53758637,35374104994585,35374158753222
rdmsr 0x641                ,37689529,35374158804697,35374196494226
rdmsr 0x619                ,24738192,35374196548419,35374221286611
rdmsr 0x19C                ,22250129,35374221304462,35374243554591
rdmsr 0x17                 ,22553729,35374243573131,35374266126860
sys_call_overhead_proc_read,64727653
sys_call_overhead_sys_read ,142510297
