name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13530253,17558697834063,17558711364316
mov eax ebx                ,31347,17558714646522,17558714677869
nop                        ,31349,17558717809466,17558717840815
rdmsr 0x611                ,54652492,17558721149793,17558775802285
rdmsr 0x639                ,46987266,17558775902256,17558822889522
rdmsr 0x641                ,27548623,17558822923800,17558850472423
rdmsr 0x619                ,23393832,17558850491540,17558873885372
rdmsr 0x19C                ,23848191,17558873904008,17558897752199
rdmsr 0x17                 ,24051856,17558897809276,17558921861132
sys_call_overhead_proc_read,71591540
sys_call_overhead_sys_read ,143281413
