name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13208648,93475542644404,93475555853052
mov eax ebx                ,31351,93475559506245,93475559537596
nop                        ,31349,93475562704552,93475562735901
rdmsr 0x611                ,56698653,93475566030238,93475622728891
rdmsr 0x639                ,54520650,93475622870422,93475677391072
rdmsr 0x641                ,36041742,93475677491172,93475713532914
rdmsr 0x619                ,51731329,93475713644803,93475765376132
rdmsr 0x19C                ,56573014,93475765520907,93475822093921
rdmsr 0x17                 ,53266329,93475822239167,93475875505496
sys_call_overhead_proc_read,96972370
sys_call_overhead_sys_read ,161230880
