name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,6485324,126238853390123,126238859875447
mov eax ebx                ,29187,126238861600007,126238861629194
nop                        ,29184,126238863193210,126238863222394
rdmsr 0x611                ,26158563,126238864814053,126238890972616
rdmsr 0x639                ,25761420,126238891068255,126238916829675
rdmsr 0x641                ,23835476,126238916864079,126238940699555
rdmsr 0x619                ,24164820,126238940743552,126238964908372
rdmsr 0x19C                ,23728751,126238964995565,126238988724316
rdmsr 0x17                 ,24121254,126238988764518,126239012885772
sys_call_overhead_proc_read,68388047
sys_call_overhead_sys_read ,140638873
