name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13082580,135757332851785,135757345934365
mov eax ebx                ,31358,135757349127273,135757349158631
nop                        ,31340,135757352246037,135757352277377
rdmsr 0x611                ,56694605,135757355358404,135757412053009
rdmsr 0x639                ,52704732,135757412156319,135757464861051
rdmsr 0x641                ,30501431,135757464896841,135757495398272
rdmsr 0x619                ,24574132,135757495420032,135757519994164
rdmsr 0x19C                ,24882105,135757520014403,135757544896508
rdmsr 0x17                 ,25097187,135757544914938,135757570012125
sys_call_overhead_proc_read,67942787
sys_call_overhead_sys_read ,170950594
