name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,5778528,158030017549883,158030023328411
mov eax ebx                ,13200,158030024721689,158030024734889
nop                        ,13194,158030026067467,158030026080661
rdmsr 0x611                ,27730821,158030027456470,158030055187291
rdmsr 0x639                ,34576967,158030055221030,158030089797997
rdmsr 0x641                ,35105626,158030089834947,158030124940573
rdmsr 0x619                ,33904319,158030124992186,158030158896505
rdmsr 0x19C                ,25561838,158030158927204,158030184489042
rdmsr 0x17                 ,23969264,158030184511988,158030208481252
sys_call_overhead_proc_read,65824356
sys_call_overhead_sys_read ,134449312
