name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13118380,30737647611283,30737660729663
mov eax ebx                ,31350,30737663887650,30737663919000
nop                        ,31387,30737667038107,30737667069494
rdmsr 0x611                ,56613453,30737670215014,30737726828467
rdmsr 0x639                ,53326423,30737726893240,30737780219663
rdmsr 0x641                ,30964982,30737780272393,30737811237375
rdmsr 0x619                ,23773470,30737811259271,30737835032741
rdmsr 0x19C                ,23119072,30737835050518,30737858169590
rdmsr 0x17                 ,23397850,30737858193610,30737881591460
sys_call_overhead_proc_read,65397645
sys_call_overhead_sys_read ,135838568
