Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1762310133405,2100,2100,2101,2099,2102,2100,2100,2100,3.846153974533081,0,0,0,4,0,0,0,61509.44842529297,95139.27825927734,229044.0457763672,0.1365966796875,33572028416,0,762839040,0
0,1762310133405,2100,2100,2101,2099,2102,2100,2100,2100,3.846153974533081,0,0,0,4,0,0,0,61509.44842529297,95139.27825927734,229044.04815673828,0.1365966796875,33572028416,0,762839040,0
0,1762310133406,2100,2100,2101,2099,2102,2100,2100,2100,3.846153974533081,0,0,0,4,0,0,0,61509.44958496094,95139.2847290039,229044.05126953125,0.1365966796875,33572028416,0,762839040,0
0,1762310133407,2100,2100,2101,2099,2102,2100,2100,2100,3.846153974533081,0,0,0,4,0,0,0,61509.45184326172,95139.29095458984,229044.05438232422,0.1365966796875,33572028416,0,762839040,0
0,1762310133408,2100,2100,2101,2099,2102,2100,2100,2100,3.846153974533081,0,0,0,4,0,0,0,61509.45281982422,95139.30139160156,229044.05603027344,0.1365966796875,33572028416,0,762839040,0
0,1762310133409,2100,2100,2101,2099,2102,2100,2100,2100,3.846153974533081,0,0,0,4,0,0,0,61509.453857421875,95139.30590820313,229044.05737304688,0.1365966796875,33572028416,0,762839040,0
0,1762310133410,2100,2100,2101,2099,2102,2100,2100,2100,3.846153974533081,0,0,0,4,0,0,0,61509.45489501953,95139.31042480469,229044.0590209961,0.1365966796875,33572028416,0,762839040,0
0,1762310133411,2100,2100,2101,2099,2102,2100,2100,2100,3.846153974533081,0,0,0,4,0,0,0,61509.45587158203,95139.31506347656,229044.06024169922,0.1365966796875,33572028416,0,762839040,0
0,1762310133413,2100,2100,2101,2099,2102,2100,2100,2100,3.846153974533081,0,0,0,4,0,0,0,61509.45690917969,95139.31964111328,229044.06188964844,0.1365966796875,33572028416,0,762839040,0
0,1762310133414,2100,2100,2101,2099,2102,2100,2100,2100,3.846153974533081,0,0,0,4,0,0,0,61509.45788574219,95139.32391357422,229044.06329345703,0.1365966796875,33572028416,0,762839040,0
