Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
346	25.02	1600	2675	0.79	80	0	0	2	6	7	41	0	5	0	0	0.00	0.73	1.61	4.39	50.56	0.00	7.78	0.00	0.00	23.91	5.68	45.40	0.00	52	0	52	165.61	91.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.54	3.20	0.00	0.96	0.00	0.00
426	23.20	1600	3557	0.84	66	0	0	0	4	5	49	0	5	0	1	0.00	0.00	1.00	1.97	75.83	0.00	8.49	0.00	1.30	24.17	1.45	51.18	0.00	52	0	52	194.77	102.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.15	5.13	0.00	1.31	0.00	0.00
353	21.01	1600	3248	0.89	53	0	0	0	0	2	43	0	3	0	0	0.00	0.00	0.00	1.03	77.30	0.00	4.90	0.00	0.00	19.73	1.17	58.09	0.00	52	0	52	166.79	106.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.43	4.15	0.00	1.36	0.00	0.00
457	29.87	1600	2959	0.76	47	0	0	1	5	4	45	0	3	0	0	0.00	0.05	0.83	0.78	62.61	0.00	3.15	0.00	0.00	25.31	0.00	44.82	0.00	53	0	53	170.30	98.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.86	3.75	0.00	1.10	0.00	0.00
207	12.05	1600	3320	0.77	50	0	0	0	3	3	41	0	4	0	0	0.00	0.00	0.47	2.08	86.11	0.00	6.03	0.00	0.00	15.31	0.77	71.88	0.00	52	0	52	128.73	86.10	0.00	0.00	0.92	13.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.52	3.44	0.00	0.99	0.00	0.00
187	11.68	1599	3094	0.83	49	0	0	0	0	1	37	0	8	0	0	0.00	0.00	0.00	0.47	74.43	0.00	13.74	0.00	0.00	15.41	0.79	72.12	0.00	52	0	52	91.01	79.51	0.00	0.00	2.73	14.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.52	2.33	0.00	1.15	0.00	0.00
184	11.53	1601	3085	0.84	41	0	1	0	1	4	40	0	6	0	0	0.07	0.00	0.11	1.29	75.28	0.00	11.84	0.00	0.00	15.71	0.82	71.94	0.00	52	0	52	93.07	80.49	0.00	0.00	1.89	15.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.22	2.26	0.00	0.94	0.00	0.00
187	11.59	1601	3115	0.83	42	0	0	0	2	1	34	0	10	0	0	0.00	0.00	0.42	0.34	70.70	0.00	17.87	0.00	0.00	15.29	0.00	69.48	3.64	51	0	52	89.94	79.83	0.00	0.00	1.18	14.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.41	2.34	0.00	0.96	0.00	0.00
187	11.68	1599	3097	0.84	50	0	0	0	1	2	40	0	8	0	0	0.00	0.00	0.15	0.20	74.10	0.00	14.29	0.00	0.00	16.14	0.00	71.46	0.72	51	0	52	90.55	79.87	0.00	0.00	2.11	14.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.74	2.54	0.00	1.12	0.00	0.00
181	11.37	1601	3081	0.84	42	0	0	0	1	2	36	0	9	0	0	0.00	0.00	0.15	0.93	73.21	0.00	14.26	0.00	0.00	15.26	0.90	72.48	0.00	52	0	52	93.01	80.00	0.00	0.00	2.71	14.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.25	2.19	0.00	0.94	0.00	0.00
186	11.57	1599	3105	0.84	42	0	0	0	0	2	35	0	9	0	0	0.00	0.00	0.00	0.84	71.21	0.00	17.03	0.00	0.00	14.76	0.87	72.80	0.00	51	0	52	90.18	79.85	0.00	0.00	1.86	15.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.64	2.52	0.00	1.12	0.00	0.00
182	11.40	1601	3094	0.83	50	0	0	0	1	1	33	0	12	0	0	0.00	0.00	0.15	0.50	63.22	0.00	25.03	0.00	0.00	15.75	0.87	70.53	1.45	52	0	52	89.01	79.41	0.00	0.00	2.87	14.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.04	2.11	0.00	0.93	0.00	0.00
183	11.48	1600	3088	0.84	40	0	0	1	3	4	36	0	11	0	0	0.00	0.00	0.33	0.86	68.65	0.00	18.85	0.00	0.00	15.41	0.00	70.02	3.09	51	0	52	91.72	80.38	0.00	0.00	1.14	15.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.96	2.40	0.00	0.93	0.00	0.00
186	11.60	1601	3108	0.82	43	0	0	0	1	0	37	0	9	0	0	0.00	0.00	0.15	0.00	74.47	0.00	14.50	0.00	0.00	15.64	0.00	72.22	0.54	52	0	52	90.84	79.78	0.00	0.00	2.25	14.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.16	2.39	0.00	1.13	0.00	0.00
185	11.60	1600	3085	0.84	47	0	0	0	1	2	40	0	7	0	0	0.00	0.00	0.09	1.20	75.15	0.00	12.05	0.00	0.00	15.68	1.92	70.80	0.00	52	0	52	92.98	80.37	0.00	0.00	2.18	14.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76	2.14	0.00	0.92	0.00	0.00
186	11.55	1599	3111	0.84	41	0	0	1	2	1	35	0	8	0	0	0.00	0.02	0.34	0.38	73.68	0.00	14.81	0.00	0.00	15.45	0.00	69.47	3.53	52	0	52	91.35	80.26	0.00	0.00	1.40	14.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.14	2.50	0.00	0.95	0.00	0.00
187	11.65	1601	3102	0.84	49	0	0	1	0	1	33	0	12	0	0	0.00	0.04	0.00	0.46	65.58	0.00	22.80	0.00	0.00	15.80	0.80	67.48	4.27	52	0	52	90.45	79.99	0.00	0.00	2.48	14.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.06	2.27	0.00	1.12	0.00	0.00
185	11.61	1599	3080	0.83	42	0	0	0	1	2	32	0	13	0	0	0.00	0.00	0.26	1.04	64.38	0.00	22.60	0.00	0.00	15.83	0.99	69.32	2.25	52	0	52	92.52	79.66	0.00	0.00	3.01	14.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.02	2.34	0.00	0.94	0.00	0.00
184	11.43	1601	3106	0.84	42	0	0	0	0	2	32	0	13	0	0	0.00	0.00	0.00	0.83	66.88	0.00	21.51	0.00	0.00	15.10	0.84	66.31	6.32	52	0	52	90.34	79.92	0.00	0.00	3.09	13.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.92	2.24	0.00	1.12	0.00	0.00
183	11.43	1600	3090	0.83	49	0	0	1	0	1	34	0	11	0	0	0.00	0.06	0.00	0.49	67.06	0.00	21.17	0.00	0.00	15.71	0.79	67.74	4.32	52	0	52	89.31	79.17	0.00	0.00	2.27	14.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.93	2.25	0.00	0.94	0.00	0.00
189	11.80	1599	3094	0.83	40	0	0	1	3	4	39	0	10	0	0	0.00	0.04	0.35	0.83	69.06	0.00	18.28	0.00	0.00	16.27	0.00	68.88	3.05	51	0	52	93.25	80.78	0.00	0.00	1.34	15.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.81	2.25	0.00	0.92	0.00	0.00
187	11.67	1601	3097	0.83	42	0	0	0	1	2	39	0	5	0	0	0.00	0.00	0.21	1.42	80.09	0.00	7.00	0.00	0.00	15.61	2.46	65.88	4.39	52	0	52	93.08	79.67	0.00	0.00	2.52	14.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.45	2.59	0.00	1.15	0.00	0.00
185	11.58	1599	3096	0.83	49	0	0	0	2	0	37	0	10	0	0	0.00	0.00	0.35	0.00	71.10	0.00	17.38	0.00	0.00	16.27	0.00	66.17	5.97	52	0	52	89.93	79.53	0.00	0.00	2.30	14.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.80	2.20	0.00	0.92	0.00	0.00
187	11.70	1600	3094	0.83	41	0	0	0	2	4	38	0	8	0	0	0.00	0.00	0.25	0.87	74.31	0.00	13.24	0.00	0.00	15.45	0.00	67.16	5.69	52	0	52	94.69	80.62	0.00	0.00	1.10	16.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.02	2.34	0.00	0.95	0.00	0.00
185	11.53	1600	3099	0.84	49	0	0	0	1	1	35	0	10	0	0	0.00	0.00	0.20	0.65	70.11	0.00	17.98	0.00	0.00	15.77	1.14	71.16	0.40	51	0	52	89.94	79.43	0.00	0.00	2.66	13.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.30	2.57	0.00	1.12	0.00	0.00
182	11.41	1601	3085	0.83	41	0	0	0	1	3	40	0	5	0	0	0.00	0.00	0.20	1.36	78.57	0.00	8.52	0.00	0.00	15.73	1.15	69.20	2.51	51	0	52	91.68	80.31	0.00	0.00	2.34	14.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.85	2.20	0.00	0.93	0.00	0.00
190	11.80	1600	3108	0.83	41	0	0	2	1	3	39	0	7	0	0	0.00	0.06	0.07	0.62	75.56	0.00	12.62	0.00	0.00	15.47	0.00	69.02	3.72	51	0	51	91.87	80.85	0.00	0.00	1.53	13.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.12	2.39	0.00	1.13	0.00	0.00
186	11.56	1600	3106	0.83	49	0	0	0	1	0	34	0	11	0	0	0.00	0.00	0.26	0.00	65.08	0.00	23.76	0.00	0.00	16.08	0.00	66.82	5.54	51	0	51	89.99	79.60	0.00	0.00	2.79	14.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.96	2.17	0.00	0.94	0.00	0.00
187	11.79	1600	3075	0.84	42	0	0	0	2	3	34	0	11	0	0	0.00	0.00	0.46	1.18	63.55	0.00	22.77	0.00	0.00	15.49	1.29	64.56	6.88	51	0	52	93.48	80.25	0.00	0.00	1.09	13.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.98	2.39	0.00	0.93	0.00	0.00
186	11.54	1599	3115	0.83	41	0	0	0	1	2	34	0	10	0	0	0.00	0.00	0.11	1.00	72.33	0.00	15.95	0.00	0.00	15.08	0.82	69.03	3.53	51	0	52	90.42	80.04	0.00	0.00	2.73	14.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.10	2.32	0.00	1.13	0.00	0.00
183	11.40	1601	3112	0.84	49	0	0	0	1	1	37	0	8	0	0	0.00	0.00	0.09	0.50	71.25	0.00	17.58	0.00	0.00	15.69	0.86	72.05	0.00	51	0	52	89.53	79.65	0.00	0.00	2.22	14.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.13	2.46	0.00	0.95	0.00	0.00
178	11.31	1599	3054	0.84	41	0	0	0	2	1	29	0	15	0	0	0.00	0.00	0.32	0.43	57.67	0.00	29.49	0.00	0.00	15.42	0.00	71.92	1.35	51	0	52	91.42	79.53	0.00	0.00	1.50	14.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.79	2.20	0.00	0.93	0.00	0.00
187	11.62	1600	3116	0.83	42	0	0	1	0	1	37	0	10	0	0	0.00	0.06	0.00	0.39	73.25	0.00	15.63	0.00	0.00	15.59	0.00	72.79	0.00	51	0	52	90.43	79.84	0.00	0.00	2.43	14.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.12	2.41	0.00	1.11	0.00	0.00
184	11.46	1601	3098	0.83	49	0	0	0	1	1	34	0	12	0	0	0.00	0.00	0.13	0.56	67.41	0.00	20.89	0.00	0.00	15.60	0.96	69.94	2.03	51	0	52	89.55	79.50	0.00	0.00	2.30	14.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.10	2.39	0.00	0.95	0.00	0.00
184	11.47	1600	3098	0.84	41	0	0	0	3	1	32	0	11	0	0	0.00	0.00	0.54	0.54	67.08	0.00	20.76	0.00	0.00	15.32	0.00	62.50	10.70	51	0	52	92.72	80.74	0.00	0.00	1.10	14.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.78	2.26	0.00	0.92	0.00	0.00
183	11.47	1600	3086	0.83	49	0	0	1	0	1	30	0	15	0	0	0.00	0.02	0.00	0.47	58.91	0.00	29.21	0.00	0.00	15.57	0.80	67.84	4.32	51	0	52	89.27	79.12	0.00	0.00	3.07	13.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.04	2.19	0.00	1.13	0.00	0.00
184	11.50	1600	3089	0.84	42	0	0	0	2	5	42	0	6	0	0	0.00	0.00	0.33	1.56	78.27	0.00	8.54	0.00	0.00	15.48	1.31	69.24	2.47	51	0	52	92.12	80.97	0.00	0.00	1.10	13.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.86	2.28	0.00	0.92	0.00	0.00
186	11.59	1599	3105	0.83	41	0	0	1	2	3	39	0	6	0	0	0.00	0.02	0.30	0.78	78.97	0.00	8.96	0.00	0.00	15.37	0.00	73.04	0.00	51	0	52	90.31	80.32	0.00	0.00	1.17	13.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.30	2.49	0.00	1.14	0.00	0.00
183	11.47	1601	3091	0.84	49	0	0	0	1	1	35	0	10	0	0	0.00	0.00	0.28	0.66	68.90	0.00	18.93	0.00	0.00	15.99	1.17	68.77	2.60	51	0	52	89.50	79.60	0.00	0.00	2.19	14.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.84	2.24	0.00	0.92	0.00	0.00
181	11.32	1600	3097	0.84	40	0	0	0	2	2	32	0	11	0	0	0.00	0.00	0.39	1.16	65.33	0.00	22.17	0.00	0.00	14.90	1.08	66.78	5.93	51	0	52	90.61	80.03	0.00	0.00	1.43	14.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.92	2.31	0.00	0.93	0.00	0.00
186	11.60	1600	3101	0.83	43	0	0	1	0	1	37	0	9	0	0	0.00	0.02	0.00	0.37	73.79	0.00	14.74	0.00	0.00	15.60	0.00	72.80	0.00	51	0	52	90.50	79.84	0.00	0.00	2.15	14.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.89	2.18	0.00	1.11	0.00	0.00
