Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
195	12.03	1600	3145	0.78	79	0	0	3	3	6	38	0	0	0	0	0.00	5.56	1.07	10.10	72.95	0.00	0.00	0.00	0.00	25.61	5.55	56.81	0.00	50	0	51	100.29	82.06	0.00	0.00	2.81	12.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.58	2.85	0.00	1.16	0.00	0.00
333	22.26	1600	2893	0.83	43	0	0	0	1	3	48	0	0	0	0	0.00	0.00	0.23	2.13	70.62	0.00	0.00	0.00	0.00	20.83	3.25	53.65	0.00	51	0	51	128.98	94.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.29	2.93	0.00	1.14	0.00	0.00
418	24.63	1600	3279	0.82	59	0	0	2	5	2	50	0	0	0	1	0.00	0.03	1.22	0.54	78.10	0.00	0.00	0.00	0.28	26.91	0.75	47.71	0.00	50	0	51	202.52	101.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.42	4.74	0.00	1.18	0.00	0.00
376	23.12	1600	3147	0.89	51	0	0	0	2	0	40	0	5	0	0	0.00	0.00	0.24	0.00	68.95	0.00	9.29	0.00	0.00	25.40	0.00	51.48	0.00	51	0	51	189.81	101.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.34	4.44	0.00	1.31	0.00	0.00
348	22.29	1600	3024	0.94	42	0	0	0	2	2	40	0	4	0	0	0.00	0.00	0.44	0.60	68.40	0.00	6.78	0.00	0.00	21.93	0.00	55.78	0.00	52	0	52	175.84	97.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.21	3.96	0.00	0.96	0.00	0.00
481	29.32	1600	3173	0.75	50	0	0	1	3	6	50	0	1	0	0	0.00	0.02	0.35	2.13	67.99	0.00	2.37	0.00	0.00	29.92	3.11	37.64	0.00	52	0	52	183.42	102.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.18	4.30	0.00	1.24	0.00	0.00
191	11.97	1600	3093	0.82	41	0	0	1	3	1	42	0	3	0	0	0.00	0.04	0.70	0.61	83.23	0.00	3.73	0.00	0.00	15.55	0.00	72.48	0.00	51	0	51	129.55	81.88	0.00	0.00	1.36	14.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.91	2.91	0.00	0.98	0.00	0.00
187	11.70	1600	3099	0.81	51	0	0	0	0	1	45	0	2	0	0	0.00	0.00	0.00	0.48	85.26	0.00	3.04	0.00	0.00	16.07	0.80	71.43	0.00	50	0	51	93.03	79.61	0.00	0.00	2.48	14.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.75	2.63	0.00	1.13	0.00	0.00
186	11.62	1600	3094	0.83	40	0	0	0	2	2	36	0	10	0	0	0.00	0.00	0.29	1.06	71.94	0.00	15.42	0.00	0.00	15.00	1.05	72.34	0.00	50	0	51	92.04	80.62	0.00	0.00	1.32	14.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.17	2.31	0.00	0.93	0.00	0.00
186	11.60	1600	3099	0.82	41	0	0	0	1	0	35	0	11	0	0	0.00	0.00	0.24	0.00	72.26	0.00	16.37	0.00	0.00	15.41	0.00	69.26	3.72	50	0	51	91.28	80.17	0.00	0.00	2.76	14.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.55	2.33	0.00	1.13	0.00	0.00
