Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
194	12.09	1600	3111	0.78	89	0	0	5	1	1	38	0	4	0	0	0.00	6.01	0.68	1.91	71.87	0.00	8.18	0.00	0.00	24.85	0.00	63.06	0.00	49	0	49	95.15	80.38	0.00	0.00	2.07	14.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	2.90	0.00	0.94	0.00	0.00
380	26.87	1600	2739	0.86	44	0	0	0	3	4	46	0	6	0	1	0.00	0.00	0.38	1.28	55.70	0.00	7.07	0.00	0.55	26.05	1.21	45.87	0.00	49	0	49	134.91	89.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.12	2.70	0.00	0.94	0.00	0.00
313	19.23	1600	3151	0.87	77	0	0	2	1	4	60	0	12	0	0	0.00	0.03	0.11	1.09	66.23	0.00	15.10	0.00	0.00	17.80	0.94	56.96	5.06	50	0	49	156.11	82.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.63	3.61	0.00	1.06	0.00	0.00
378	20.62	1601	3545	0.91	73	0	0	0	2	1	34	0	12	0	0	0.00	0.00	0.50	0.59	68.22	0.00	21.93	0.00	0.00	24.17	0.90	54.31	0.00	50	0	50	204.13	137.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.60	5.39	0.00	1.82	0.00	0.00
372	22.57	1599	3191	0.71	52	0	0	0	0	2	53	0	2	0	0	0.00	0.00	0.00	1.13	77.84	0.00	1.29	0.00	0.00	24.07	1.91	51.46	0.00	49	0	50	163.95	98.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.60	4.02	0.00	1.02	0.00	0.00
182	11.45	1602	3075	0.83	41	0	0	1	2	1	41	0	3	0	0	0.00	0.00	0.52	0.56	84.12	0.00	3.11	0.00	0.00	15.34	0.00	73.22	0.00	49	0	49	121.65	81.04	0.00	0.00	0.96	14.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.01	2.82	0.00	1.15	0.00	0.00
187	11.75	1600	3085	0.82	41	0	0	0	1	1	38	0	7	0	0	0.00	0.00	0.09	0.35	77.10	0.00	10.77	0.00	0.00	15.24	0.00	73.01	0.00	49	0	49	89.70	79.94	0.00	0.00	2.55	14.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.21	2.30	0.00	0.94	0.00	0.00
187	11.61	1599	3118	0.83	49	0	0	0	2	3	37	0	12	0	0	0.00	0.00	0.32	0.32	67.38	0.00	21.41	0.00	0.00	16.15	0.00	65.46	6.79	49	0	49	90.88	80.16	0.00	0.00	2.63	14.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.24	2.17	0.00	0.95	0.00	0.00
187	11.62	1602	3111	0.84	41	0	0	0	3	2	39	0	6	0	0	0.00	0.00	0.47	0.58	77.91	0.00	10.19	0.00	0.00	15.38	0.00	69.40	3.60	48	0	49	93.41	80.81	0.00	0.00	0.88	14.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.59	2.50	0.00	1.13	0.00	0.00
183	11.48	1600	3078	0.83	49	0	0	0	1	2	44	0	3	0	0	0.00	0.00	0.13	0.21	81.17	0.00	6.90	0.00	0.00	16.02	0.00	72.50	0.00	49	0	49	89.32	79.35	0.00	0.00	1.80	15.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.11	2.12	0.00	0.94	0.00	0.00
185	11.56	1600	3097	0.84	41	0	0	0	2	1	35	0	10	0	0	0.00	0.00	0.50	0.52	70.75	0.00	17.07	0.00	0.00	15.51	0.00	72.93	0.00	48	0	49	92.34	81.20	0.00	0.00	1.74	13.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.55	2.45	0.00	1.11	0.00	0.00
186	11.60	1598	3102	0.83	41	0	0	0	1	2	34	0	9	0	0	0.00	0.00	0.13	1.02	71.25	0.00	16.54	0.00	0.00	14.90	0.88	69.23	3.39	48	0	49	91.12	80.00	0.00	0.00	1.81	15.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.28	2.26	0.00	0.94	0.00	0.00
183	11.45	1601	3098	0.84	50	0	0	0	1	1	32	0	14	0	0	0.00	0.00	0.17	0.57	62.96	0.00	25.27	0.00	0.00	16.24	0.95	69.58	1.77	48	0	49	89.53	79.89	0.00	0.00	2.17	14.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.30	2.48	0.00	0.92	0.00	0.00
183	11.44	1601	3100	0.83	40	0	0	2	2	3	36	0	10	0	0	0.00	0.09	0.32	0.59	70.91	0.00	17.12	0.00	0.00	15.97	0.00	69.18	3.41	49	0	49	92.21	80.05	0.00	0.00	1.04	15.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.86	2.15	0.00	1.12	0.00	0.00
184	11.52	1600	3099	0.84	49	0	0	0	1	1	35	0	10	0	0	0.00	0.00	0.11	0.61	73.13	0.00	15.07	0.00	0.00	15.73	1.05	70.16	1.54	48	0	49	90.27	79.95	0.00	0.00	2.70	13.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.85	2.24	0.00	0.94	0.00	0.00
181	11.36	1600	3080	0.83	42	0	0	0	1	2	33	0	12	0	0	0.00	0.00	0.28	1.13	66.48	0.00	20.65	0.00	0.00	16.04	1.04	67.54	4.01	48	0	49	91.54	79.85	0.00	0.00	2.18	14.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.85	2.18	0.00	0.92	0.00	0.00
186	11.57	1601	3107	0.83	41	0	0	0	0	2	36	0	9	0	0	0.00	0.00	0.00	0.85	73.35	0.00	14.92	0.00	0.00	15.25	0.85	72.32	0.00	48	0	49	90.25	79.74	0.00	0.00	2.18	14.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.10	2.48	0.00	1.12	0.00	0.00
183	11.49	1600	3084	0.83	49	0	0	1	1	2	38	0	10	0	0	0.00	0.02	0.13	0.20	71.38	0.00	16.83	0.00	0.00	16.49	0.00	69.58	2.44	48	0	49	89.68	79.59	0.00	0.00	2.16	14.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.90	2.19	0.00	0.94	0.00	0.00
184	11.48	1600	3103	0.84	41	0	0	0	3	1	35	0	9	0	0	0.00	0.00	0.42	0.41	73.51	0.00	14.73	0.00	0.00	15.49	0.00	70.34	2.69	48	0	49	92.71	80.82	0.00	0.00	1.55	14.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.81	2.19	0.00	1.10	0.00	0.00
186	11.59	1600	3105	0.82	49	0	1	0	0	1	31	0	14	0	0	0.07	0.00	0.00	0.54	64.13	0.00	24.39	0.00	0.00	15.63	0.90	70.37	1.51	48	0	49	90.12	79.99	0.00	0.00	2.21	14.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.84	2.21	0.00	0.95	0.00	0.00
183	11.51	1601	3078	0.84	41	0	0	0	2	5	40	0	7	0	0	0.00	0.00	0.31	1.52	73.92	0.00	12.66	0.00	0.00	15.65	1.31	69.00	2.51	48	0	49	91.80	81.11	0.00	0.00	1.09	13.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.92	2.34	0.00	1.09	0.00	0.00
185	11.53	1600	3104	0.83	41	0	0	0	1	2	34	0	9	0	0	0.00	0.00	0.13	1.04	72.92	0.00	14.94	0.00	0.00	15.22	0.89	69.00	3.36	49	0	49	90.23	79.43	0.00	0.00	3.13	13.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.19	2.52	0.00	0.94	0.00	0.00
188	11.74	1600	3099	0.83	50	0	0	0	1	1	36	0	10	0	0	0.00	0.00	0.17	0.55	67.19	0.00	20.83	0.00	0.00	16.30	0.92	69.16	1.88	48	0	49	90.81	79.90	0.00	0.00	2.15	14.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.73	2.16	0.00	0.93	0.00	0.00
186	11.63	1600	3096	0.83	40	0	1	0	1	4	36	0	11	0	0	0.06	0.00	0.04	0.65	66.67	0.00	21.42	0.00	0.00	15.23	0.00	68.79	4.34	49	0	49	93.06	80.30	0.00	0.00	1.16	15.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.13	2.39	0.00	1.13	0.00	0.00
187	11.63	1600	3104	0.83	49	0	0	0	1	1	38	0	7	0	0	0.00	0.00	0.11	0.63	75.52	0.00	12.72	0.00	0.00	15.82	1.09	70.85	0.61	48	0	49	90.78	80.73	0.00	0.00	2.23	13.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.71	2.13	0.00	0.91	0.00	0.00
183	11.45	1600	3084	0.83	41	0	0	0	1	2	32	0	13	0	0	0.00	0.00	0.26	1.10	65.31	0.00	21.89	0.00	0.00	15.86	0.99	65.36	6.33	48	0	49	92.26	79.91	0.00	0.00	2.18	14.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.99	2.34	0.00	0.94	0.00	0.00
185	11.56	1599	3098	0.83	41	0	0	0	0	2	35	0	10	0	0	0.00	0.00	0.00	0.83	71.89	0.00	16.13	0.00	0.00	15.24	0.86	72.31	0.04	49	0	49	90.38	79.61	0.00	0.00	2.18	14.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.77	2.19	0.00	1.11	0.00	0.00
192	11.93	1601	3105	0.81	52	0	0	1	1	3	46	0	7	0	0	0.00	0.02	0.04	0.32	74.48	0.00	13.88	0.00	0.00	17.66	0.00	66.10	4.31	48	0	49	94.67	79.59	0.00	0.00	2.26	14.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	2.47	0.00	0.95	0.00	0.00
187	11.68	1600	3095	0.84	40	0	0	0	2	4	43	0	4	0	0	0.00	0.00	0.11	0.72	80.54	0.00	7.30	0.00	0.00	15.85	0.00	72.47	0.00	48	0	49	94.58	81.00	0.00	0.00	1.82	15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.02	2.36	0.00	1.12	0.00	0.00
184	11.52	1600	3094	0.83	42	0	0	0	1	2	38	0	7	0	0	0.00	0.00	0.19	1.27	77.69	0.00	9.65	0.00	0.00	15.83	2.20	70.04	0.41	48	0	49	90.77	79.38	0.00	0.00	2.17	14.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.11	2.47	0.00	0.94	0.00	0.00
183	11.49	1600	3089	0.84	49	0	0	0	1	2	38	0	7	0	0	0.00	0.00	0.13	1.23	73.61	0.00	13.73	0.00	0.00	15.58	2.00	70.93	0.00	48	0	49	90.41	79.93	0.00	0.00	2.20	14.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.73	2.08	0.00	0.92	0.00	0.00
185	11.55	1600	3107	0.83	41	0	0	0	3	1	34	0	10	0	0	0.00	0.00	0.45	0.40	68.21	0.00	20.06	0.00	0.00	15.55	0.00	72.90	0.00	48	0	49	91.36	79.94	0.00	0.00	1.76	14.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.08	2.33	0.00	1.14	0.00	0.00
183	11.44	1600	3098	0.84	49	0	0	0	0	1	32	0	14	0	0	0.00	0.00	0.00	0.48	63.34	0.00	25.18	0.00	0.00	15.92	0.81	67.47	4.36	48	0	49	89.76	79.88	0.00	0.00	2.98	13.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.93	2.31	0.00	0.92	0.00	0.00
