Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1762339123106,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.53399658203,146789.45642089844,182583.27838134766,0.21197509765625,33572028416,0,805367808,0
0,1762339123107,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.53515625,146789.46240234375,182583.2802734375,0.21197509765625,33572028416,0,805367808,0
0,1762339123108,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.53631591797,146789.4682006836,182583.283203125,0.21197509765625,33572028416,0,805367808,0
1,1762339123109,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.53747558594,146789.47412109375,182583.28619384766,0.21197509765625,33572028416,0,805367808,0
0,1762339123110,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.5385131836,146789.47985839844,182583.2885131836,0.21197509765625,33572028416,0,805367808,0
0,1762339123111,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.53955078125,146789.48455810547,182583.29010009766,0.21197509765625,33572028416,0,805367808,0
0,1762339123112,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.5415649414,146789.49432373047,182583.2924194336,0.21197509765625,33572028416,0,805367808,0
0,1762339123113,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.5425415039,146789.4995727539,182583.2944946289,0.21197509765625,33572028416,0,805367808,0
0,1762339123114,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.5435180664,146789.50463867188,182583.29656982422,0.21197509765625,33572028416,0,805367808,0
0,1762339123115,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.54455566406,146789.50958251953,182583.29888916016,0.21197509765625,33572028416,0,805367808,0
0,1762339123116,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.54553222656,146789.5147705078,182583.3013305664,0.21197509765625,33572028416,0,805367808,0
0,1762339123118,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.54656982422,146789.52026367188,182583.3035888672,0.21197509765625,33572028416,0,805367808,0
0,1762339123118,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.54754638672,146789.52557373047,182583.3056640625,0.21197509765625,33572028416,0,805367808,0
0,1762339123120,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.54858398438,146789.53076171875,182583.30786132813,0.21197509765625,33572028416,0,805367808,0
0,1762339123121,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.54956054688,146789.53594970703,182583.3101196289,0.21197509765625,33572028416,0,805367808,0
0,1762339123122,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.55053710938,146789.5411376953,182583.31231689453,0.21197509765625,33572028416,0,805367808,0
0,1762339123123,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.55157470703,146789.54614257813,182583.31427001953,0.21197509765625,33572028416,0,805367808,0
0,1762339123124,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.55255126953,146789.55114746094,182583.31604003906,0.21197509765625,33572028416,0,805367808,0
0,1762339123125,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.55352783203,146789.55584716797,182583.31787109375,0.21197509765625,33572028416,0,805367808,0
0,1762339123126,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.55456542969,146789.56085205078,182583.3197631836,0.21197509765625,33572028416,0,805367808,0
0,1762339123127,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.55560302734,146789.56579589844,182583.3214111328,0.21197509765625,33572028416,0,805367808,0
0,1762339123128,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.55657958984,146789.57061767578,182583.32305908203,0.21197509765625,33572028416,0,805367808,0
0,1762339123129,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.55865478516,146789.57971191406,182583.32470703125,0.21197509765625,33572028416,0,805367808,0
0,1762339123130,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.55865478516,146789.57971191406,182583.32666015625,0.21197509765625,33572028416,0,805367808,0
0,1762339123131,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.56060791016,146789.58966064453,182583.3286743164,0.21197509765625,33572028416,0,805367808,0
1,1762339123132,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.56164550781,146789.59509277344,182583.33166503906,0.21197509765625,33572028416,0,805367808,0
0,1762339123134,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.56268310547,146789.60095214844,182583.33435058594,0.21197509765625,33572028416,0,805367808,0
0,1762339123135,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.56365966797,146789.6063232422,182583.3367919922,0.21197509765625,33572028416,0,805367808,0
0,1762339123136,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.56463623047,146789.61163330078,182583.33911132813,0.21197509765625,33572028416,0,805367808,0
1,1762339123137,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.56567382813,146789.6173095703,182583.341796875,0.21197509765625,33572028416,0,805367808,0
1,1762339123138,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.56665039063,146789.62280273438,182583.34411621094,0.21197509765625,33572028416,0,805367808,0
1,1762339123139,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.56762695313,146789.6279296875,182583.3462524414,0.21197509765625,33572028416,0,805367808,0
0,1762339123140,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.56866455078,146789.63299560547,182583.3480834961,0.21197509765625,33572028416,0,805367808,0
0,1762339123141,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.56964111328,146789.63787841797,182583.35021972656,0.21197509765625,33572028416,0,805367808,0
0,1762339123142,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.57061767578,146789.64318847656,182583.3526611328,0.21197509765625,33572028416,0,805367808,0
0,1762339123143,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.57165527344,146789.6484375,182583.3549194336,0.21197509765625,33572028416,0,805367808,0
0,1762339123144,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.5726928711,146789.65393066406,182583.3572998047,0.21197509765625,33572028416,0,805367808,0
0,1762339123145,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.5746459961,146789.6644897461,182583.3599243164,0.21197509765625,33572028416,0,805367808,0
0,1762339123146,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.5756225586,146789.66998291016,182583.36291503906,0.21197509765625,33572028416,0,805367808,0
0,1762339123147,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.57666015625,146789.67584228516,182583.3653564453,0.21197509765625,33572028416,0,805367808,0
0,1762339123149,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.5776977539,146789.68139648438,182583.36779785156,0.21197509765625,33572028416,0,805367808,0
0,1762339123150,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.57873535156,146789.68701171875,182583.3705444336,0.21197509765625,33572028416,0,805367808,0
1,1762339123151,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.57971191406,146789.69232177734,182583.37280273438,0.21197509765625,33572028416,0,805367808,0
1,1762339123152,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.58068847656,146789.69787597656,182583.37518310547,0.21197509765625,33572028416,0,805367808,0
1,1762339123153,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.58166503906,146789.703125,182583.3775024414,0.21197509765625,33572028416,0,805367808,0
1,1762339123154,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.58270263672,146789.7084350586,182583.37969970703,0.21197509765625,33572028416,0,805367808,0
1,1762339123155,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.58367919922,146789.71337890625,182583.38165283203,0.21197509765625,33572028416,0,805367808,0
1,1762339123156,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.58569335938,146789.72302246094,182583.38348388672,0.21197509765625,33572028416,0,805367808,0
0,1762339123157,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.58666992188,146789.7280883789,182583.38604736328,0.21197509765625,33572028416,0,805367808,0
0,1762339123158,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.58770751953,146789.73321533203,182583.38800048828,0.21197509765625,33572028416,0,805367808,0
0,1762339123159,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.58868408203,146789.7384033203,182583.39013671875,0.21197509765625,33572028416,0,805367808,0
0,1762339123161,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.58966064453,146789.74377441406,182583.392578125,0.21197509765625,33572028416,0,805367808,0
0,1762339123162,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.59069824219,146789.74932861328,182583.3953857422,0.21197509765625,33572028416,0,805367808,0
0,1762339123163,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.59167480469,146789.75506591797,182583.39807128906,0.21197509765625,33572028416,0,805367808,0
1,1762339123164,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.59271240234,146789.76055908203,182583.40063476563,0.21197509765625,33572028416,0,805367808,0
1,1762339123165,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.59368896484,146789.76611328125,182583.4028930664,0.21197509765625,33572028416,0,805367808,0
1,1762339123166,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.59466552734,146789.77154541016,182583.40521240234,0.21197509765625,33572028416,0,805367808,0
1,1762339123167,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.595703125,146789.77685546875,182583.4073486328,0.21197509765625,33572028416,0,805367808,0
1,1762339123168,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.5966796875,146789.7816772461,182583.40911865234,0.21197509765625,33572028416,0,805367808,0
0,1762339123169,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.5986328125,146789.79077148438,182583.4110107422,0.21197509765625,33572028416,0,805367808,0
0,1762339123170,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.59973144531,146789.79669189453,182583.41345214844,0.21197509765625,33572028416,0,805367808,0
0,1762339123171,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.60070800781,146789.80169677734,182583.4158935547,0.21197509765625,33572028416,0,805367808,0
0,1762339123172,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.60168457031,146789.80700683594,182583.4180908203,0.21197509765625,33572028416,0,805367808,0
0,1762339123174,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.60266113281,146789.8125,182583.42065429688,0.21197509765625,33572028416,0,805367808,0
0,1762339123175,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.60369873047,146789.81799316406,182583.42333984375,0.21197509765625,33572028416,0,805367808,0
0,1762339123176,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.60467529297,146789.8236694336,182583.42608642578,0.21197509765625,33572028416,0,805367808,0
1,1762339123177,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.60571289063,146789.82946777344,182583.4287109375,0.21197509765625,33572028416,0,805367808,0
1,1762339123178,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.60668945313,146789.83520507813,182583.43139648438,0.21197509765625,33572028416,0,805367808,0
1,1762339123179,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.60772705078,146789.84063720703,182583.43334960938,0.21197509765625,33572028416,0,805367808,0
1,1762339123180,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.60870361328,146789.84533691406,182583.43530273438,0.21197509765625,33572028416,0,805367808,0
1,1762339123181,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.60968017578,146789.85034179688,182583.43688964844,0.21197509765625,33572028416,0,805367808,0
1,1762339123182,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.61163330078,146789.85955810547,182583.43914794922,0.21197509765625,33572028416,0,805367808,0
0,1762339123183,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.61267089844,146789.86492919922,182583.44171142578,0.21197509765625,33572028416,0,805367808,0
0,1762339123184,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.61364746094,146789.87030029297,182583.44384765625,0.21197509765625,33572028416,0,805367808,0
0,1762339123185,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.6146850586,146789.87573242188,182583.4461669922,0.21197509765625,33572028416,0,805367808,0
0,1762339123187,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.6157836914,146789.88134765625,182583.44885253906,0.21197509765625,33572028416,0,805367808,0
0,1762339123188,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.61669921875,146789.88598632813,182583.4501953125,0.21197509765625,33572028416,0,805367808,0
0,1762339123189,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.6177368164,146789.89056396484,182583.45166015625,0.21197509765625,33572028416,0,805367808,0
0,1762339123190,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.6187133789,146789.89514160156,182583.45336914063,0.21197509765625,33572028416,0,805367808,0
1,1762339123191,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.61975097656,146789.8999633789,182583.45483398438,0.21197509765625,33572028416,0,805367808,0
1,1762339123192,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.62072753906,146789.904296875,182583.4561767578,0.21197509765625,33572028416,0,805367808,0
1,1762339123193,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.62170410156,146789.90887451172,182583.45764160156,0.21197509765625,33572028416,0,805367808,0
1,1762339123194,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.62280273438,146789.91381835938,182583.45959472656,0.21197509765625,33572028416,0,805367808,0
1,1762339123195,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.62377929688,146789.91864013672,182583.46118164063,0.21197509765625,33572028416,0,805367808,0
1,1762339123196,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.62469482422,146789.92303466797,182583.46258544922,0.21197509765625,33572028416,0,805367808,0
1,1762339123197,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.62670898438,146789.93157958984,182583.4639892578,0.21197509765625,33572028416,0,805367808,0
0,1762339123199,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.62768554688,146789.93603515625,182583.46551513672,0.21197509765625,33572028416,0,805367808,0
0,1762339123200,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.62866210938,146789.9403076172,182583.4666748047,0.21197509765625,33572028416,0,805367808,0
1,1762339123201,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.62969970703,146789.94464111328,182583.46795654297,0.21197509765625,33572028416,0,805367808,0
1,1762339123202,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.63067626953,146789.9490966797,182583.46923828125,0.21197509765625,33572028416,0,805367808,0
1,1762339123203,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.63165283203,146789.95336914063,182583.47045898438,0.21197509765625,33572028416,0,805367808,0
1,1762339123204,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.63269042969,146789.95806884766,182583.47216796875,0.21197509765625,33572028416,0,805367808,0
1,1762339123205,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.63366699219,146789.96258544922,182583.47381591797,0.21197509765625,33572028416,0,805367808,0
1,1762339123206,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.63464355469,146789.96740722656,182583.47595214844,0.21197509765625,33572028416,0,805367808,0
1,1762339123207,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.63665771484,146789.9722290039,182583.47723388672,0.21197509765625,33572028416,0,805367808,0
0,1762339123208,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.63763427734,146789.98065185547,182583.47845458984,0.21197509765625,33572028416,0,805367808,0
0,1762339123210,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.63861083984,146789.98486328125,182583.4796142578,0.21197509765625,33572028416,0,805367808,0
0,1762339123211,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.6396484375,146789.98931884766,182583.48095703125,0.21197509765625,33572028416,0,805367808,0
1,1762339123212,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.640625,146789.9935913086,182583.482421875,0.21197509765625,33572028416,0,805367808,0
1,1762339123213,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.6416015625,146789.998046875,182583.48376464844,0.21197509765625,33572028416,0,805367808,0
1,1762339123214,1599,1600,1599,1600,800,800,800,1599,0,3.846153974533081,0,4,0,0,0,3.846153974533081,113669.642578125,146790.0025024414,182583.48510742188,0.21197509765625,33572028416,0,805367808,0
