Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
280	20.00	1600	2710	0.81	92	0	0	1	5	2	51	0	1	0	0	0.00	0.39	0.97	1.17	66.73	0.00	1.05	0.00	0.00	18.39	0.00	61.60	0.00	50	0	50	103.79	78.07	0.00	0.00	0.84	11.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.07	2.15	0.00	0.99	0.00	0.00
425	24.23	1600	3395	0.81	70	0	0	0	2	5	50	0	5	0	0	0.00	0.00	0.17	1.51	72.40	0.00	9.38	0.00	0.00	25.94	1.08	48.74	0.00	49	0	50	202.80	103.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	4.95	0.00	1.36	0.00	0.00
339	24.50	1600	2678	0.94	58	0	0	0	1	0	48	0	6	0	0	0.00	0.00	0.17	0.00	61.10	0.00	4.29	0.00	0.00	21.63	0.00	53.87	0.00	50	0	50	158.86	91.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.27	3.08	0.00	0.87	0.00	0.00
395	19.26	1600	3971	0.84	65	0	0	0	1	2	46	0	10	0	0	0.00	0.00	0.18	0.85	83.95	0.00	19.00	0.00	0.00	22.59	0.00	50.53	7.62	50	0	50	173.97	112.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.72	5.19	0.00	1.60	0.00	0.00
256	15.82	1600	3137	0.68	50	0	0	1	3	5	55	0	3	0	0	0.00	0.03	0.40	1.14	81.22	0.00	2.87	0.00	0.00	17.80	0.89	65.50	0.00	49	0	49	139.86	100.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.23	3.31	0.00	1.18	0.00	0.00
187	11.66	1599	3106	0.83	49	0	0	0	1	1	40	0	5	0	0	0.00	0.00	0.26	0.62	80.50	0.00	7.61	0.00	0.00	16.12	1.07	69.87	1.28	49	0	50	91.64	79.80	0.00	0.00	1.95	15.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.29	2.26	0.00	0.96	0.00	0.00
185	11.55	1602	3089	0.83	40	0	1	0	2	2	33	0	11	0	0	0.05	0.00	0.37	1.06	69.64	0.00	17.54	0.00	0.00	14.97	0.80	69.40	3.28	49	0	49	92.49	81.30	0.00	0.00	1.01	15.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.35	2.41	0.00	1.11	0.00	0.00
185	11.59	1600	3087	0.82	43	0	0	0	1	0	34	0	12	0	0	0.00	0.00	0.15	0.00	66.81	0.00	21.54	0.00	0.00	15.57	0.00	72.84	0.00	49	0	49	90.61	79.64	0.00	0.00	1.76	15.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.09	2.15	0.00	0.93	0.00	0.00
184	11.51	1600	3092	0.83	47	0	0	1	2	6	46	0	5	0	0	0.00	0.07	0.16	1.33	80.17	0.00	7.07	0.00	0.00	15.91	1.44	71.14	0.00	49	0	49	92.55	81.20	0.00	0.00	0.85	13.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.19	2.26	0.00	0.93	0.00	0.00
186	11.58	1599	3105	0.82	42	0	0	0	1	2	38	0	5	0	0	0.00	0.00	0.17	1.01	80.58	0.00	7.24	0.00	0.00	14.76	0.88	72.78	0.00	49	0	50	90.50	79.90	0.00	0.00	1.84	15.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.27	2.09	0.00	1.14	0.00	0.00
185	11.53	1601	3101	0.83	49	0	0	0	1	1	36	0	12	0	0	0.00	0.00	0.13	0.48	66.26	0.00	22.12	0.00	0.00	15.94	0.79	69.81	1.93	49	0	50	90.08	79.82	0.00	0.00	1.76	14.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.32	2.47	0.00	0.91	0.00	0.00
184	11.53	1600	3090	0.83	41	0	0	0	2	4	36	0	10	0	0	0.00	0.00	0.30	0.88	71.38	0.00	16.14	0.00	0.00	15.61	0.00	67.12	5.73	48	0	50	93.60	80.82	0.00	0.00	1.12	16.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.19	2.20	0.00	1.14	0.00	0.00
186	11.59	1599	3100	0.83	49	0	0	0	1	1	36	0	10	0	0	0.00	0.00	0.09	0.64	71.86	0.00	16.34	0.00	0.00	15.85	1.10	70.66	0.80	49	0	49	90.13	79.80	0.00	0.00	2.13	14.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.79	2.20	0.00	0.91	0.00	0.00
182	11.38	1601	3085	0.83	41	0	0	0	2	3	38	0	7	0	0	0.00	0.00	0.28	1.20	76.03	0.00	11.14	0.00	0.00	15.37	1.26	69.41	2.58	49	0	49	92.19	80.60	0.00	0.00	1.11	13.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.87	2.23	0.00	1.11	0.00	0.00
