Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
203	12.48	1600	3153	0.76	83	0	0	3	1	3	44	0	0	0	0	0.00	1.54	0.57	5.27	82.11	0.00	0.00	0.00	0.00	16.64	8.01	62.88	0.00	50	0	50	95.45	80.70	0.00	0.00	2.88	13.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.67	3.13	0.00	0.97	0.00	0.00
390	24.77	1600	3042	0.85	44	0	0	0	4	1	43	0	0	0	0	0.00	0.00	0.66	0.52	73.06	0.00	0.00	0.00	0.00	25.10	0.00	50.12	0.00	50	0	50	169.50	97.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.03	3.54	0.00	1.31	0.00	0.00
471	29.16	1600	3123	0.84	52	0	0	0	2	3	48	0	0	0	0	0.00	0.00	0.46	1.70	69.63	0.00	0.00	0.00	0.00	29.58	3.00	38.26	0.00	51	0	51	220.72	102.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.06	4.83	0.00	1.09	0.00	0.00
327	20.67	1600	3064	0.87	43	0	0	0	1	2	41	0	2	0	0	0.00	0.00	0.14	0.94	75.09	0.00	2.67	0.00	0.00	20.26	0.92	58.15	0.00	51	0	51	177.13	96.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.78	3.98	0.00	1.20	0.00	0.00
438	28.18	1600	3008	1.00	50	0	0	0	2	2	36	0	4	0	0	0.00	0.00	0.27	0.52	63.38	0.00	5.88	0.00	0.00	26.27	0.00	45.54	0.00	51	0	51	177.52	98.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.30	3.98	0.00	1.10	0.00	0.00
385	24.64	1600	3026	0.71	49	0	0	0	3	4	58	0	2	0	0	0.00	0.00	0.56	2.00	68.45	0.00	3.05	0.00	0.00	23.70	2.64	49.02	0.00	50	0	50	181.82	98.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.22	3.96	0.00	1.16	0.00	0.00
423	25.08	1600	3261	0.63	49	0	0	0	11	7	57	0	2	0	1	0.00	0.00	1.69	2.78	69.83	0.00	4.43	0.00	0.69	27.76	3.28	43.87	0.00	50	0	50	186.58	101.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.78	4.49	0.00	1.20	0.00	0.00
399	25.99	1600	2969	0.71	49	0	0	0	6	4	49	0	3	0	0	0.00	0.00	2.25	1.95	62.75	0.00	4.44	0.00	0.00	25.07	2.64	46.30	0.00	50	0	50	190.18	100.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.28	4.06	0.00	0.96	0.00	0.00
447	27.15	1600	3184	0.57	51	0	0	2	21	19	68	0	3	0	0	0.00	0.09	5.05	7.73	56.45	0.00	6.29	0.00	0.00	33.71	7.25	31.89	0.00	50	0	50	193.60	99.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.10	4.75	0.00	1.16	0.00	0.00
452	28.17	1600	3106	0.63	42	0	0	1	21	17	53	0	1	0	0	0.00	0.00	6.50	11.16	52.70	0.00	2.21	0.00	0.00	35.55	15.37	20.91	0.00	50	0	50	203.85	100.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.40	4.70	0.00	1.14	0.00	0.00
