Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
428	27.44	1600	3017	0.84	97	0	0	2	7	5	39	0	0	0	0	0.00	1.94	3.64	4.21	61.23	0.00	0.00	0.00	0.00	32.96	4.19	35.41	0.00	51	0	51	231.55	96.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.08	4.71	0.00	1.09	0.00	0.00
370	22.86	1600	3132	0.88	50	0	0	0	1	2	44	0	0	0	0	0.00	0.00	0.19	2.15	76.03	0.00	0.00	0.00	0.00	22.37	1.15	53.61	0.00	51	0	51	184.19	100.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.65	4.24	0.00	1.22	0.00	0.00
379	23.47	1600	3124	0.95	50	0	0	1	0	0	41	0	1	0	0	0.00	0.04	0.00	0.00	76.25	0.00	1.24	0.00	0.00	22.12	0.00	54.41	0.00	52	0	52	174.40	101.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.64	4.14	0.00	1.21	0.00	0.00
291	17.90	1599	3151	0.71	60	0	0	0	3	6	63	0	4	0	0	0.00	0.00	0.32	1.36	79.70	0.00	2.62	0.00	0.00	20.32	0.67	61.10	0.00	50	0	51	142.99	99.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.41	3.47	0.00	1.19	0.00	0.00
188	11.76	1602	3091	0.83	49	0	0	0	1	1	45	0	0	0	0	0.00	0.00	0.18	0.66	87.60	0.00	0.00	0.00	0.00	15.65	1.16	71.43	0.00	50	0	50	90.27	79.74	0.00	0.00	3.25	13.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.36	2.38	0.00	0.93	0.00	0.00
184	11.51	1600	3088	0.83	41	0	0	0	1	3	40	0	5	0	0	0.00	0.00	0.19	1.32	77.91	0.00	9.20	0.00	0.00	15.65	1.09	71.74	0.00	50	0	50	93.48	80.08	0.00	0.00	3.30	13.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.27	2.27	0.00	0.95	0.00	0.00
187	11.65	1600	3106	0.84	41	0	0	2	0	5	40	0	7	0	0	0.00	0.02	0.00	0.76	75.58	0.00	12.66	0.00	0.00	15.42	0.00	69.13	3.80	50	0	51	91.45	80.94	0.00	0.00	1.05	13.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.51	2.34	0.00	1.13	0.00	0.00
186	11.64	1600	3098	0.82	49	0	0	0	1	1	34	0	10	0	1	0.00	0.00	0.24	0.65	66.95	0.00	20.21	0.00	0.75	15.83	1.12	69.34	2.09	50	0	51	89.98	79.70	0.00	0.00	3.13	13.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.55	2.56	0.00	0.95	0.00	0.00
182	11.40	1599	3097	0.84	41	0	0	1	1	2	33	0	11	0	0	0.00	0.07	0.13	0.85	66.81	0.00	21.14	0.00	0.00	14.94	0.94	68.44	4.27	50	0	51	92.21	80.55	0.00	0.00	2.01	14.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.39	2.26	0.00	1.11	0.00	0.00
185	11.59	1601	3090	0.83	41	0	0	0	0	2	35	0	10	0	0	0.00	0.00	0.00	0.96	70.51	0.00	17.17	0.00	0.00	15.40	1.08	68.35	3.59	50	0	51	90.90	79.61	0.00	0.00	2.69	14.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.27	2.25	0.00	0.94	0.00	0.00
