Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
225	14.47	1599	3007	0.83	92	0	0	5	2	2	45	0	1	0	0	0.00	3.48	0.30	1.25	78.26	0.00	0.12	0.00	0.00	20.63	0.88	64.02	0.00	50	0	50	95.77	79.32	0.00	0.00	0.98	12.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.88	2.52	0.00	1.07	0.00	0.00
428	29.90	1600	2770	0.82	50	0	0	0	2	3	46	0	2	0	0	0.00	0.00	0.22	1.54	58.39	0.00	2.84	0.00	0.00	26.36	1.80	41.94	0.00	50	0	51	162.41	95.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.79	3.21	0.00	1.06	0.00	0.00
314	21.29	1601	2852	0.85	61	0	0	0	3	3	67	0	9	0	0	0.00	0.00	0.22	0.82	63.84	0.00	7.95	0.00	0.00	15.18	0.57	62.95	0.00	50	0	51	145.01	76.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.07	3.05	0.00	0.81	0.00	0.00
405	19.14	1601	4094	0.84	89	0	0	1	2	0	46	0	10	0	0	0.00	0.04	0.42	0.00	89.75	0.00	17.17	0.00	0.00	25.22	0.00	51.60	4.04	50	0	51	192.73	136.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.49	5.88	0.00	2.04	0.00	0.00
277	17.16	1600	3129	0.68	59	0	0	1	4	7	60	0	3	0	0	0.00	0.00	0.47	0.90	81.23	0.00	1.58	0.00	0.00	19.14	0.00	63.46	0.24	50	0	50	145.90	99.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.20	3.59	0.00	1.12	0.00	0.00
186	11.67	1601	3087	0.83	41	0	0	1	1	2	37	0	7	0	0	0.00	0.00	0.28	1.22	72.53	0.00	14.44	0.00	0.00	15.64	1.02	62.80	8.87	50	0	50	92.14	80.87	0.00	0.00	1.78	15.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.11	2.13	0.00	0.95	0.00	0.00
188	11.69	1600	3107	0.84	41	0	0	0	0	2	38	0	7	0	0	0.00	0.00	0.00	0.87	76.02	0.00	12.10	0.00	0.00	14.86	0.94	72.51	0.00	50	0	50	92.36	80.05	0.00	0.00	2.14	14.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.53	2.45	0.00	1.14	0.00	0.00
187	11.60	1600	3112	0.82	49	0	0	0	1	1	34	0	11	0	0	0.00	0.00	0.15	0.52	66.70	0.00	21.83	0.00	0.00	15.68	0.88	71.28	0.56	50	0	50	90.35	80.10	0.00	0.00	1.81	14.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.39	2.47	0.00	0.93	0.00	0.00
184	11.52	1599	3092	0.84	41	0	0	0	1	5	37	0	10	0	0	0.00	0.00	0.13	0.83	71.80	0.00	16.00	0.00	0.00	15.34	0.00	70.02	3.12	50	0	50	93.16	81.26	0.00	0.00	0.94	15.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.66	2.50	0.00	1.13	0.00	0.00
184	11.53	1599	3092	0.82	41	0	0	0	1	1	37	0	8	0	0	0.00	0.00	0.17	0.65	76.14	0.00	11.76	0.00	0.00	15.34	1.14	71.94	0.06	50	0	50	89.66	79.36	0.00	0.00	1.80	15.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.19	2.15	0.00	0.93	0.00	0.00
