Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1762402189669,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.0352783203,167810.33990478516,252468.021484375,0.35845947265625,33572028416,0,1051746304,0
1,1762402189669,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.0352783203,167810.33990478516,252468.02337646484,0.35845947265625,33572028416,0,1051746304,0
0,1762402189670,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.03759765625,167810.35192871094,252468.02667236328,0.35845947265625,33572028416,0,1052262400,0
0,1762402189672,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.03875732422,167810.35778808594,252468.02966308594,0.35845947265625,33572028416,0,1052262400,0
0,1762402189673,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.03973388672,167810.3627319336,252468.03161621094,0.35845947265625,33572028416,0,1052262400,0
0,1762402189674,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.04077148438,167810.3681640625,252468.03381347656,0.35845947265625,33572028416,0,1052262400,0
0,1762402189675,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.04174804688,167810.3731689453,252468.0357055664,0.35845947265625,33572028416,0,1052262400,0
0,1762402189676,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.04278564453,167810.3783569336,252468.03778076172,0.35845947265625,33572028416,0,1052262400,0
1,1762402189677,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.04376220703,167810.3833618164,252468.03967285156,0.35845947265625,33572028416,0,1052262400,0
1,1762402189678,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.04473876953,167810.38818359375,252468.04119873047,0.35845947265625,33572028416,0,1052262400,0
0,1762402189679,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.04571533203,167810.3927001953,252468.04272460938,0.35845947265625,33572028416,0,1052262400,0
1,1762402189680,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.0467529297,167810.3973388672,252468.04467773438,0.35845947265625,33572028416,0,1052262400,0
0,1762402189681,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.04876708984,167810.40753173828,252468.04705810547,0.35845947265625,33572028416,0,1052262400,0
0,1762402189682,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.04974365234,167810.41284179688,252468.0496826172,0.35845947265625,33572028416,0,1052262400,0
0,1762402189683,1600,1599,1599,1601,800,1599,1599,1599,0,4,0,0,3.846153974533081,4,4.1666669845581055,4,225829.05078125,167810.41821289063,252468.0517578125,0.35845947265625,33572028416,0,1052262400,0
