Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1762424441685,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.64599609375,261561.4267578125,9007.215026855469,0.4158935546875,33572028416,0,862597120,0
0,1762424441685,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.64599609375,261561.4267578125,9007.217346191406,0.4158935546875,33572028416,0,862597120,0
0,1762424441686,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6483154296875,261561.43322753906,9007.220397949219,0.4158935546875,33572028416,0,862597120,0
1,1762424441687,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6493530273438,261561.4454345703,9007.223449707031,0.4158935546875,33572028416,0,862597120,0
0,1762424441688,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.650390625,261561.45043945313,9007.226013183594,0.4158935546875,33572028416,0,862597120,0
0,1762424441690,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6514282226563,261561.45526123047,9007.228149414063,0.4158935546875,33572028416,0,862597120,0
0,1762424441691,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6524047851563,261561.46044921875,9007.230163574219,0.4158935546875,33572028416,0,862597120,0
0,1762424441692,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6534423828125,261561.46563720703,9007.232116699219,0.4158935546875,33572028416,0,862597120,0
0,1762424441693,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6544799804688,261561.47064208984,9007.234069824219,0.4158935546875,33572028416,0,862597120,0
0,1762424441694,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6554565429688,261561.4755859375,9007.236206054688,0.4158935546875,33572028416,0,862597120,0
0,1762424441695,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6564331054688,261561.4805908203,9007.238098144531,0.4158935546875,33572028416,0,862597120,0
0,1762424441696,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.657470703125,261561.4854736328,9007.239990234375,0.4158935546875,33572028416,0,862597120,0
0,1762424441697,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.658447265625,261561.49053955078,9007.242065429688,0.4158935546875,33572028416,0,862597120,0
0,1762424441698,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6594848632813,261561.49548339844,9007.244079589844,0.4158935546875,33572028416,0,862597120,0
0,1762424441699,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6614990234375,261561.50622558594,9007.246520996094,0.4158935546875,33572028416,0,862597120,0
0,1762424441700,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6624755859375,261561.5112915039,9007.249145507813,0.4158935546875,33572028416,0,862855168,0
0,1762424441701,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6634521484375,261561.5166015625,9007.251159667969,0.4158935546875,33572028416,0,862855168,0
0,1762424441702,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6644897460938,261561.52154541016,9007.253295898438,0.4158935546875,33572028416,0,862855168,0
0,1762424441703,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6654663085938,261561.52685546875,9007.255920410156,0.4158935546875,33572028416,0,862855168,0
0,1762424441705,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.66650390625,261561.5323486328,9007.258422851563,0.4158935546875,33572028416,0,862855168,0
0,1762424441706,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6675415039063,261561.53784179688,9007.260498046875,0.4158935546875,33572028416,0,862855168,0
0,1762424441707,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.66845703125,261561.54278564453,9007.262634277344,0.4158935546875,33572028416,0,862855168,0
0,1762424441708,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6694946289063,261561.54821777344,9007.265014648438,0.4158935546875,33572028416,0,862855168,0
0,1762424441709,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6705322265625,261561.55346679688,9007.267272949219,0.4158935546875,33572028416,0,862855168,0
0,1762424441710,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6715087890625,261561.55853271484,9007.269104003906,0.4158935546875,33572028416,0,862855168,0
0,1762424441711,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6724853515625,261561.56341552734,9007.270935058594,0.4158935546875,33572028416,0,862855168,0
0,1762424441712,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6735229492188,261561.5682373047,9007.272766113281,0.4158935546875,33572028416,0,862855168,0
0,1762424441713,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6744995117188,261561.57305908203,9007.274230957031,0.4158935546875,33572028416,0,862855168,0
0,1762424441714,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6765747070313,261561.57788085938,9007.276062011719,0.4158935546875,33572028416,0,862855168,0
0,1762424441715,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6775512695313,261561.58758544922,9007.278442382813,0.4158935546875,33572028416,0,862855168,0
0,1762424441716,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6785278320313,261561.59259033203,9007.280334472656,0.4158935546875,33572028416,0,862855168,0
0,1762424441717,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6795654296875,261561.59796142578,9007.282958984375,0.4158935546875,33572028416,0,862855168,0
0,1762424441718,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6805419921875,261561.60333251953,9007.285400390625,0.4158935546875,33572028416,0,862855168,0
0,1762424441720,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6815795898438,261561.60888671875,9007.287963867188,0.4158935546875,33572028416,0,862855168,0
0,1762424441721,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6826171875,261561.6143798828,9007.290222167969,0.4158935546875,33572028416,0,862855168,0
0,1762424441722,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6835327148438,261561.61975097656,9007.292724609375,0.4158935546875,33572028416,0,862855168,0
1,1762424441723,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6846313476563,261561.6255493164,9007.295349121094,0.4158935546875,33572028416,0,862855168,0
1,1762424441724,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6856079101563,261561.63092041016,9007.297912597656,0.4158935546875,33572028416,0,862855168,0
1,1762424441725,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6865844726563,261561.63635253906,9007.300048828125,0.4158935546875,33572028416,0,862855168,0
0,1762424441726,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6875610351563,261561.64154052734,9007.301940917969,0.4158935546875,33572028416,0,862855168,0
1,1762424441727,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6885986328125,261561.64642333984,9007.30419921875,0.4158935546875,33572028416,0,862855168,0
0,1762424441728,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6905517578125,261561.65618896484,9007.306396484375,0.4158935546875,33572028416,0,862855168,0
0,1762424441729,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6915893554688,261561.66180419922,9007.308471679688,0.4158935546875,33572028416,0,862855168,0
0,1762424441730,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6925659179688,261561.66680908203,9007.311340332031,0.4158935546875,33572028416,0,862855168,0
0,1762424441731,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.693603515625,261561.67224121094,9007.313537597656,0.4158935546875,33572028416,0,862855168,0
0,1762424441733,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.694580078125,261561.67755126953,9007.31591796875,0.4158935546875,33572028416,0,862855168,0
0,1762424441734,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.695556640625,261561.68298339844,9007.318420410156,0.4158935546875,33572028416,0,862855168,0
1,1762424441735,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6965942382813,261561.68853759766,9007.321044921875,0.4158935546875,33572028416,0,862855168,0
1,1762424441736,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6976318359375,261561.6943359375,9007.323608398438,0.4158935546875,33572028416,0,862855168,0
1,1762424441737,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6986083984375,261561.69958496094,9007.325866699219,0.4158935546875,33572028416,0,862855168,0
0,1762424441738,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.6995849609375,261561.70471191406,9007.328063964844,0.4158935546875,33572028416,0,862855168,0
1,1762424441739,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7006225585938,261561.7100830078,9007.330139160156,0.4158935546875,33572028416,0,862855168,0
0,1762424441740,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7025756835938,261561.71966552734,9007.332214355469,0.4158935546875,33572028416,0,862855168,0
0,1762424441741,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.70361328125,261561.72497558594,9007.334411621094,0.4158935546875,33572028416,0,862855168,0
0,1762424441742,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.70458984375,261561.73052978516,9007.336730957031,0.4158935546875,33572028416,0,862855168,0
1,1762424441743,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.70556640625,261561.73583984375,9007.339294433594,0.4158935546875,33572028416,0,862855168,0
0,1762424441744,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7066040039063,261561.74157714844,9007.342224121094,0.4158935546875,33572028416,0,862855168,0
0,1762424441746,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7075805664063,261561.74700927734,9007.344787597656,0.4158935546875,33572028416,0,862855168,0
0,1762424441747,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7085571289063,261561.7523803711,9007.347412109375,0.4158935546875,33572028416,0,862855168,0
0,1762424441748,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7095947265625,261561.7579345703,9007.349731445313,0.4158935546875,33572028416,0,862855168,0
1,1762424441749,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7106323242188,261561.76342773438,9007.352355957031,0.4158935546875,33572028416,0,862855168,0
1,1762424441750,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7116088867188,261561.7689819336,9007.354736328125,0.4158935546875,33572028416,0,862855168,0
1,1762424441751,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.712646484375,261561.77435302734,9007.356872558594,0.4158935546875,33572028416,0,862855168,0
1,1762424441752,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.713623046875,261561.77960205078,9007.359008789063,0.4158935546875,33572028416,0,862855168,0
1,1762424441753,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.714599609375,261561.78442382813,9007.360961914063,0.4158935546875,33572028416,0,862855168,0
0,1762424441754,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7166137695313,261561.79388427734,9007.362915039063,0.4158935546875,33572028416,0,862855168,0
0,1762424441755,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7175903320313,261561.79956054688,9007.365417480469,0.4158935546875,33572028416,0,862855168,0
0,1762424441756,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7185668945313,261561.8045654297,9007.367553710938,0.4158935546875,33572028416,0,862855168,0
0,1762424441757,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7196044921875,261561.80981445313,9007.369750976563,0.4158935546875,33572028416,0,862855168,0
0,1762424441759,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7205810546875,261561.81518554688,9007.372314453125,0.4158935546875,33572028416,0,862855168,0
0,1762424441760,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7216186523438,261561.82092285156,9007.374877929688,0.4158935546875,33572028416,0,862855168,0
0,1762424441761,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7225952148438,261561.8262939453,9007.377563476563,0.4158935546875,33572028416,0,862855168,0
1,1762424441762,1599,1600,1600,1599,1599,1600,1600,1599,0,4,0,0,0,0,0,0,2553.7236328125,261561.83184814453,9007.380004882813,0.4158935546875,33572028416,0,862855168,0
