,tool,benchmark,shapiro_statistic,p_value,normal,n_samples
0,CC,bt,0.9296489053917678,0.26959748917186266,True,15
1,CC,cg,0.5859753288409151,1.8986441307008773e-05,False,15
2,CC,ep,0.8426362196701516,0.013683041656881468,False,15
3,CC,ft,0.8770896637361539,0.04294031631635057,False,15
4,CC,is,0.9461316307850947,0.4657109055460978,True,15
5,CC,mg,0.7247751289076093,0.0004633499563875361,False,15
6,CC,mi,0.988443307747438,0.9984531921609744,True,15
7,CC,sl,0.9747826376599474,0.9214790363405067,True,15
8,No_Tools,bt,0.7328627010540567,0.0005711773589135869,False,15
9,No_Tools,cg,0.9158568895787584,0.16649918297379207,True,15
10,No_Tools,ep,0.7360728867345464,0.0006211524776472325,False,15
11,No_Tools,ft,0.8872155851013279,0.0608717068639209,True,15
12,No_Tools,is,0.7691003812693904,0.0015154957170320212,False,15
13,No_Tools,mg,0.8205345787756815,0.006828157079293488,False,15
14,No_Tools,mi,0.9764449043475693,0.9394239262774776,True,15
15,No_Tools,sl,0.7489688637228955,0.0008743095528763273,False,15
16,PJ,bt,0.9097686122638683,0.13430795286439084,True,15
17,PJ,cg,0.8762874320695506,0.041778842226123124,False,15
18,PJ,ep,0.6951523126289753,0.0002206575555540446,False,15
19,PJ,ft,0.9031682179345238,0.10640388363902231,True,15
20,PJ,is,0.9469982124767548,0.47847513978994705,True,15
21,PJ,mg,0.7582186626351136,0.0011228482461181238,False,15
22,PJ,mi,0.9862247997141668,0.9954857507422942,True,15
23,PJ,sl,0.9710684333670943,0.8735521695770119,True,15
24,Perf,bt,0.9467828087288125,0.4752803992897978,True,15
25,Perf,cg,0.9304160205403398,0.276809262978028,True,15
26,Perf,ep,0.4942757113457916,3.1633906782054584e-06,False,15
27,Perf,ft,0.8634175036428732,0.027043323684104847,False,15
28,Perf,is,0.9723907214963992,0.8917459981335427,True,15
29,Perf,mg,0.9393392277343424,0.37413419845242823,True,15
30,Perf,mi,0.8880140908022218,0.062583138732324,True,15
31,Perf,sl,0.9289185483809383,0.26289119946299205,True,15
32,Ref_Kern,bt,0.5725530952772201,1.4411012540471196e-05,False,15
33,Ref_Kern,cg,0.7129636777052284,0.0003431551904854372,False,15
34,Ref_Kern,ep,0.8955377263755115,0.08137276330675745,True,15
35,Ref_Kern,ft,0.6368305089871484,5.662821714532482e-05,False,15
36,Ref_Kern,is,0.771957108726172,0.0016412977268417384,False,15
37,Ref_Kern,mg,0.6537264540870646,8.292211309895033e-05,False,15
38,Ref_Kern,mi,0.7144003249617028,0.0003558050824352515,False,15
39,Ref_Kern,sl,0.8764798524271507,0.04205439938056541,False,15
40,Ref_User,bt,0.9565056967456306,0.6319472191083172,True,15
41,Ref_User,cg,0.8363390257937565,0.011189958131989938,False,15
42,Ref_User,ep,0.9583482973082478,0.6637166850129905,True,15
43,Ref_User,ft,0.880483655550963,0.04824053393933387,False,15
44,Ref_User,is,0.6928157496674334,0.00020844052046456574,False,15
45,Ref_User,mg,0.8358165904296101,0.011006001955040284,False,15
46,Ref_User,mi,0.9654106672854741,0.42231319512351023,True,30
47,Ref_User,sl,0.7048845136359375,1.8390545018556665e-06,False,30
48,Scaphandre,bt,0.9449552549936437,0.4487651938669899,True,15
49,Scaphandre,cg,0.925513427024178,0.23361238469533496,True,15
50,Scaphandre,ep,0.9216464482852067,0.20408975782565553,True,15
51,Scaphandre,ft,0.9880526235985337,0.998089203336371,True,15
52,Scaphandre,is,0.9552873475088043,0.6111724526389399,True,15
53,Scaphandre,mg,0.9127752172648503,0.14934858146794588,True,15
54,Scaphandre,mi,0.9488986242068399,0.5072745518700743,True,15
55,Scaphandre,sl,0.9508450974871282,0.537859218138208,True,15
56,Turbostat,bt,0.9648840038286829,0.7764337632739374,True,15
57,Turbostat,cg,0.8966027862667905,0.08446828489541251,True,15
58,Turbostat,ep,0.6221376164914333,4.095861394760706e-05,False,15
59,Turbostat,ft,0.8874742230713779,0.06142066515938399,True,15
60,Turbostat,is,0.8487057522524291,0.016649346948817173,False,15
61,Turbostat,mg,0.925370328727207,0.23245132229405757,True,15
62,Turbostat,mi,0.9291313366481612,0.26482910481326294,True,15
63,Turbostat,sl,0.9799331987404682,0.969045238951095,True,15
