Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
370	9.15	3930	3185	0.79	67	0	2	7	1	3	15	0	6	0	0	0.25	16.86	0.89	7.22	47.01	0.00	21.27	0.00	0.00	59.99	10.34	18.23	2.28	53	0	53	73.50	64.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.27	17.95	0.00	1.22	0.00	0.00
338	8.42	4057	3067	0.83	27	0	0	0	3	3	26	0	0	0	0	0.00	0.00	1.43	8.80	80.13	0.00	0.00	0.00	0.00	15.22	13.91	62.45	0.00	54	0	53	66.28	61.75	0.00	0.00	1.67	25.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.26	12.49	0.00	1.10	0.00	0.00
707	18.27	4072	2942	0.84	27	0	0	0	4	3	26	0	0	0	0	0.00	0.00	1.97	3.97	69.51	0.00	0.00	0.00	0.00	27.91	3.69	50.13	0.00	56	0	54	120.69	90.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.49	17.95	0.00	1.20	0.00	0.00
979	25.37	3886	3074	0.85	30	0	0	1	4	4	34	0	0	0	0	0.00	0.06	1.82	2.11	68.18	0.00	0.00	0.00	0.00	35.34	2.17	37.12	0.00	56	0	57	184.45	90.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.69	24.01	0.00	1.37	0.00	0.00
778	19.59	3799	3235	1.04	27	0	0	1	2	4	26	0	0	0	0	0.00	0.10	0.43	3.67	79.96	0.00	0.00	0.00	0.00	21.44	4.30	54.67	0.00	58	0	57	158.45	101.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.89	20.20	0.00	1.26	0.00	0.00
730	20.98	3797	2839	0.77	27	0	0	0	3	2	34	0	0	0	0	0.00	0.00	0.92	2.07	69.62	0.00	0.00	0.00	0.00	22.58	2.13	54.32	0.00	57	0	56	152.71	94.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.56	17.46	0.00	1.08	0.00	0.00
712	21.29	3561	2910	0.65	35	0	0	1	16	10	51	0	2	0	0	0.00	0.05	2.70	8.28	58.03	0.00	5.09	0.00	0.00	28.53	9.73	40.46	0.00	55	0	55	145.46	94.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.67	15.78	0.00	1.19	0.00	0.00
805	20.45	3500	3480	0.62	36	0	0	3	20	9	48	0	0	0	0	0.00	0.06	14.59	6.86	68.22	0.00	0.00	0.00	0.00	44.09	2.15	33.31	0.00	55	0	56	156.71	103.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.65	19.10	0.00	1.43	0.00	0.00
787	24.59	3361	2949	0.62	28	0	1	12	67	10	29	0	0	0	0	0.05	3.20	20.97	5.30	42.65	0.00	0.00	0.00	0.00	51.86	5.04	18.51	0.00	56	0	56	172.27	94.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.71	15.96	0.00	0.95	0.00	0.00
776	24.04	3200	3124	0.66	32	0	0	24	17	17	63	0	0	0	0	0.00	12.26	5.39	9.51	49.92	0.00	0.00	0.00	0.00	38.33	9.70	27.93	0.00	55	0	55	145.06	85.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.68	12.30	0.00	1.10	0.00	0.00
