Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.11	9.84	3.76	0.00
0	0	0.06	0.73	64.75	21.51	0.00
0	4	0.00	0.05	2.94	1.03	0.00
1	1	0.00	0.00	1.17	0.09	0.00
1	5	0.00	0.03	1.92	1.20	0.00
2	2	0.00	0.00	0.96	0.40	0.00
2	6	0.00	0.01	2.13	2.46	0.00
3	3	0.00	0.07	1.52	0.89	0.00
3	7	0.00	0.00	3.12	2.46	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.04	8.62	3.42	0.00
0	0	0.06	0.28	65.38	21.43	0.00
0	4	0.00	0.00	0.95	0.00	0.00
1	1	0.00	0.00	0.83	0.00	0.00
1	5	0.00	0.00	0.27	1.68	0.00
2	2	0.00	0.00	0.20	0.54	0.00
2	6	0.00	0.00	0.19	1.09	0.00
3	3	0.00	0.00	0.75	1.57	0.00
3	7	0.00	0.00	0.36	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.02	8.91	3.27	0.00
0	0	0.06	0.17	65.35	21.68	0.00
0	4	0.00	0.00	1.08	0.00	0.00
1	1	0.00	0.00	0.46	1.10	0.00
1	5	0.00	0.00	1.02	1.09	0.00
2	2	0.00	0.00	0.92	0.42	0.00
2	6	0.10	0.01	0.80	0.30	0.00
3	3	0.00	0.00	0.49	0.99	0.00
3	7	0.00	0.00	1.17	0.60	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.04	8.51	3.50	0.09
0	0	0.04	0.33	65.15	21.68	0.00
0	4	0.00	0.00	0.53	0.49	0.00
1	1	0.00	0.00	0.41	1.19	0.00
1	5	0.00	0.00	0.37	0.89	0.00
2	2	0.00	0.00	0.44	0.79	0.00
2	6	0.00	0.00	0.34	0.89	0.00
3	3	0.00	0.01	0.39	0.90	0.71
3	7	0.00	0.00	0.42	1.17	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.08	8.64	3.52	0.45
0	0	0.04	0.61	63.56	19.90	0.00
0	4	0.00	0.00	1.82	0.21	0.00
1	1	0.00	0.02	0.47	0.62	3.61
1	5	0.00	0.00	0.28	2.27	0.00
2	2	0.00	0.00	0.38	1.68	0.00
2	6	0.00	0.00	0.86	1.19	0.00
3	3	0.00	0.00	0.99	1.39	0.00
3	7	0.00	0.04	0.79	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.04	8.69	3.40	0.00
0	0	0.05	0.34	65.72	21.11	0.00
0	4	0.00	0.00	0.45	0.10	0.00
1	1	0.00	0.00	0.85	1.19	0.00
1	5	0.00	0.00	0.28	1.51	0.00
2	2	0.00	0.00	0.10	0.60	0.00
2	6	0.00	0.00	0.20	0.99	0.00
3	3	0.00	0.00	0.57	0.98	0.00
3	7	0.00	0.00	1.34	0.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.04	8.60	3.61	0.20
0	0	0.06	0.26	65.16	21.56	0.00
0	4	0.00	0.00	0.98	0.00	0.00
1	1	0.00	0.00	0.58	1.39	0.00
1	5	0.01	0.00	0.25	0.99	0.91
2	2	0.00	0.00	0.23	0.89	0.00
2	6	0.00	0.02	0.30	0.89	0.00
3	3	0.02	0.01	0.37	1.97	0.71
3	7	0.00	0.00	0.96	1.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.03	8.73	3.33	0.00
0	0	0.06	0.15	65.58	21.47	0.00
0	4	0.00	0.06	0.74	0.11	0.00
1	1	0.00	0.04	0.62	0.70	0.00
1	5	0.00	0.00	0.48	0.99	0.00
2	2	0.00	0.00	0.36	0.80	0.00
2	6	0.00	0.00	0.25	0.99	0.00
3	3	0.00	0.01	1.24	1.09	0.00
3	7	0.00	0.00	0.60	0.49	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.02	8.47	3.54	0.00
0	0	0.05	0.14	65.19	21.84	0.00
0	4	0.00	0.03	0.53	0.00	0.00
1	1	0.00	0.03	0.54	1.49	0.00
1	5	0.00	0.00	0.51	0.89	0.00
2	2	0.00	0.00	0.09	0.80	0.00
2	6	0.00	0.00	0.19	0.99	0.00
3	3	0.00	0.00	0.27	1.09	0.00
3	7	0.00	0.00	0.48	1.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.05	8.24	3.33	0.00
0	0	0.05	0.39	63.21	20.53	0.00
0	4	0.00	0.00	0.78	0.10	0.00
1	1	0.00	0.03	0.54	1.07	0.00
1	5	0.00	0.00	0.35	0.79	0.00
2	2	0.00	0.00	0.13	1.09	0.00
2	6	0.00	0.02	0.30	0.99	0.00
3	3	0.00	0.00	0.30	0.99	0.00
3	7	0.00	0.00	0.29	1.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.03	8.68	3.58	0.00
0	0	0.04	0.25	65.57	21.30	0.00
0	4	0.00	0.02	0.59	0.60	0.00
1	1	0.00	0.00	1.22	1.00	0.00
1	5	0.00	0.00	0.37	1.48	0.00
2	2	0.00	0.00	0.55	0.70	0.00
2	6	0.00	0.00	0.45	1.19	0.00
3	3	0.00	0.00	0.52	1.10	0.00
3	7	0.00	0.00	0.19	1.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.04	8.51	3.27	0.00
