Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	0.02	6.26	8.54	0.00
0	0	0.00	0.01	1.69	2.49	0.00
0	4	0.00	0.03	2.40	1.78	0.00
1	1	0.01	0.05	39.16	58.13	0.00
1	5	0.31	0.03	1.29	1.03	0.00
2	2	0.00	0.05	2.27	1.77	0.00
2	6	0.00	0.00	1.17	0.30	0.00
3	3	0.00	0.02	1.15	2.00	0.00
3	7	0.05	0.01	0.94	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	5.18	8.28	0.00
0	0	0.00	0.01	0.96	0.58	0.00
0	4	0.00	0.00	0.26	1.29	0.00
1	1	0.01	0.03	37.59	59.90	0.00
1	5	0.00	0.00	1.02	0.80	0.00
2	2	0.00	0.01	0.20	0.99	0.00
2	6	0.00	0.00	0.20	0.89	0.00
3	3	0.00	0.00	0.18	0.99	0.00
3	7	0.00	0.00	1.02	0.80	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.08	0.02	4.86	8.41	0.10
0	0	0.00	0.00	0.80	0.76	0.00
0	4	0.00	0.00	0.18	0.89	0.00
1	1	0.00	0.02	36.25	61.53	0.00
1	5	0.00	0.00	0.37	0.91	0.00
2	2	0.00	0.08	0.44	0.71	0.82
2	6	0.00	0.00	0.24	0.61	0.00
3	3	0.61	0.00	0.28	0.89	0.00
3	7	0.00	0.01	0.34	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.82	8.81	0.00
0	0	0.00	0.05	1.09	1.46	0.00
0	4	0.00	0.00	0.47	1.09	0.00
1	1	0.00	0.02	35.39	62.38	0.00
1	5	0.00	0.00	0.14	2.07	0.00
2	2	0.00	0.00	0.22	0.90	0.00
2	6	0.00	0.00	0.10	1.09	0.00
3	3	0.00	0.00	0.19	1.09	0.00
3	7	0.00	0.00	0.96	0.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.01	4.68	8.56	0.00
0	0	0.00	0.03	0.71	0.18	0.00
0	4	0.10	0.00	0.00	0.60	0.00
1	1	0.00	0.02	34.81	63.06	0.00
1	5	0.00	0.00	0.36	0.79	0.00
2	2	0.00	0.00	0.23	1.09	0.00
2	6	0.00	0.00	0.72	0.89	0.00
3	3	0.00	0.00	0.19	1.09	0.00
3	7	0.00	0.00	0.45	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.98	8.60	0.00
0	0	0.00	0.03	1.25	1.16	0.00
0	4	0.00	0.00	0.20	0.69	0.00
1	1	0.00	0.02	34.85	62.95	0.00
1	5	0.00	0.00	0.44	0.78	0.00
2	2	0.00	0.00	0.83	0.79	0.00
2	6	0.00	0.00	0.33	0.89	0.00
3	3	0.00	0.00	1.00	0.19	0.00
3	7	0.00	0.00	0.96	1.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.90	8.58	0.00
0	0	0.00	0.01	1.04	0.57	0.00
0	4	0.00	0.02	0.10	0.79	0.00
1	1	0.00	0.03	35.34	62.45	0.00
1	5	0.00	0.00	0.28	0.89	0.00
2	2	0.00	0.00	0.46	0.79	0.00
2	6	0.00	0.00	0.83	0.79	0.00
3	3	0.00	0.02	0.70	1.38	0.00
3	7	0.00	0.00	0.43	0.98	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.83	8.66	0.11
0	0	0.00	0.01	1.17	0.68	0.00
0	4	0.00	0.02	0.33	1.09	0.90
1	1	0.00	0.05	34.65	63.06	0.00
1	5	0.00	0.00	0.46	0.89	0.00
2	2	0.00	0.00	0.35	0.79	0.00
2	6	0.00	0.00	0.24	0.99	0.00
3	3	0.00	0.01	0.53	1.11	0.00
3	7	0.00	0.00	0.89	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.01	4.86	8.39	0.00
0	0	0.00	0.00	0.94	0.38	0.00
0	4	0.00	0.00	0.63	0.29	0.00
1	1	0.10	0.06	35.49	62.04	0.00
1	5	0.00	0.00	0.20	0.99	0.00
2	2	0.00	0.00	0.27	0.98	0.00
2	6	0.00	0.00	0.45	0.70	0.00
3	3	0.00	0.03	0.73	0.61	0.00
3	7	0.00	0.00	0.19	1.10	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.90	8.31	0.00
0	0	0.00	0.01	0.68	0.67	0.00
0	4	0.00	0.00	0.35	0.20	0.00
1	1	0.00	0.02	36.21	61.56	0.00
1	5	0.00	0.02	0.68	0.00	0.00
2	2	0.00	0.00	0.69	1.09	0.00
2	6	0.00	0.00	0.19	0.98	0.00
3	3	0.00	0.00	0.26	0.97	0.00
3	7	0.00	0.00	0.15	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.72	8.24	0.13
0	0	0.00	0.01	0.71	0.37	0.00
0	4	0.00	0.00	0.27	0.89	0.00
1	1	0.00	0.02	35.43	59.74	0.00
1	5	0.00	0.00	0.24	0.89	0.00
2	2	0.00	0.03	0.20	0.89	0.00
2	6	0.00	0.00	0.10	1.09	0.00
3	3	0.02	0.02	0.36	1.25	1.01
3	7	0.00	0.00	0.45	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.03	5.03	12.01	0.00
0	0	0.00	0.01	1.16	1.28	0.00
0	4	0.00	0.00	0.00	0.50	0.00
1	1	0.01	0.04	37.00	60.88	0.00
1	5	0.00	0.00	0.35	1.00	0.00
2	2	0.00	0.00	0.34	0.99	0.00
2	6	0.00	0.00	0.13	0.99	0.00
3	3	0.00	0.00	0.44	1.44	0.00
3	7	0.01	0.20	0.82	29.01	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	4.96	8.49	0.11
0	0	0.00	0.01	0.85	0.28	0.00
0	4	0.00	0.03	0.24	0.30	0.90
1	1	0.00	0.04	35.65	62.12	0.00
1	5	0.00	0.00	0.18	0.99	0.00
2	2	0.00	0.00	0.36	0.98	0.00
2	6	0.00	0.00	0.63	1.09	0.00
3	3	0.00	0.02	0.73	1.33	0.00
3	7	0.00	0.00	1.03	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
