Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.04	2.90	10.19	0.01
0	0	0.00	0.07	2.23	7.96	0.10
0	4	0.00	0.00	1.50	0.52	0.00
1	1	0.00	0.08	4.41	2.38	0.00
1	5	0.00	0.00	4.64	58.83	0.00
2	2	0.00	0.09	3.27	3.17	0.00
2	6	0.00	0.00	1.37	0.98	0.00
3	3	0.00	0.11	4.46	6.80	0.00
3	7	0.00	0.00	1.31	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.03	1.47	1.78	0.10
0	0	0.00	0.03	1.19	0.90	0.00
0	4	0.00	0.03	0.89	0.79	0.00
1	1	0.00	0.03	3.35	3.28	0.00
1	5	0.00	0.01	1.36	4.50	0.00
2	2	0.00	0.01	2.73	1.70	0.00
2	6	0.00	0.00	0.80	0.79	0.00
3	3	0.00	0.16	1.22	1.29	0.00
3	7	0.00	0.00	0.18	0.99	0.80
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	0.01	0.44	0.87	0.00
0	0	0.00	0.02	0.20	0.30	0.00
0	4	0.00	0.00	0.30	0.30	0.00
1	1	0.00	0.00	0.39	0.81	0.00
1	5	0.00	0.00	0.27	1.34	0.00
2	2	0.00	0.00	0.36	1.70	0.00
2	6	0.00	0.00	0.36	0.80	0.00
3	3	0.00	0.05	1.33	0.69	0.00
3	7	0.77	0.00	0.33	1.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.21	0.49	1.03	0.00
0	0	0.00	0.00	0.68	1.28	0.00
0	4	0.00	0.00	0.65	1.18	0.00
1	1	0.00	0.00	0.15	1.08	0.00
1	5	0.00	0.00	0.37	1.71	0.00
2	2	0.00	0.01	0.28	1.31	0.00
2	6	0.00	1.69	0.09	0.25	0.00
3	3	0.00	0.00	1.26	0.68	0.00
3	7	0.00	0.00	0.45	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.02	0.84	1.73	0.00
0	0	0.00	0.00	0.20	0.30	0.00
0	4	0.00	0.00	0.19	1.00	0.00
1	1	0.00	0.06	1.88	1.60	0.00
1	5	0.00	0.01	0.66	4.20	0.00
2	2	0.00	0.00	1.33	2.52	0.00
2	6	0.00	0.02	0.40	0.79	0.00
3	3	0.00	0.07	0.85	0.79	0.00
3	7	0.00	0.02	1.25	2.63	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	0.57	17.75	8.05	0.12
0	0	0.01	0.82	25.25	6.27	0.00
0	4	0.00	0.20	9.51	4.62	0.12
1	1	0.13	1.08	24.30	7.07	0.00
1	5	0.00	0.22	12.36	25.52	0.00
2	2	0.02	0.84	27.68	5.41	0.00
2	6	0.00	0.21	8.28	3.63	0.00
3	3	0.00	0.73	23.33	6.96	0.86
3	7	0.78	0.50	11.29	4.93	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.55	8.29	52.35	7.29	0.18
0	0	0.79	10.53	50.73	6.52	0.00
0	4	0.40	6.42	52.45	8.40	0.00
1	1	0.66	9.92	55.31	3.92	0.00
1	5	0.67	8.27	45.93	10.13	1.45
2	2	0.83	10.02	46.86	5.25	0.00
2	6	0.16	4.92	57.43	11.74	0.00
3	3	0.41	9.78	56.48	4.69	0.00
3	7	0.47	6.44	53.60	7.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.59	9.43	53.07	6.40	0.06
0	0	0.74	10.00	55.03	4.12	0.00
0	4	0.57	8.87	55.94	7.66	0.00
1	1	1.05	9.56	50.20	8.10	0.00
1	5	0.58	11.03	50.81	4.35	0.17
2	2	0.51	10.69	51.45	4.39	0.00
2	6	0.27	7.06	54.97	8.17	0.30
3	3	0.65	9.84	49.62	5.48	0.01
3	7	0.35	8.40	56.42	8.95	0.04
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.66	8.86	55.98	5.31	0.00
0	0	1.15	9.49	54.13	3.58	0.00
0	4	0.44	8.17	55.85	6.24	0.00
1	1	0.68	9.13	56.45	3.64	0.00
1	5	1.04	9.22	55.41	5.93	0.00
2	2	0.44	9.43	57.16	4.75	0.00
2	6	0.35	8.08	56.94	5.61	0.00
3	3	0.96	8.97	56.53	6.57	0.00
3	7	0.25	8.45	55.65	6.17	0.01
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.26	5.44	57.24	9.79	0.04
0	0	0.34	5.81	57.83	7.98	0.00
0	4	0.23	5.72	56.27	8.28	0.00
1	1	0.21	6.01	55.58	10.49	0.00
1	5	0.12	4.97	60.52	8.95	0.00
2	2	0.33	6.82	58.11	7.47	0.00
2	6	0.40	4.30	58.71	7.87	0.00
3	3	0.15	5.67	55.69	12.41	0.00
3	7	0.28	4.28	55.59	14.89	0.33
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.68	7.21	49.75	9.18	0.00
0	0	1.32	8.66	52.92	6.52	0.00
0	4	0.66	7.66	49.09	11.16	0.01
1	1	0.72	6.67	50.13	9.74	0.00
1	5	0.53	7.91	54.68	4.46	0.00
2	2	0.64	7.92	49.24	10.14	0.00
2	6	0.39	6.59	46.86	8.45	0.00
3	3	0.40	5.18	46.43	8.61	0.00
3	7	0.80	7.05	48.51	14.32	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.28	5.97	52.15	12.74	0.05
0	0	0.24	5.99	54.41	13.48	0.10
0	4	0.21	5.18	54.05	12.37	0.00
1	1	0.16	5.63	49.11	11.94	0.00
1	5	0.40	8.62	49.39	11.02	0.10
2	2	0.30	5.28	51.39	13.06	0.21
