Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.08	0.41	9.47	6.86	2.46
0	0	0.01	3.12	67.13	23.21	0.00
0	4	0.00	0.00	0.97	0.40	19.65
1	1	0.00	0.00	1.31	0.39	0.00
1	5	0.63	0.03	1.24	0.49	0.00
2	2	0.00	0.00	1.72	0.79	0.00
2	6	0.00	0.00	0.95	0.30	0.00
3	3	0.00	0.00	1.09	0.78	0.00
3	7	0.01	0.17	1.38	28.52	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.38	8.96	4.06	0.20
0	0	0.00	3.00	66.50	24.00	0.00
0	4	0.00	0.02	0.60	0.40	1.62
1	1	0.00	0.00	0.41	1.20	0.00
1	5	0.00	0.00	0.48	1.49	0.00
2	2	0.00	0.00	0.45	1.58	0.00
2	6	0.00	0.00	0.74	1.19	0.00
3	3	0.00	0.00	1.15	1.49	0.00
3	7	0.00	0.00	1.28	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.90	0.52	8.74	3.84	0.65
0	0	3.66	3.52	60.45	21.76	0.00
0	4	0.00	0.00	1.05	0.90	4.32
1	1	0.00	0.00	0.39	1.30	0.00
1	5	0.00	0.00	0.33	1.51	0.00
2	2	0.78	0.00	0.23	1.29	0.90
2	6	0.00	0.00	0.23	1.11	0.00
3	3	2.78	0.60	6.55	2.15	0.00
3	7	0.00	0.01	0.70	0.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.39	8.99	3.68	1.86
0	0	0.00	3.13	67.82	22.58	0.00
0	4	0.00	0.00	0.55	0.40	14.92
1	1	0.00	0.00	0.75	0.99	0.00
1	5	0.00	0.00	0.41	1.49	0.00
2	2	0.00	0.00	0.80	0.30	0.00
2	6	0.00	0.00	0.30	1.28	0.00
3	3	0.00	0.01	0.75	1.29	0.00
3	7	0.00	0.00	0.55	1.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	0.45	9.46	4.02	1.34
0	0	0.67	3.40	66.52	21.93	0.00
0	4	0.00	0.00	0.89	0.00	10.68
1	1	0.00	0.00	0.52	2.00	0.00
1	5	0.00	0.04	1.55	1.56	0.00
2	2	0.00	0.00	1.09	1.49	0.00
2	6	0.00	0.05	0.20	0.99	0.00
3	3	0.25	0.10	2.39	1.99	0.00
3	7	0.00	0.00	2.51	2.22	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.41	9.58	4.03	2.79
0	0	0.00	3.12	68.78	21.63	0.00
0	4	0.00	0.00	0.96	0.79	22.35
1	1	0.00	0.02	0.73	2.47	0.00
1	5	0.00	0.03	1.18	0.65	0.00
2	2	0.02	0.00	0.93	2.60	0.00
