Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	0.06	1.64	1.47	0.02
0	0	0.00	0.00	1.08	0.49	0.00
0	4	0.00	0.02	1.94	2.70	0.00
1	1	0.57	0.00	2.45	1.60	0.00
1	5	0.15	0.02	0.24	1.37	0.00
2	2	0.00	0.00	3.11	1.81	0.00
2	6	0.00	0.09	1.26	1.10	0.00
3	3	0.00	0.03	2.67	1.40	0.00
3	7	0.08	0.30	0.37	1.31	0.17
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.17	0.30	0.76	0.32
0	0	0.00	0.02	0.58	0.59	0.00
0	4	0.00	0.00	0.10	0.80	0.00
1	1	0.00	0.00	0.27	0.89	0.00
1	5	0.00	0.00	0.53	0.89	0.00
2	2	0.00	0.00	0.32	0.90	0.00
2	6	0.00	0.00	0.31	1.19	0.00
3	3	0.00	0.00	0.27	0.80	0.00
3	7	0.01	1.37	0.00	0.00	2.54
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.13	0.57	0.69	1.60
0	0	0.00	0.00	0.46	0.89	0.00
0	4	0.00	0.00	0.26	0.98	0.00
1	1	0.00	0.00	1.02	0.40	0.00
1	5	0.00	0.02	1.07	0.79	0.00
2	2	0.00	0.00	0.19	0.99	0.00
2	6	0.00	0.04	0.74	0.79	0.00
3	3	0.00	0.00	0.68	0.71	0.00
3	7	0.01	0.99	0.11	0.00	12.76
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.21	0.31	0.87	5.06
0	0	0.00	0.00	0.50	0.90	0.00
0	4	0.00	0.00	0.13	1.28	0.00
1	1	0.00	0.00	0.20	0.69	0.00
1	5	0.00	0.00	0.28	0.99	0.00
2	2	0.00	0.00	0.35	0.98	0.00
2	6	0.00	0.03	0.62	0.99	0.00
3	3	0.00	0.00	0.42	1.10	0.00
3	7	0.00	1.67	0.00	0.00	40.50
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.17	0.49	1.06	0.00
0	0	0.00	0.02	0.20	0.99	0.00
0	4	0.00	0.00	0.48	0.99	0.00
1	1	0.00	0.00	0.46	1.08	0.00
1	5	0.00	0.00	0.43	2.07	0.00
2	2	0.00	0.00	0.42	1.09	0.00
2	6	0.00	0.05	1.08	1.10	0.00
3	3	0.00	0.00	0.76	1.19	0.00
3	7	0.00	1.28	0.10	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.13	0.50	0.68	0.25
0	0	0.00	0.00	0.57	0.99	0.00
0	4	0.00	0.00	0.54	0.99	0.00
1	1	0.00	0.00	0.62	0.29	0.00
1	5	0.00	0.00	0.40	0.00	0.00
2	2	0.00	0.00	0.87	0.89	0.00
2	6	0.00	0.04	0.64	1.36	0.00
3	3	0.00	0.00	0.23	0.90	0.00
3	7	0.00	0.99	0.11	0.00	2.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.18	0.43	0.93	0.00
0	0	0.00	0.00	0.35	1.08	0.00
0	4	0.00	0.00	0.23	1.28	0.00
1	1	0.00	0.00	0.19	0.70	0.00
1	5	0.00	0.00	0.39	1.28	0.00
2	2	0.00	0.00	0.35	0.79	0.00
2	6	0.00	0.05	0.67	1.29	0.00
3	3	0.00	0.02	1.19	1.07	0.00
3	7	0.00	1.38	0.11	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.17	0.43	1.07	0.13
0	0	0.00	0.01	0.51	1.10	0.00
0	4	0.00	0.00	0.29	1.28	0.00
1	1	0.00	0.00	0.45	1.51	0.00
1	5	0.00	0.00	0.27	0.99	0.00
2	2	0.00	0.02	0.79	1.28	0.00
2	6	0.00	0.04	0.58	1.28	0.00
3	3	0.00	0.00	0.37	1.09	0.00
3	7	0.00	1.28	0.21	0.00	1.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.08	0.53	0.88	0.15
0	0	0.00	0.00	0.28	1.08	0.00
0	4	0.00	0.00	0.49	1.09	0.00
1	1	0.00	0.00	0.89	0.79	0.00
1	5	0.00	0.01	0.87	0.79	0.00
2	2	0.00	0.00	0.28	1.09	0.00
2	6	0.00	0.01	0.67	1.18	0.00
3	3	0.00	0.00	0.63	1.00	0.00
3	7	0.01	0.59	0.11	0.00	1.21
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.20	0.36	0.77	0.00
0	0	0.00	0.00	0.25	0.98	0.00
0	4	0.00	0.00	0.22	1.08	0.00
1	1	0.00	0.00	0.29	0.59	0.00
1	5	0.00	0.00	0.28	0.89	0.00
2	2	0.00	0.00	0.35	0.98	0.00
2	6	0.00	0.02	1.02	0.50	0.00
3	3	0.00	0.00	0.44	1.09	0.00
3	7	0.00	1.57	0.00	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.17	0.55	1.08	0.13
0	0	0.00	0.02	0.20	0.69	0.00
0	4	0.00	0.00	0.50	1.20	0.00
1	1	0.00	0.00	0.56	1.48	0.00
1	5	0.00	0.00	0.33	1.28	0.00
2	2	0.00	0.00	0.40	1.28	0.00
2	6	0.00	0.02	1.18	1.20	0.00
3	3	0.00	0.00	1.17	1.51	0.00
3	7	0.00	1.28	0.11	0.00	1.01
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.19	0.54	0.85	2.18
