Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.76	72.25	15.25	0.00
0	0	0.01	0.61	73.88	14.33	0.00
0	4	0.03	0.75	71.32	18.81	0.00
1	1	0.01	0.38	73.16	16.61	0.00
1	5	0.00	0.51	71.04	18.91	0.00
2	2	0.09	0.57	70.76	18.77	0.00
2	6	0.01	0.45	70.43	19.52	0.00
3	3	0.00	0.50	81.37	8.48	0.00
3	7	0.01	2.32	66.69	6.74	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.69	71.75	16.17	0.00
0	0	0.00	0.58	74.73	14.14	0.00
0	4	0.01	0.69	72.40	17.90	0.00
1	1	0.02	0.30	72.90	17.13	0.00
1	5	0.00	0.26	69.59	21.42	0.00
2	2	0.01	0.55	69.89	20.00	0.00
2	6	0.04	0.43	69.28	19.89	0.00
3	3	0.01	0.45	79.49	10.37	0.00
3	7	0.02	2.25	65.05	8.37	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.74	71.81	16.00	0.00
0	0	0.00	0.69	74.71	13.92	0.00
0	4	0.01	0.60	70.46	19.90	0.00
1	1	0.01	0.25	72.85	16.98	0.00
1	5	0.00	0.54	69.81	20.88	0.00
2	2	0.01	0.59	70.61	18.95	0.00
2	6	0.01	0.30	70.60	20.22	0.00
3	3	0.00	0.56	79.66	10.24	0.00
3	7	0.02	2.35	66.28	7.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	71.77	16.22	0.00
0	0	0.00	0.63	74.05	14.82	0.00
0	4	0.01	0.49	70.29	20.27	0.00
1	1	0.02	0.29	72.74	17.32	0.00
1	5	0.00	0.44	69.13	21.68	0.00
2	2	0.01	0.55	72.86	16.88	0.00
2	6	0.00	0.45	69.76	20.91	0.00
3	3	0.01	0.51	80.06	9.91	0.00
3	7	0.01	2.26	65.38	8.02	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	69.28	16.53	0.00
0	0	0.01	0.35	73.21	13.31	0.00
0	4	0.00	0.80	70.61	16.66	0.00
1	1	0.02	0.57	72.80	15.02	0.00
1	5	0.00	0.25	68.07	20.80	0.00
2	2	0.00	0.40	66.69	21.39	0.00
2	6	0.01	0.55	67.50	21.15	0.00
3	3	0.01	0.51	74.63	13.10	0.00
3	7	0.05	2.05	60.48	10.75	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.73	72.08	15.98	0.00
0	0	0.00	0.50	72.22	16.84	0.00
0	4	0.00	0.80	71.62	18.74	0.00
1	1	0.01	0.37	75.30	14.58	0.00
1	5	0.00	0.44	72.34	18.46	0.00
2	2	0.00	0.47	72.56	17.34	0.00
2	6	0.00	0.51	70.22	20.52	0.00
3	3	0.01	0.54	77.97	11.98	0.00
3	7	0.01	2.23	64.05	9.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.82	71.29	16.44	0.00
0	0	0.01	0.91	73.53	14.73	0.00
0	4	0.00	0.67	72.09	18.25	0.00
1	1	0.01	0.39	72.50	17.45	0.00
1	5	0.00	0.31	69.13	21.79	0.00
2	2	0.00	0.45	71.60	18.19	0.00
2	6	0.00	0.60	69.90	20.78	0.00
3	3	0.02	1.29	79.30	9.75	0.00
3	7	0.01	1.94	62.89	10.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.74	72.13	15.93	0.00
0	0	0.00	0.52	73.34	15.72	0.00
0	4	0.01	0.70	71.83	18.66	0.00
1	1	0.01	0.39	77.98	11.83	0.00
1	5	0.00	0.44	71.90	18.79	0.00
2	2	0.01	0.55	68.43	21.46	0.00
2	6	0.00	0.43	69.33	21.47	0.00
3	3	0.00	0.52	79.68	10.25	0.00
3	7	0.02	2.33	64.09	9.13	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
