Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	0.20	1.88	1.59	0.00
0	0	0.03	0.02	1.88	2.21	0.00
0	4	0.00	0.00	1.12	1.09	0.00
1	1	0.00	0.00	2.78	2.11	0.00
1	5	0.57	0.08	2.79	2.02	0.00
2	2	0.08	0.00	1.57	0.81	0.00
2	6	0.00	1.47	1.72	1.23	0.00
3	3	0.00	0.00	0.84	1.19	0.00
3	7	0.13	0.02	2.36	2.03	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.07	1.50	16.59	9.30	0.32
0	0	0.00	0.10	11.66	20.70	0.00
0	4	0.01	0.50	19.36	7.05	0.00
1	1	0.00	0.27	10.73	7.05	0.08
1	5	0.32	6.95	18.89	2.25	0.14
2	2	0.01	0.15	21.89	10.14	0.00
2	6	0.15	3.28	14.21	6.56	0.00
3	3	0.02	0.61	18.17	8.14	0.00
3	7	0.08	0.14	18.11	12.63	2.34
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	2.47	13.04	13.92	0.02
0	0	0.00	5.19	12.30	7.62	0.00
0	4	0.00	6.36	10.85	11.22	0.00
1	1	0.00	0.06	13.24	16.56	0.00
1	5	0.00	0.08	11.77	13.24	0.00
2	2	0.27	5.00	11.74	13.74	0.00
2	6	0.00	0.04	13.83	21.45	0.16
3	3	0.00	0.79	14.98	12.30	0.00
3	7	0.00	2.20	15.36	14.97	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	2.97	13.51	13.84	0.00
0	0	0.00	1.74	17.24	9.42	0.00
0	4	0.11	20.27	5.31	1.29	0.00
1	1	0.00	0.90	14.62	16.71	0.00
1	5	0.00	0.15	13.27	15.14	0.00
2	2	0.00	0.19	13.94	23.01	0.00
2	6	0.00	0.17	12.88	13.92	0.00
3	3	0.00	0.14	15.28	17.73	0.00
3	7	0.00	0.20	15.49	13.52	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	2.93	18.36	18.68	0.00
0	0	0.02	3.65	22.67	15.53	0.00
0	4	0.00	2.74	18.97	17.58	0.00
1	1	0.11	3.07	18.28	11.26	0.00
1	5	0.64	12.12	11.52	8.11	0.00
2	2	0.00	0.19	16.92	20.87	0.00
2	6	0.00	0.07	15.82	17.64	0.00
3	3	0.00	0.16	20.64	22.93	0.00
3	7	0.02	1.45	22.08	35.56	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	3.75	21.99	23.97	0.02
0	0	0.01	24.49	13.02	3.72	0.14
0	4	0.00	1.25	25.74	31.90	0.00
1	1	0.00	0.17	22.84	22.04	0.00
1	5	0.00	0.19	22.52	31.00	0.00
2	2	0.06	1.22	21.77	30.80	0.00
2	6	0.00	0.18	22.85	28.47	0.00
3	3	0.08	1.08	22.65	19.45	0.00
3	7	0.00	1.46	24.49	24.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.09	3.51	23.23	23.98	0.09
0	0	0.01	16.83	19.55	17.18	0.00
0	4	0.00	1.47	24.26	28.43	0.00
1	1	0.05	0.22	25.10	27.99	0.00
1	5	0.27	0.30	25.66	23.24	0.00
2	2	0.00	0.25	25.24	27.04	0.00
2	6	0.00	0.22	22.78	22.84	0.00
3	3	0.36	8.08	18.06	22.71	0.46
3	7	0.00	0.77	25.45	22.73	0.25
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	3.70	21.77	22.85	0.06
0	0	0.01	17.56	18.93	5.16	0.49
0	4	0.00	4.99	24.27	24.62	0.00
1	1	0.00	0.19	22.31	20.48	0.00
1	5	0.00	0.19	21.56	27.02	0.00
2	2	0.00	0.23	21.87	26.19	0.00
2	6	0.09	1.65	20.84	35.47	0.00
3	3	0.03	2.35	20.10	17.49	0.00
3	7	0.01	2.39	24.04	26.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	3.48	21.44	24.14	0.01
0	0	0.02	19.73	13.43	3.36	0.00
0	4	0.10	4.39	22.85	20.73	0.00
1	1	0.06	0.21	24.13	25.85	0.00
1	5	0.00	0.12	23.12	25.61	0.00
2	2	0.00	0.14	18.99	21.12	0.00
2	6	0.08	1.76	20.28	42.77	0.04
3	3	0.00	0.18	23.75	28.75	0.00
3	7	0.02	1.33	24.94	24.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	2.22	24.58	24.86	0.15
0	0	0.01	1.48	28.16	17.46	0.00
0	4	0.12	14.57	11.29	3.20	0.00
1	1	0.01	0.29	27.66	30.19	0.00
1	5	0.00	0.20	23.33	26.66	0.00
2	2	0.01	0.40	24.61	23.73	0.00
2	6	0.01	0.28	25.62	25.76	0.23
3	3	0.00	0.28	28.35	43.85	0.00
3	7	0.01	0.30	27.76	28.09	0.99
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	3.67	20.42	22.40	0.20
0	0	0.03	19.86	13.67	3.95	0.08
0	4	0.00	0.87	20.17	25.99	0.00
1	1	0.00	0.33	22.13	29.23	0.00
1	5	0.00	0.18	19.03	20.72	0.12
2	2	0.00	0.18	21.37	22.88	0.00
2	6	0.00	0.18	20.92	20.06	1.41
3	3	0.11	6.24	19.81	24.14	0.00
3	7	0.00	1.47	26.19	32.11	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	3.41	21.88	22.89	0.01
0	0	0.04	17.76	15.79	5.47	0.00
0	4	0.01	8.06	18.64	17.18	0.00
1	1	0.01	0.22	24.25	31.20	0.00
1	5	0.00	0.16	23.04	28.32	0.00
2	2	0.01	0.18	23.15	24.17	0.00
2	6	0.01	0.21	22.90	31.13	0.06
3	3	0.01	0.18	23.44	21.17	0.00
3	7	0.10	0.48	23.84	24.49	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.14	3.45	22.83	20.29	0.01
0	0	0.11	4.21	25.69	10.80	0.00
0	4	0.00	1.24	24.88	22.30	0.00
1	1	0.00	0.20	22.68	19.44	0.00
1	5	0.00	0.15	23.47	30.11	0.00
2	2	0.30	6.38	19.90	13.79	0.00
2	6	0.56	9.17	19.05	17.92	0.10
3	3	0.15	4.80	22.87	24.68	0.00
3	7	0.03	1.46	24.11	23.31	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	3.52	20.52	21.97	0.00
0	0	0.02	19.20	14.39	4.20	0.00
0	4	0.01	2.35	21.84	29.75	0.00
1	1	0.04	3.09	19.93	21.06	0.00
1	5	0.00	0.10	20.56	31.51	0.00
2	2	0.00	2.11	20.31	20.74	0.00
2	6	0.00	0.11	21.51	21.75	0.00
3	3	0.00	0.13	22.82	25.48	0.00
