Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.07	0.32	9.99	14.54	0.00
0	0	0.01	2.11	50.37	11.50	0.04
0	4	0.00	0.07	11.15	2.52	0.00
1	1	0.07	0.29	3.61	5.54	0.00
1	5	0.28	0.07	6.10	91.75	0.00
2	2	0.00	0.04	2.56	1.58	0.00
2	6	0.00	0.00	2.19	0.80	0.00
3	3	0.20	0.00	1.54	1.10	0.00
3	7	0.00	0.02	2.39	1.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.27	8.00	14.27	0.47
0	0	0.02	2.15	55.60	15.16	0.00
0	4	0.00	0.02	0.59	0.10	3.79
1	1	0.00	0.02	2.42	28.24	0.00
1	5	0.00	0.00	3.87	65.80	0.00
2	2	0.00	0.00	0.54	0.49	0.00
2	6	0.00	0.00	0.50	2.07	0.00
3	3	0.00	0.00	0.32	1.09	0.00
3	7	0.00	0.00	0.20	1.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.27	7.99	14.02	0.00
0	0	0.02	2.13	55.49	14.63	0.00
0	4	0.00	0.00	0.84	0.31	0.00
1	1	0.00	0.03	0.91	0.40	0.00
1	5	0.00	0.01	5.25	93.17	0.00
2	2	0.00	0.00	0.58	1.38	0.00
2	6	0.00	0.00	0.38	0.59	0.00
3	3	0.00	0.00	0.36	1.18	0.00
3	7	0.00	0.00	0.14	0.49	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.37	8.36	14.03	0.00
0	0	0.01	2.89	57.49	11.99	0.00
0	4	0.00	0.02	1.16	0.58	0.00
1	1	0.00	0.00	1.01	0.70	0.00
1	5	0.00	0.00	4.44	94.02	0.00
2	2	0.00	0.00	0.32	1.09	0.00
2	6	0.00	0.01	1.08	1.78	0.00
3	3	0.00	0.00	0.87	1.49	0.00
3	7	0.00	0.00	0.47	0.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.44	8.34	13.36	1.30
0	0	0.01	3.47	57.65	9.51	0.00
0	4	0.00	0.01	0.78	0.30	10.31
1	1	0.00	0.00	0.68	1.19	0.00
1	5	0.00	0.00	4.97	90.76	0.00
2	2	0.00	0.00	0.62	1.86	0.00
2	6	0.00	0.02	0.40	0.80	0.00
3	3	0.00	0.02	1.29	1.10	0.00
3	7	0.00	0.01	0.30	1.38	0.12
