name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13267122,35799932405892,35799945673014
mov eax ebx                ,72017,35799949165241,35799949237258
nop                        ,31347,35799953377897,35799953409244
rdmsr 0x611                ,56995621,35799957526989,35800014522610
rdmsr 0x639                ,45545927,35800014664458,35800060210385
rdmsr 0x641                ,27601366,35800060301757,35800087903123
rdmsr 0x619                ,31369978,35800087985974,35800119355952
rdmsr 0x19C                ,43501283,35800119551869,35800163053152
rdmsr 0x17                 ,46156268,35800163166270,35800209322538
sys_call_overhead_proc_read,99596289
sys_call_overhead_sys_read ,160889651
