name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13053734,14677942823526,14677955877260
mov eax ebx                ,31349,14677959114544,14677959145893
nop                        ,31346,14677962262320,14677962293666
rdmsr 0x611                ,55714977,14677965470338,14678021185315
rdmsr 0x639                ,51019490,14678021312806,14678072332296
rdmsr 0x641                ,29672933,14678072366647,14678102039580
rdmsr 0x619                ,23252610,14678102060427,14678125313037
rdmsr 0x19C                ,22865443,14678125337064,14678148202507
rdmsr 0x17                 ,23324083,14678148220328,14678171544411
sys_call_overhead_proc_read,65216068
sys_call_overhead_sys_read ,149487905
