name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,6508429,42109483858898,42109490367327
mov eax ebx                ,29185,42109492038479,42109492067664
nop                        ,29180,42109493612605,42109493641785
rdmsr 0x611                ,27305398,42109495199212,42109522504610
rdmsr 0x639                ,27088523,42109522609868,42109549698391
rdmsr 0x641                ,24430956,42109549744413,42109574175369
rdmsr 0x619                ,24400684,42109574209523,42109598610207
rdmsr 0x19C                ,24474226,42109598644690,42109623118916
rdmsr 0x17                 ,24730094,42109623153073,42109647883167
sys_call_overhead_proc_read,65692129
sys_call_overhead_sys_read ,136963205
