name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13175379,48414810337102,48414823512481
mov eax ebx                ,31351,48414826964491,48414826995842
nop                        ,31349,48414830161426,48414830192775
rdmsr 0x611                ,56823665,48414833406629,48414890230294
rdmsr 0x639                ,55594257,48414890319170,48414945913427
rdmsr 0x641                ,33442422,48414945954545,48414979396967
rdmsr 0x619                ,24197692,48414979417193,48415003614885
rdmsr 0x19C                ,23249426,48415003637768,48415026887194
rdmsr 0x17                 ,23444518,48415026904412,48415050348930
sys_call_overhead_proc_read,64931381
sys_call_overhead_sys_read ,137724809
