name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13157328,16524101678100,16524114835428
mov eax ebx                ,44672,16524117987197,16524118031869
nop                        ,31352,16524121082750,16524121114102
rdmsr 0x611                ,53446234,16524124254402,16524177700636
rdmsr 0x639                ,53402482,16524177757095,16524231159577
rdmsr 0x641                ,35307588,16524231210286,16524266517874
rdmsr 0x619                ,24204385,16524266541546,16524290745931
rdmsr 0x19C                ,23458196,16524290763646,16524314221842
rdmsr 0x17                 ,23770162,16524314240046,16524338010208
sys_call_overhead_proc_read,70018367
sys_call_overhead_sys_read ,140573882
