name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13091175,20272091339091,20272104430266
mov eax ebx                ,31350,20272107700007,20272107731357
nop                        ,31349,20272110866790,20272110898139
rdmsr 0x611                ,56886587,20272114097587,20272170984174
rdmsr 0x639                ,55614314,20272171157043,20272226771357
rdmsr 0x641                ,55609884,20272226823750,20272282433634
rdmsr 0x619                ,41802858,20272282496804,20272324299662
rdmsr 0x19C                ,25794875,20272324324323,20272350119198
rdmsr 0x17                 ,24589084,20272350143076,20272374732160
sys_call_overhead_proc_read,76957728
sys_call_overhead_sys_read ,148840352
